cell_line,mode,n_snv_target,n_snv_unrestricted,mmr_relative_exposure,reconstruction_cosine,target_bed_sha256,target_union_bp,caveat
OV3133-R2,target-restricted variants; target-opportunity-adjusted reference,395,395,0.06039542503082792,0.9454931918659238,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3291,target-restricted variants; target-opportunity-adjusted reference,430,430,0,0.939819702886839,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV1369,target-restricted variants; target-opportunity-adjusted reference,686,686,0.11924667160409817,0.9381888221912871,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2295-R,target-restricted variants; target-opportunity-adjusted reference,418,418,0.08421943856355056,0.9534423296107509,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2835EP,target-restricted variants; target-opportunity-adjusted reference,514,514,0.2302377486378228,0.9678452234725379,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2881EP,target-restricted variants; target-opportunity-adjusted reference,559,559,0.036939448124026,0.9637219932530364,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2929D,target-restricted variants; target-opportunity-adjusted reference,883,883,0.07704025029440684,0.9650413775424892,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3121D,target-restricted variants; target-opportunity-adjusted reference,316,316,0,0.9594564158840692,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3121EP,target-restricted variants; target-opportunity-adjusted reference,400,400,0,0.9526766223906923,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3133D,target-restricted variants; target-opportunity-adjusted reference,411,411,0.05517236747357249,0.9533092122856515,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3133G,target-restricted variants; target-opportunity-adjusted reference,430,430,0,0.9565685421710384,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3331,target-restricted variants; target-opportunity-adjusted reference,303,303,0.11909647972601514,0.95002316117375,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV90,target-restricted variants; target-opportunity-adjusted reference,583,583,0,0.9611975744831496,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV81D,target-restricted variants; target-opportunity-adjusted reference,608,608,0,0.9343242671137092,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV21G,target-restricted variants; target-opportunity-adjusted reference,2417,2417,0.4471904283372426,0.9780698040437749,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3392D,target-restricted variants; target-opportunity-adjusted reference,427,427,0.051937964428619435,0.9445637263473073,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV112D,target-restricted variants; target-opportunity-adjusted reference,336,336,0.05571052011853435,0.9279741919915976,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2414,target-restricted variants; target-opportunity-adjusted reference,386,386,0,0.9343194093808987,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV1369-R2,target-restricted variants; target-adjusted restricted reference,594,594,0.0951425970073719,0.9509720558873511,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV2085,target-restricted variants; target-adjusted restricted reference,476,476,0,0.944610355573801,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV2295,target-restricted variants; target-adjusted restricted reference,403,403,0,0.8980628505025393,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV2295-R2,target-restricted variants; target-adjusted restricted reference,572,572,0,0.9311984480112862,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3133-R,target-restricted variants; target-adjusted restricted reference,437,437,0,0.9289915499606325,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3133-R2,target-restricted variants; target-adjusted restricted reference,395,395,0,0.9337885232829722,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3291,target-restricted variants; target-adjusted restricted reference,430,430,0,0.9113839947546727,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV1369,target-restricted variants; target-adjusted restricted reference,686,686,0.053495566417655495,0.9307795198112466,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2295-R,target-restricted variants; target-adjusted restricted reference,418,418,0,0.9145071664767923,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2835EP,target-restricted variants; target-adjusted restricted reference,514,514,0.05594913606704964,0.9425003136420537,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2881EP,target-restricted variants; target-adjusted restricted reference,559,559,0.12033416698924942,0.9401431172560121,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2929D,target-restricted variants; target-adjusted restricted reference,883,883,0.07502295417256379,0.9536804445100056,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3121D,target-restricted variants; target-adjusted restricted reference,316,316,0,0.937772582141596,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3121EP,target-restricted variants; target-adjusted restricted reference,400,400,0,0.9281380128313657,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3133D,target-restricted variants; target-adjusted restricted reference,411,411,0,0.920990767955672,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3133G,target-restricted variants; target-adjusted restricted reference,430,430,0,0.9454471465229161,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3331,target-restricted variants; target-adjusted restricted reference,303,303,0,0.8914491270033782,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV90,target-restricted variants; target-adjusted restricted reference,583,583,0,0.951182783299171,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV81D,target-restricted variants; target-adjusted restricted reference,608,608,0,0.9263743761867835,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV21G,target-restricted variants; target-adjusted restricted reference,2417,2417,0.47455006064702265,0.972029366985737,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3392D,target-restricted variants; target-adjusted restricted reference,427,427,0.053766053388772994,0.9310148607454328,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV112D,target-restricted variants; target-adjusted restricted reference,336,336,0.0626026661948284,0.9213467432051329,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2414,target-restricted variants; target-adjusted restricted reference,386,386,0,0.9315872797647934,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
