chromosome,start,end,gene,depth,log2,weight,log2c_auto,cell_line,gene_symbol,target_bin_width,gene_overlap_bp,normal_n,normal_min_depth,normal_median_depth,normal_max_depth
chr17,39727238,39727600,chr17:37883492-37883853,44.0856,-0.0452248,0.794544,0.0726488413043479,OV1369-R2,ERBB2,362,362,5,0.0,0.544199,0.709945
chr19,40232303,40232404,chr19:40738211-40738311,108.0,0.903842,0.825969,1.021715641304348,OV1369-R2,AKT2,101,101,5,9.20792,12.2079,65.7129
chr19,40234870,40235157,chr19:40740778-40741064,39.0279,-0.174954,0.567662,-0.057080358695652,OV1369-R2,AKT2,287,287,5,0.379791,1.87456,4.31707
chr19,40236198,40236440,chr19:40742106-40742347,55.1322,0.473672,0.749217,0.591545641304348,OV1369-R2,AKT2,242,242,5,1.59504,2.15702,11.5785
chr19,40255146,40255279,chr19:40761054-40761186,16.3459,-0.569724,0.105349,-0.451850358695652,OV1369-R2,AKT2,133,133,5,0.661654,1.21805,7.56391
chr19,40256867,40257109,chr19:40762775-40763016,58.9215,0.296626,0.318409,0.4144996413043479,OV1369-R2,AKT2,242,242,5,2.17355,10.4421,62.062
chr19,40282516,40282666,chr19:40788424-40788573,12.5933,-0.604676,0.20069,-0.486802358695652,OV1369-R2,AKT2,150,150,5,1.88667,4.46,31.46
chr17,31147562,31147664,chr17:29474581-29474682,75.2549,-1.84502,0.821437,-1.727146358695652,OV1369-R2,NF1,102,102,5,297.667,532.225,640.539
chr17,31155932,31156174,chr17:29482951-29483192,129.331,0.12036,0.913583,0.2382336413043479,OV1369-R2,NF1,242,242,5,80.0661,174.165,271.231
chr17,31158959,31159111,chr17:29485978-29486129,59.8421,-0.78478,0.878586,-0.6669063586956521,OV1369-R2,NF1,152,152,5,52.7566,124.039,183.901
chr17,31163158,31163400,chr17:29490177-29490418,106.079,0.618949,0.817275,0.7368226413043479,OV1369-R2,NF1,242,242,5,56.9959,92.3306,139.719
chr17,31169880,31170007,chr17:29496899-29497025,103.173,-0.1145,0.850299,0.0033736413043479,OV1369-R2,NF1,127,127,5,96.7717,133.378,166.843
chr17,31181393,31181515,chr17:29508412-29508533,162.516,-0.555553,0.787321,-0.437679358695652,OV1369-R2,NF1,122,122,5,151.18,335.475,478.926
chr17,31181685,31181807,chr17:29508704-29508825,142.721,-0.212559,0.845605,-0.094685358695652,OV1369-R2,NF1,122,122,5,126.533,245.713,373.377
chr17,31182464,31182706,chr17:29509483-29509724,81.2438,-0.537267,0.919851,-0.4193933586956521,OV1369-R2,NF1,242,242,5,103.926,220.446,238.074
chr17,31200386,31200628,chr17:29527405-29527646,105.318,-0.558009,0.919309,-0.440135358695652,OV1369-R2,NF1,242,242,5,152.979,271.438,328.351
chr17,31200945,31201217,chr17:29527964-29528235,109.798,-1.11162,0.918876,-0.993746358695652,OV1369-R2,NF1,272,272,5,260.254,384.257,432.504
chr17,31201385,31201507,chr17:29528404-29528525,41.3361,0.191497,0.87791,0.309370641304348,OV1369-R2,NF1,122,122,5,30.5164,53.2295,70.2131
chr17,31206183,31206425,chr17:29533202-29533443,79.5579,-0.685771,0.910114,-0.567897358695652,OV1369-R2,NF1,242,242,5,157.277,230.533,248.099
chr17,31214395,31214637,chr17:29541414-29541655,264.979,-0.0520507,0.765117,0.0658229413043479,OV1369-R2,NF1,242,242,5,195.921,445.198,650.0
chr17,31218994,31219133,chr17:29546013-29546151,134.072,-0.341774,0.486703,-0.223900358695652,OV1369-R2,NF1,139,139,5,57.0288,112.849,172.612
chr17,31223353,31223625,chr17:29550372-29550643,110.018,-0.240542,0.897823,-0.122668358695652,OV1369-R2,NF1,272,272,5,73.8897,205.577,291.897
chr17,31225050,31225292,chr17:29552069-29552310,40.3471,-0.830096,0.85018,-0.712222358695652,OV1369-R2,NF1,242,242,5,64.8926,140.715,154.397
chr17,31226377,31226739,chr17:29553396-29553757,43.0994,0.0138856,0.943973,0.1317592413043479,OV1369-R2,NF1,362,362,5,25.4972,29.3619,71.1989
chr17,31227472,31227624,chr17:29554491-29554642,317.553,-0.723639,0.387889,-0.6057653586956521,OV1369-R2,NF1,152,152,5,523.553,1073.38,1525.51
chr17,31228972,31229228,chr17:29555991-29556502,78.6562,0.102838,0.85422,0.2207116413043479,OV1369-R2,NF1,256,256,5,49.9688,76.0273,99.5
chr17,31229228,31229484,chr17:29555991-29556502,161.914,-0.445779,0.921962,-0.327905358695652,OV1369-R2,NF1,256,256,5,242.711,392.914,459.918
chr17,31229752,31230024,chr17:29556771-29557042,54.2684,-1.70076,0.925648,-1.582886358695652,OV1369-R2,NF1,272,272,5,185.717,300.026,338.89
chr17,31230198,31230440,chr17:29557217-29557458,177.517,-0.650701,0.923052,-0.532827358695652,OV1369-R2,NF1,242,242,5,218.868,399.174,579.876
chr17,31230821,31230943,chr17:29557840-29557961,528.861,-0.830013,0.883912,-0.712139358695652,OV1369-R2,NF1,122,122,5,768.557,1578.57,1985.34
chr17,31232062,31232250,chr17:29559081-29559268,100.702,-0.19011,0.855118,-0.072236358695652,OV1369-R2,NF1,188,188,5,136.559,167.782,206.84
chr17,31232668,31232910,chr17:29559687-29559928,78.8099,0.292528,0.566053,0.410401641304348,OV1369-R2,NF1,242,242,5,63.6694,69.1364,158.802
chr17,31232985,31233227,chr17:29560004-29560245,90.2149,-0.746369,0.779327,-0.628495358695652,OV1369-R2,NF1,242,242,5,155.227,217.169,245.959
chr17,31235569,31235811,chr17:29562588-29562829,91.9711,-0.721741,0.909954,-0.603867358695652,OV1369-R2,NF1,242,242,5,157.368,251.876,264.14
chr17,31235907,31236031,chr17:29562926-29563049,88.6774,-0.738754,0.841639,-0.6208803586956521,OV1369-R2,NF1,124,124,5,158.121,251.202,355.718
chr17,31248929,31249171,chr17:29575948-29576189,65.0207,-0.424645,0.880437,-0.306771358695652,OV1369-R2,NF1,242,242,5,69.876,146.128,156.554
chr17,31249916,31250018,chr17:29576935-29577036,80.4608,-0.195928,0.707178,-0.078054358695652,OV1369-R2,NF1,102,102,5,79.4314,148.49,199.961
chr17,31252906,31253028,chr17:29579925-29580046,42.5574,-0.605181,0.759264,-0.487307358695652,OV1369-R2,NF1,122,122,5,43.0082,89.6803,135.623
chr17,31258300,31258542,chr17:29585319-29585560,120.81,-0.291316,0.847921,-0.173442358695652,OV1369-R2,NF1,242,242,5,167.636,286.988,356.826
chr17,31259018,31259140,chr17:29586037-29586158,87.3689,-0.251883,0.908324,-0.134009358695652,OV1369-R2,NF1,122,122,5,83.7377,165.795,207.164
chr17,31260319,31260561,chr17:29587338-29587579,98.7934,-0.750971,0.826334,-0.6330973586956521,OV1369-R2,NF1,242,242,5,148.616,299.942,372.831
chr17,31261661,31261903,chr17:29588680-29588921,107.529,-0.409937,0.852516,-0.292063358695652,OV1369-R2,NF1,242,242,5,190.021,242.31,322.103
chr17,31265218,31265349,chr17:29592237-29592367,164.427,-0.38049,0.785176,-0.262616358695652,OV1369-R2,NF1,131,131,5,179.947,313.992,528.069
chr17,31294947,31295235,chr17:29621966-29623407,60.934,-0.920597,0.816659,-0.802723358695652,OV1369-R2,NF1,288,288,5,129.615,188.194,243.392
chr17,31295235,31295523,chr17:29621966-29623407,52.1389,-1.58279,0.796245,-1.464916358695652,OV1369-R2,NF1,288,288,5,204.576,299.396,312.427
chr17,31295523,31295812,chr17:29621966-29623407,46.8408,-2.20647,0.938852,-2.0885963586956517,OV1369-R2,NF1,289,289,5,224.332,432.692,515.498
chr17,31295812,31296100,chr17:29621966-29623407,40.9965,-0.776171,0.849312,-0.6582973586956521,OV1369-R2,NF1,288,288,5,62.1806,133.323,154.149
chr17,31296100,31296389,chr17:29621966-29623407,83.2803,-0.121155,0.934087,-0.003281358695652,OV1369-R2,NF1,289,289,5,91.045,173.263,183.927
chr17,31304213,31304501,chr17:29631232-29632673,44.441,-1.14967,0.912282,-1.031796358695652,OV1369-R2,NF1,288,288,5,124.743,171.812,194.816
chr17,31304501,31304789,chr17:29631232-29632673,40.8646,-1.45633,0.885296,-1.338456358695652,OV1369-R2,NF1,288,288,5,146.944,220.306,280.847
chr17,31304789,31305078,chr17:29631232-29632673,52.4844,-1.17698,0.909766,-1.059106358695652,OV1369-R2,NF1,289,289,5,126.592,216.028,279.522
chr17,31305078,31305366,chr17:29631232-29632673,125.958,-0.64413,0.595718,-0.526256358695652,OV1369-R2,NF1,288,288,5,224.062,324.983,508.771
chr17,31305366,31305655,chr17:29631232-29632673,110.19,-0.659949,0.838779,-0.542075358695652,OV1369-R2,NF1,289,289,5,206.965,314.654,324.356
chr17,31318240,31318520,chr17:29645259-29646100,58.7143,-0.495465,0.938265,-0.377591358695652,OV1369-R2,NF1,280,280,5,83.3071,119.311,151.975
chr17,31318520,31318801,chr17:29645259-29646100,91.2954,-0.289347,0.903883,-0.171473358695652,OV1369-R2,NF1,281,281,5,94.4021,234.52,262.37
chr17,31318801,31319082,chr17:29645259-29646100,106.302,-0.342078,0.831781,-0.224204358695652,OV1369-R2,NF1,281,281,5,121.068,290.886,333.235
chr17,31320350,31320489,chr17:29647369-29647507,30.6115,-0.812081,0.799823,-0.6942073586956521,OV1369-R2,NF1,139,139,5,53.1295,80.1007,110.432
chr17,31325793,31326034,chr17:29652812-29653293,49.9502,-0.45448,0.743387,-0.336606358695652,OV1369-R2,NF1,241,241,5,83.8755,97.6722,137.51
chr17,31326034,31326275,chr17:29652812-29653293,34.0747,-0.544641,0.753283,-0.4267673586956521,OV1369-R2,NF1,241,241,5,18.3402,47.3402,97.1701
chr17,31327486,31327849,chr17:29654505-29654867,72.1405,0.226392,0.906649,0.344265641304348,OV1369-R2,NF1,363,363,5,40.7769,52.4545,79.0
chr17,31330274,31330516,chr17:29657293-29657534,57.624,-0.327611,0.929143,-0.209737358695652,OV1369-R2,NF1,242,242,5,72.3182,126.86,143.132
chr17,31334812,31335054,chr17:29661831-29662072,59.8223,-0.910837,0.882197,-0.792963358695652,OV1369-R2,NF1,242,242,5,120.045,160.628,245.355
chr17,31336288,31336522,chr17:29663307-29663540,43.1197,-1.17168,0.909034,-1.053806358695652,OV1369-R2,NF1,234,234,5,91.5385,153.705,202.175
chr17,31336624,31336954,chr17:29663643-29663972,45.5091,-1.08852,0.915055,-0.970646358695652,OV1369-R2,NF1,330,330,5,117.079,192.615,205.494
chr17,31337352,31337594,chr17:29664371-29664612,93.2934,0.0961719,0.90699,0.2140455413043479,OV1369-R2,NF1,242,242,5,76.8058,137.194,159.921
chr17,31337787,31337909,chr17:29664806-29664927,103.467,0.358515,0.872698,0.4763886413043479,OV1369-R2,NF1,122,122,5,68.1885,133.566,157.484
chr17,31337981,31338201,chr17:29665000-29665219,102.923,-0.53262,0.922004,-0.414746358695652,OV1369-R2,NF1,220,220,5,200.923,238.691,283.541
chr17,31338692,31338815,chr17:29665711-29665833,67.7236,-0.227848,0.738674,-0.109974358695652,OV1369-R2,NF1,123,123,5,39.4553,110.561,149.423
chr17,31340452,31340694,chr17:29667471-29667712,59.5744,-0.463554,0.775401,-0.345680358695652,OV1369-R2,NF1,242,242,5,68.2066,138.066,176.57
chr17,31342919,31343191,chr17:29669938-29670209,47.4118,-0.342588,0.77691,-0.224714358695652,OV1369-R2,NF1,272,272,5,34.7463,92.0294,122.827
chr17,31344217,31344319,chr17:29671236-29671337,107.294,-0.865274,0.288304,-0.747400358695652,OV1369-R2,NF1,102,102,5,163.598,211.529,303.745
chr17,31345836,31345957,chr17:29672855-29672975,282.256,0.510629,0.321319,0.628502641304348,OV1369-R2,NF1,121,121,5,122.488,304.322,624.719
chr17,31346070,31346252,chr17:29673089-29673270,358.423,0.385662,0.908702,0.5035356413043479,OV1369-R2,NF1,182,182,5,190.132,335.022,501.044
chr17,31348932,31349033,chr17:29675951-29676051,70.7228,-0.406476,0.828483,-0.288602358695652,OV1369-R2,NF1,101,101,5,56.0099,129.96,181.079
chr17,31349109,31349305,chr17:29676128-29676323,73.6378,-0.336407,0.890436,-0.218533358695652,OV1369-R2,NF1,196,196,5,70.1735,148.02,190.842
chr17,31350128,31350370,chr17:29677147-29677388,71.8306,-0.655462,0.922819,-0.537588358695652,OV1369-R2,NF1,242,242,5,104.938,190.202,224.236
chr17,31352213,31352436,chr17:29679232-29679454,49.4529,0.745328,0.822509,0.863201641304348,OV1369-R2,NF1,223,223,5,20.3857,37.2601,50.991
chr17,31356398,31356640,chr17:29683417-29683658,101.273,-0.0655863,0.910294,0.0522873413043479,OV1369-R2,NF1,242,242,5,96.3967,158.793,270.541
chr17,31356902,31357144,chr17:29683921-29684162,47.2066,-1.00926,0.895701,-0.8913863586956521,OV1369-R2,NF1,242,242,5,113.103,144.719,159.682
chr17,31357256,31357379,chr17:29684275-29684397,66.6016,-0.998838,0.823437,-0.880964358695652,OV1369-R2,NF1,123,123,5,132.48,267.049,285.52
chr17,31358428,31358670,chr17:29685447-29685688,77.9174,-0.845463,0.88096,-0.727589358695652,OV1369-R2,NF1,242,242,5,140.702,213.752,269.293
chr17,31358899,31359051,chr17:29685918-29686069,80.5987,-0.155206,0.788607,-0.037332358695652,OV1369-R2,NF1,152,152,5,64.6711,96.4211,104.263
chr17,31360472,31360714,chr17:29687491-29687732,104.244,-0.347555,0.808414,-0.229681358695652,OV1369-R2,NF1,242,242,5,142.748,181.244,222.855
chr17,31367189,31367311,chr17:29694208-29694329,60.4426,-0.28204,0.779847,-0.164166358695652,OV1369-R2,NF1,122,122,5,88.0,92.1885,124.221
chr17,31373961,31374218,chr17:29700980-29701493,83.9144,0.226472,0.93003,0.3443456413043479,OV1369-R2,NF1,257,257,5,47.0272,60.5019,118.914
chr17,31374218,31374475,chr17:29700980-29701493,75.5292,0.184733,0.856846,0.302606641304348,OV1369-R2,NF1,257,257,5,89.6148,96.1245,128.712
chr17,31374646,31374748,chr17:29701665-29701766,194.343,-0.00296704,0.256952,0.1149066013043479,OV1369-R2,NF1,102,102,5,195.686,239.382,280.794
chr17,31375020,31375122,chr17:29702039-29702140,266.49,1.09314,0.595744,1.211013641304348,OV1369-R2,NF1,102,102,5,109.245,241.353,291.127
chr17,31375302,31375404,chr17:29702321-29702422,124.412,0.0318554,0.703827,0.1497290413043479,OV1369-R2,NF1,102,102,5,68.3137,210.657,356.618
chr17,31375541,31375643,chr17:29702560-29702661,186.971,0.210621,0.886983,0.3284946413043479,OV1369-R2,NF1,102,102,5,99.049,202.637,259.98
chr17,31377078,31377179,chr17:29704097-29704197,63.3762,0.120453,0.707619,0.2383266413043479,OV1369-R2,NF1,101,101,5,43.6634,91.4455,132.485
chr17,31377370,31377566,chr17:29704389-29704584,39.6633,-0.782797,0.880465,-0.664923358695652,OV1369-R2,NF1,196,196,5,62.1633,104.48,138.383
chr17,31377605,31377707,chr17:29704624-29704725,46.7451,-1.02836,0.86849,-0.910486358695652,OV1369-R2,NF1,102,102,5,85.9412,151.176,164.716
chr17,31381785,31381975,chr17:29708804-29708993,52.8158,0.0945283,0.722503,0.2124019413043479,OV1369-R2,NF1,190,190,5,41.6632,54.7579,98.8579
chr9,21967451,21967752,chr9:21967150-21967751,0.0,-25.8634,0.860833,-25.74552635869565,OV1369-R2,CDKN2A,301,301,5,48.7076,97.0997,118.535
chr9,21968143,21968295,chr9:21968143-21968294,0.888158,-6.08519,0.903441,-5.967316358695652,OV1369-R2,CDKN2A,152,152,5,4.55921,9.89474,59.4868
chr9,21968696,21968798,chr9:21968696-21968797,0.0,-23.4479,0.188088,-23.33002635869565,OV1369-R2,CDKN2A,102,102,5,5.51961,9.5098,27.8922
chr9,21974439,21974739,chr9:21974439-21975039,0.0,-26.8082,0.249439,-26.69032635869565,OV1369-R2,CDKN2A,300,300,5,1.22667,2.89333,22.39
chr19,29817087,29817329,chr19:30307995-30308236,394.913,2.51266,0.911877,2.41354576776994,OV2085,CCNE1,242,242,5,10.9711,25.4339,80.4008
chr19,29817351,29817593,chr19:30308259-30308500,448.264,2.65485,0.908905,2.5557357677699404,OV2085,CCNE1,242,242,5,76.9504,137.343,152.207
chr19,29820622,29820894,chr19:30311530-30311801,403.397,2.57743,0.888447,2.4783157677699403,OV2085,CCNE1,272,272,5,91.9485,139.25,169.717
chr19,29821707,29821829,chr19:30312615-30312736,441.992,2.65688,0.906895,2.5577657677699404,OV2085,CCNE1,122,122,5,109.623,140.541,154.148
chr19,29821940,29822182,chr19:30312848-30313089,373.475,2.5047,0.949021,2.4055857677699404,OV2085,CCNE1,242,242,5,44.6488,77.3058,114.091
chr19,29822229,29822361,chr19:30313137-30313268,656.864,2.08302,0.59842,1.98390576776994,OV2085,CCNE1,132,132,5,176.174,269.045,421.75
chr19,29822402,29822644,chr19:30313310-30313551,455.401,2.07563,0.781994,1.97651576776994,OV2085,CCNE1,242,242,5,25.8802,61.7975,164.149
chr11,69643789,69644031,chr11:69458558-69458799,31.5083,-0.180606,0.735193,-0.2797202322300597,OV2085,CCND1,242,242,5,0.0,0.834711,2.02479
chr11,69647945,69648187,chr11:69462714-69462955,40.5579,0.0858699,0.887297,-0.0132443322300596,OV2085,CCND1,242,242,5,0.702479,1.2562,4.41736
chr11,69652140,69652348,chr11:69466909-69467116,45.625,0.513147,0.517954,0.4140327677699403,OV2085,CCND1,208,208,5,33.5433,56.1875,77.1394
chr17,39708275,39708547,chr17:37864529-37864800,51.0257,-0.0116782,0.708753,-0.1107924322300596,OV2085,ERBB2,272,272,5,0.0,0.606618,6.60294
chr17,39709232,39709504,chr17:37865486-37865757,39.3088,-0.512558,0.703133,-0.6116722322300596,OV2085,ERBB2,272,272,5,2.16544,5.38971,36.9375
chr17,39709784,39709906,chr17:37866038-37866159,18.877,-1.41334,0.147886,-1.5124542322300598,OV2085,ERBB2,122,122,5,0.0,0.622951,8.81967
chr17,39711835,39712058,chr17:37868089-37868757,26.704,-1.26489,0.689173,-1.3640042322300598,OV2085,ERBB2,223,223,5,4.38565,5.25561,60.0852
chr17,39712281,39712504,chr17:37868089-37868757,38.7534,-0.523959,0.815538,-0.6230732322300596,OV2085,ERBB2,223,223,5,0.0,3.49327,27.5874
chr17,39715230,39715382,chr17:37871484-37871635,38.5066,-0.589157,0.371987,-0.6882712322300597,OV2085,ERBB2,152,152,5,0.0,1.40789,7.72368
chr17,39717247,39717519,chr17:37873501-37873772,57.1765,0.942604,0.642776,0.8434897677699403,OV2085,ERBB2,272,272,5,0.286765,0.996324,3.875
chr17,39719718,39719870,chr17:37875972-37876123,51.5987,-0.897922,0.265523,-0.9970362322300595,OV2085,ERBB2,152,152,5,3.30263,5.05263,77.0461
chr17,39723868,39724020,chr17:37880122-37880273,41.2763,0.0727442,0.514511,-0.0263700322300596,OV2085,ERBB2,152,152,5,6.07237,18.8158,85.5987
chr17,39724696,39724938,chr17:37880950-37881191,51.2851,-0.397368,0.104601,-0.4964822322300597,OV2085,ERBB2,242,242,5,2.05785,5.22314,15.0289
chr17,39725004,39725246,chr17:37881258-37881499,37.1777,-0.0144681,0.72957,-0.1135823322300596,OV2085,ERBB2,242,242,5,1.1281,2.57438,7.86777
chr17,39727238,39727600,chr17:37883492-37883853,47.1547,-0.275372,0.809693,-0.3744862322300597,OV2085,ERBB2,362,362,5,0.0,0.544199,0.709945
chr19,40232303,40232404,chr19:40738211-40738311,97.2871,0.798766,0.854649,0.6996517677699403,OV2085,AKT2,101,101,5,9.20792,12.2079,65.7129
chr19,40234870,40235157,chr19:40740778-40741064,68.899,0.402802,0.584676,0.3036877677699403,OV2085,AKT2,287,287,5,0.379791,1.87456,4.31707
chr19,40236198,40236440,chr19:40742106-40742347,63.7562,0.568967,0.767745,0.4698527677699403,OV2085,AKT2,242,242,5,1.59504,2.15702,11.5785
chr19,40255146,40255279,chr19:40761054-40761186,34.3233,0.512047,0.130342,0.4129327677699403,OV2085,AKT2,133,133,5,0.661654,1.21805,7.56391
chr19,40256867,40257109,chr19:40762775-40763016,71.5744,0.449674,0.336937,0.3505597677699403,OV2085,AKT2,242,242,5,2.17355,10.4421,62.062
chr19,40282516,40282666,chr19:40788424-40788573,14.7733,-0.251225,0.224224,-0.3503392322300597,OV2085,AKT2,150,150,5,1.88667,4.46,31.46
chr17,31147562,31147664,chr17:29474581-29474682,96.3627,-0.970869,0.849976,-1.0699832322300598,OV2085,NF1,102,102,5,297.667,532.225,640.539
chr17,31155932,31156174,chr17:29482951-29483192,100.45,0.291289,0.932111,0.1921747677699403,OV2085,NF1,242,242,5,80.0661,174.165,271.231
chr17,31158959,31159111,chr17:29485978-29486129,61.3355,-0.0602991,0.901964,-0.1594133322300596,OV2085,NF1,152,152,5,52.7566,124.039,183.901
chr17,31163158,31163400,chr17:29490177-29490418,58.2603,0.0898845,0.835803,-0.0092297322300596,OV2085,NF1,242,242,5,56.9959,92.3306,139.719
chr17,31169880,31170007,chr17:29496899-29497025,81.4646,0.22726,0.875875,0.1281457677699403,OV2085,NF1,127,127,5,96.7717,133.378,166.843
chr17,31181393,31181515,chr17:29508412-29508533,148.246,-0.0224744,0.813416,-0.1215886322300597,OV2085,NF1,122,122,5,151.18,335.475,478.926
chr17,31181685,31181807,chr17:29508704-29508825,142.943,0.360982,0.8717,0.2618677677699403,OV2085,NF1,122,122,5,126.533,245.713,373.377
chr17,31182464,31182706,chr17:29509483-29509724,77.3017,-0.11379,0.938379,-0.2129042322300597,OV2085,NF1,242,242,5,103.926,220.446,238.074
chr17,31200386,31200628,chr17:29527405-29527646,96.1983,-0.201873,0.937837,-0.3009872322300597,OV2085,NF1,242,242,5,152.979,271.438,328.351
chr17,31200945,31201217,chr17:29527964-29528235,103.364,-0.753231,0.936352,-0.8523452322300596,OV2085,NF1,272,272,5,260.254,384.257,432.504
chr17,31201385,31201507,chr17:29528404-29528525,41.7869,0.851813,0.904005,0.7526987677699404,OV2085,NF1,122,122,5,30.5164,53.2295,70.2131
chr17,31206183,31206425,chr17:29533202-29533443,78.3388,-0.287466,0.928642,-0.3865802322300596,OV2085,NF1,242,242,5,157.277,230.533,248.099
chr17,31214395,31214637,chr17:29541414-29541655,357.331,0.947717,0.783645,0.8486027677699404,OV2085,NF1,242,242,5,195.921,445.198,650.0
chr17,31218994,31219133,chr17:29546013-29546151,125.309,-0.220751,0.51115,-0.3198652322300597,OV2085,NF1,139,139,5,57.0288,112.849,172.612
chr17,31223353,31223625,chr17:29550372-29550643,62.9816,-0.444216,0.9153,-0.5433302322300597,OV2085,NF1,272,272,5,73.8897,205.577,291.897
chr17,31225050,31225292,chr17:29552069-29552310,46.8347,-0.27524,0.868708,-0.3743542322300597,OV2085,NF1,242,242,5,64.8926,140.715,154.397
chr17,31226377,31226739,chr17:29553396-29553757,41.8425,0.11508,0.959122,0.0159657677699403,OV2085,NF1,362,362,5,25.4972,29.3619,71.1989
chr17,31227472,31227624,chr17:29554491-29554642,266.967,-0.348775,0.411267,-0.4478892322300597,OV2085,NF1,152,152,5,523.553,1073.38,1525.51
chr17,31228972,31229228,chr17:29555991-29556502,71.4531,0.0707917,0.872234,-0.0283225322300596,OV2085,NF1,256,256,5,49.9688,76.0273,99.5
chr17,31229228,31229484,chr17:29555991-29556502,162.035,-0.218433,0.939977,-0.3175472322300596,OV2085,NF1,256,256,5,242.711,392.914,459.918
chr17,31229752,31230024,chr17:29556771-29557042,75.9963,-0.770284,0.943124,-0.8693982322300596,OV2085,NF1,272,272,5,185.717,300.026,338.89
chr17,31230198,31230440,chr17:29557217-29557458,159.529,-0.287792,0.94158,-0.3869062322300597,OV2085,NF1,242,242,5,218.868,399.174,579.876
chr17,31230821,31230943,chr17:29557840-29557961,426.484,-0.5652,0.910007,-0.6643142322300597,OV2085,NF1,122,122,5,768.557,1578.57,1985.34
chr17,31232062,31232250,chr17:29559081-29559268,92.4255,0.20897,0.876139,0.1098557677699403,OV2085,NF1,188,188,5,136.559,167.782,206.84
chr17,31232668,31232910,chr17:29559687-29559928,77.7645,0.55223,0.584581,0.4531157677699403,OV2085,NF1,242,242,5,63.6694,69.1364,158.802
chr17,31232985,31233227,chr17:29560004-29560245,82.6488,-0.571095,0.797855,-0.6702092322300597,OV2085,NF1,242,242,5,155.227,217.169,245.959
chr17,31235569,31235811,chr17:29562588-29562829,71.0165,-0.716123,0.928482,-0.8152372322300596,OV2085,NF1,242,242,5,157.368,251.876,264.14
