gene,ensembl_gene_id,chromosome,start,end,arm,coordinate_convention,assembly,source_url,annotation_version,panel_group
KRAS,ENSG00000133703,chr12,25205245,25326473,12p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000133703,{'releases': [116]},oncogene_gain_screen
NRAS,ENSG00000213281,chr1,114704467,114716775,1p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000213281,{'releases': [116]},oncogene_gain_screen
BRAF,ENSG00000157764,chr7,140719326,140925199,7q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000157764,{'releases': [116]},oncogene_gain_screen
AKT2,ENSG00000105221,chr19,40230316,40285536,19q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000105221,{'releases': [116]},oncogene_gain_screen
PIK3CA,ENSG00000121879,chr3,179148113,179240093,3q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000121879,{'releases': [116]},oncogene_gain_screen
PRKCI,ENSG00000163558,chr3,170222123,170322329,3q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000163558,{'releases': [116]},oncogene_gain_screen
MECOM,ENSG00000085276,chr3,169083498,169663775,3q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000085276,{'releases': [116]},oncogene_gain_screen
BCL2L1,ENSG00000171552,chr20,31664451,31723989,20q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000171552,{'releases': [116]},oncogene_gain_screen
ZNF217,ENSG00000171940,chr20,53567070,53609907,20q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000171940,{'releases': [116]},oncogene_gain_screen
SOX2,ENSG00000181449,chr3,181711924,181714436,3q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000181449,{'releases': [116]},oncogene_gain_screen
NF1,ENSG00000196712,chr17,31094882,31382116,17q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000196712,{'releases': [116]},other_locus_screen
RB1,ENSG00000139687,chr13,48303709,48599436,13q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000139687,{'releases': [116]},other_locus_screen
PTEN,ENSG00000171862,chr10,87862637,87971930,10q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000171862,{'releases': [116]},other_locus_screen
CDKN2A,ENSG00000147889,chr9,21966923,21995301,9p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000147889,{'releases': [116]},other_locus_screen
CDKN2B,ENSG00000147883,chr9,22002899,22009325,9p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000147883,{'releases': [116]},other_locus_screen
BRCA1,ENSG00000012048,chr17,43044291,43170245,17q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000012048,{'releases': [116]},other_locus_screen
BRCA2,ENSG00000139618,chr13,32315085,32400268,13q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000139618,{'releases': [116]},other_locus_screen
PALB2,ENSG00000083093,chr16,23603157,23641342,16p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000083093,{'releases': [116]},other_locus_screen
RAD51C,ENSG00000108384,chr17,58692568,58735611,17q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000108384,{'releases': [116]},other_locus_screen
RAD51D,ENSG00000185379,chr17,35092220,35121522,17q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000185379,{'releases': [116]},other_locus_screen
BRIP1,ENSG00000136492,chr17,61679138,61863561,17q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000136492,{'releases': [116]},other_locus_screen
ATM,ENSG00000149311,chr11,108222787,108369102,11q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000149311,{'releases': [116]},other_locus_screen
CHEK2,ENSG00000183765,chr22,28687737,28742422,22q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000183765,{'releases': [116]},other_locus_screen
CDK12,ENSG00000167258,chr17,39461436,39567559,17q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000167258,{'releases': [116]},other_locus_screen
ARID1A,ENSG00000117713,chr1,26693235,26782104,1p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000117713,{'releases': [116]},other_locus_screen
SMARCA4,ENSG00000127616,chr19,10960823,11079426,19p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000127616,{'releases': [116]},other_locus_screen
SMARCA2,ENSG00000080503,chr9,1980289,2193624,9p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000080503,{'releases': [116]},other_locus_screen
MLH1,ENSG00000076242,chr3,36992833,37051505,3p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000076242,{'releases': [116]},other_locus_screen
MSH2,ENSG00000095002,chr2,47403066,47663146,2p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000095002,{'releases': [116]},other_locus_screen
MSH6,ENSG00000116062,chr2,47695529,47810109,2p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000116062,{'releases': [116]},other_locus_screen
PMS2,ENSG00000122512,chr7,5970924,6009130,7p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000122512,{'releases': [116]},other_locus_screen
TP53,ENSG00000141510,chr17,7661778,7687546,17p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000141510,{'releases': [116]},other_locus_screen
FBXW7,ENSG00000109670,chr4,152320543,152536353,4q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000109670,{'releases': [116]},other_locus_screen
POLE,ENSG00000177084,chr12,132623752,132687376,12q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000177084,{'releases': [116]},other_locus_screen
POLD1,ENSG00000062822,chr19,50384203,50418018,19q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000062822,{'releases': [116]},other_locus_screen
CTNNB1,ENSG00000168036,chr3,41194740,41260096,3p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000168036,{'releases': [116]},other_locus_screen
ARID1B,ENSG00000049618,chr6,156776019,157211460,6q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000049618,{'releases': [116]},other_locus_screen
SMAD4,ENSG00000141646,chr18,51028527,51085045,18q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000141646,{'releases': [116]},other_locus_screen
