gene_symbol,chromosome,start,end,depth,sample_id
NF1,chr17,31295235,31295523,301.931,SRR4039087
NF1,chr17,31295523,31295812,515.498,SRR4039087
NF1,chr17,31295812,31296100,154.149,SRR4039087
NF1,chr17,31296100,31296389,173.263,SRR4039087
NF1,chr17,31304213,31304501,194.816,SRR4039087
NF1,chr17,31304501,31304789,280.847,SRR4039087
NF1,chr17,31304789,31305078,279.522,SRR4039087
NF1,chr17,31305078,31305366,224.062,SRR4039087
NF1,chr17,31305366,31305655,314.54,SRR4039087
NF1,chr17,31318240,31318520,119.311,SRR4039087
NF1,chr17,31318520,31318801,262.37,SRR4039087
NF1,chr17,31318801,31319082,333.235,SRR4039087
NF1,chr17,31320350,31320489,110.432,SRR4039087
NF1,chr17,31325793,31326034,83.8755,SRR4039087
NF1,chr17,31326034,31326275,18.3402,SRR4039087
NF1,chr17,31327486,31327849,40.7769,SRR4039087
NF1,chr17,31330274,31330516,143.132,SRR4039087
NF1,chr17,31334812,31335054,233.347,SRR4039087
NF1,chr17,31336288,31336522,202.175,SRR4039087
NF1,chr17,31336624,31336954,166.452,SRR4039087
NF1,chr17,31337352,31337594,76.8058,SRR4039087
NF1,chr17,31337787,31337909,157.287,SRR4039087
NF1,chr17,31337981,31338201,283.541,SRR4039087
NF1,chr17,31338692,31338815,149.423,SRR4039087
NF1,chr17,31340452,31340694,68.2066,SRR4039087
NF1,chr17,31342919,31343191,108.949,SRR4039087
NF1,chr17,31344217,31344319,163.598,SRR4039087
NF1,chr17,31345836,31345957,122.488,SRR4039087
NF1,chr17,31346070,31346252,190.132,SRR4039087
NF1,chr17,31348932,31349033,181.079,SRR4039087
NF1,chr17,31349109,31349305,153.52,SRR4039087
NF1,chr17,31350128,31350370,224.236,SRR4039087
NF1,chr17,31352213,31352436,20.3857,SRR4039087
NF1,chr17,31356398,31356640,270.541,SRR4039087
NF1,chr17,31356902,31357144,159.289,SRR4039087
NF1,chr17,31357256,31357379,267.049,SRR4039087
NF1,chr17,31358428,31358670,269.293,SRR4039087
NF1,chr17,31358899,31359051,96.4211,SRR4039087
NF1,chr17,31360472,31360714,142.748,SRR4039087
NF1,chr17,31367189,31367311,92.1885,SRR4039087
NF1,chr17,31373961,31374218,47.0272,SRR4039087
NF1,chr17,31374218,31374475,95.2023,SRR4039087
NF1,chr17,31374646,31374748,239.382,SRR4039087
NF1,chr17,31375020,31375122,291.127,SRR4039087
NF1,chr17,31375302,31375404,356.618,SRR4039087
NF1,chr17,31375541,31375643,259.98,SRR4039087
NF1,chr17,31377078,31377179,117.673,SRR4039087
NF1,chr17,31377370,31377566,138.383,SRR4039087
NF1,chr17,31377605,31377707,151.176,SRR4039087
NF1,chr17,31381785,31381975,52.8211,SRR4039087
CDKN2A,chr9,21967451,21967752,102.837,SRR4039087
CDKN2A,chr9,21968143,21968295,9.89474,SRR4039087
CDKN2A,chr9,21968696,21968798,5.51961,SRR4039087
CDKN2A,chr9,21974439,21974739,2.89333,SRR4039087
CCNE1,chr19,29817087,29817329,14.1364,SRR4039088
CCNE1,chr19,29817351,29817593,100.463,SRR4039088
CCNE1,chr19,29820622,29820894,139.25,SRR4039088
CCNE1,chr19,29821707,29821829,140.541,SRR4039088
CCNE1,chr19,29821940,29822182,44.6488,SRR4039088
CCNE1,chr19,29822229,29822361,176.174,SRR4039088
CCNE1,chr19,29822402,29822644,43.4835,SRR4039088
CCND1,chr11,69643789,69644031,0.0,SRR4039088
CCND1,chr11,69647945,69648187,0.793388,SRR4039088
CCND1,chr11,69652140,69652348,33.5433,SRR4039088
ERBB2,chr17,39708275,39708547,0.0,SRR4039088
ERBB2,chr17,39709232,39709504,5.38971,SRR4039088
ERBB2,chr17,39709784,39709906,0.0,SRR4039088
ERBB2,chr17,39711835,39712058,5.25561,SRR4039088
ERBB2,chr17,39712281,39712504,1.47982,SRR4039088
ERBB2,chr17,39715230,39715382,3.13158,SRR4039088
ERBB2,chr17,39717247,39717519,0.709559,SRR4039088
ERBB2,chr17,39719718,39719870,5.05263,SRR4039088
ERBB2,chr17,39723868,39724020,9.65132,SRR4039088
ERBB2,chr17,39724696,39724938,5.99587,SRR4039088
ERBB2,chr17,39725004,39725246,1.1281,SRR4039088
ERBB2,chr17,39727238,39727600,0.0,SRR4039088
AKT2,chr19,40232303,40232404,9.20792,SRR4039088
AKT2,chr19,40234870,40235157,0.379791,SRR4039088
AKT2,chr19,40236198,40236440,1.59504,SRR4039088
AKT2,chr19,40255146,40255279,0.699248,SRR4039088
AKT2,chr19,40256867,40257109,3.18182,SRR4039088
AKT2,chr19,40282516,40282666,1.98,SRR4039088
NF1,chr17,31147562,31147664,546.99,SRR4039088
NF1,chr17,31155932,31156174,186.839,SRR4039088
NF1,chr17,31158959,31159111,124.039,SRR4039088
NF1,chr17,31163158,31163400,92.3306,SRR4039088
NF1,chr17,31169880,31170007,133.378,SRR4039088
NF1,chr17,31181393,31181515,335.475,SRR4039088
NF1,chr17,31181685,31181807,279.434,SRR4039088
NF1,chr17,31182464,31182706,220.446,SRR4039088
NF1,chr17,31200386,31200628,288.244,SRR4039088
NF1,chr17,31200945,31201217,384.257,SRR4039088
NF1,chr17,31201385,31201507,70.2131,SRR4039088
NF1,chr17,31206183,31206425,230.533,SRR4039088
NF1,chr17,31214395,31214637,445.198,SRR4039088
NF1,chr17,31218994,31219133,87.9424,SRR4039088
NF1,chr17,31223353,31223625,205.577,SRR4039088
NF1,chr17,31225050,31225292,142.983,SRR4039088
NF1,chr17,31226377,31226739,29.3619,SRR4039088
NF1,chr17,31227472,31227624,1073.38,SRR4039088
NF1,chr17,31228972,31229228,49.9688,SRR4039088
NF1,chr17,31229228,31229484,392.914,SRR4039088
NF1,chr17,31229752,31230024,300.21,SRR4039088
NF1,chr17,31230198,31230440,399.174,SRR4039088
NF1,chr17,31230821,31230943,1578.57,SRR4039088
NF1,chr17,31232062,31232250,153.686,SRR4039088
NF1,chr17,31232668,31232910,63.6694,SRR4039088
NF1,chr17,31232985,31233227,217.169,SRR4039088
NF1,chr17,31235569,31235811,259.186,SRR4039088
NF1,chr17,31235907,31236031,251.202,SRR4039088
NF1,chr17,31248929,31249171,156.554,SRR4039088
NF1,chr17,31249916,31250018,199.961,SRR4039088
NF1,chr17,31252906,31253028,89.6803,SRR4039088
NF1,chr17,31258300,31258542,286.988,SRR4039088
NF1,chr17,31259018,31259140,165.795,SRR4039088
NF1,chr17,31260319,31260561,299.942,SRR4039088
NF1,chr17,31261661,31261903,242.31,SRR4039088
NF1,chr17,31265218,31265349,310.473,SRR4039088
NF1,chr17,31294947,31295235,235.288,SRR4039088
NF1,chr17,31295235,31295523,312.427,SRR4039088
NF1,chr17,31295523,31295812,432.692,SRR4039088
NF1,chr17,31295812,31296100,148.635,SRR4039088
NF1,chr17,31296100,31296389,177.505,SRR4039088
NF1,chr17,31304213,31304501,171.812,SRR4039088
NF1,chr17,31304501,31304789,228.674,SRR4039088
NF1,chr17,31304789,31305078,238.087,SRR4039088
NF1,chr17,31305078,31305366,234.194,SRR4039088
NF1,chr17,31305366,31305655,322.609,SRR4039088
NF1,chr17,31318240,31318520,83.3071,SRR4039088
NF1,chr17,31318520,31318801,247.544,SRR4039088
NF1,chr17,31318801,31319082,311.427,SRR4039088
NF1,chr17,31320350,31320489,95.6547,SRR4039088
NF1,chr17,31325793,31326034,91.0249,SRR4039088
NF1,chr17,31326034,31326275,38.3693,SRR4039088
NF1,chr17,31327486,31327849,41.6309,SRR4039088
NF1,chr17,31330274,31330516,138.302,SRR4039088
NF1,chr17,31334812,31335054,160.628,SRR4039088
NF1,chr17,31336288,31336522,176.863,SRR4039088
NF1,chr17,31336624,31336954,197.439,SRR4039088
NF1,chr17,31337352,31337594,108.384,SRR4039088
NF1,chr17,31337787,31337909,157.484,SRR4039088
NF1,chr17,31337981,31338201,238.691,SRR4039088
NF1,chr17,31338692,31338815,145.984,SRR4039088
NF1,chr17,31340452,31340694,95.938,SRR4039088
NF1,chr17,31342919,31343191,92.0294,SRR4039088
NF1,chr17,31344217,31344319,195.039,SRR4039088
NF1,chr17,31345836,31345957,217.463,SRR4039088
NF1,chr17,31346070,31346252,280.385,SRR4039088
NF1,chr17,31348932,31349033,144.584,SRR4039088
NF1,chr17,31349109,31349305,148.02,SRR4039088
NF1,chr17,31350128,31350370,213.207,SRR4039088
NF1,chr17,31352213,31352436,22.3229,SRR4039088
NF1,chr17,31356398,31356640,179.826,SRR4039088
NF1,chr17,31356902,31357144,144.719,SRR4039088
NF1,chr17,31357256,31357379,272.894,SRR4039088
NF1,chr17,31358428,31358670,213.752,SRR4039088
NF1,chr17,31358899,31359051,96.4868,SRR4039088
NF1,chr17,31360472,31360714,181.244,SRR4039088
NF1,chr17,31367189,31367311,115.852,SRR4039088
NF1,chr17,31373961,31374218,53.8833,SRR4039088
NF1,chr17,31374218,31374475,96.1245,SRR4039088
NF1,chr17,31374646,31374748,248.098,SRR4039088
NF1,chr17,31375020,31375122,151.02,SRR4039088
NF1,chr17,31375302,31375404,213.412,SRR4039088
NF1,chr17,31375541,31375643,202.637,SRR4039088
NF1,chr17,31377078,31377179,67.9604,SRR4039088
NF1,chr17,31377370,31377566,127.786,SRR4039088
NF1,chr17,31377605,31377707,164.716,SRR4039088
NF1,chr17,31381785,31381975,41.6632,SRR4039088
CDKN2A,chr9,21967451,21967752,88.907,SRR4039088
CDKN2A,chr9,21968143,21968295,4.55921,SRR4039088
CDKN2A,chr9,21968696,21968798,6.30392,SRR4039088
CDKN2A,chr9,21974439,21974739,2.7,SRR4039088
CCNE1,chr19,29817087,29817329,80.4008,SRR4039089
CCNE1,chr19,29817351,29817593,152.207,SRR4039089
CCNE1,chr19,29820622,29820894,102.989,SRR4039089
CCNE1,chr19,29821707,29821829,116.443,SRR4039089
CCNE1,chr19,29821940,29822182,93.9587,SRR4039089
CCNE1,chr19,29822229,29822361,421.75,SRR4039089
CCNE1,chr19,29822402,29822644,162.537,SRR4039089
CCND1,chr11,69643789,69644031,2.02479,SRR4039089
CCND1,chr11,69647945,69648187,4.41736,SRR4039089
CCND1,chr11,69652140,69652348,56.1875,SRR4039089
ERBB2,chr17,39708275,39708547,6.60294,SRR4039089
ERBB2,chr17,39709232,39709504,36.9375,SRR4039089
ERBB2,chr17,39709784,39709906,8.81967,SRR4039089
ERBB2,chr17,39711835,39712058,60.0852,SRR4039089
ERBB2,chr17,39712281,39712504,27.5874,SRR4039089
ERBB2,chr17,39715230,39715382,7.72368,SRR4039089
ERBB2,chr17,39717247,39717519,3.875,SRR4039089
ERBB2,chr17,39719718,39719870,77.0461,SRR4039089
ERBB2,chr17,39723868,39724020,85.5987,SRR4039089
ERBB2,chr17,39724696,39724938,15.0289,SRR4039089
ERBB2,chr17,39725004,39725246,7.86777,SRR4039089
ERBB2,chr17,39727238,39727600,0.0,SRR4039089
AKT2,chr19,40232303,40232404,65.7129,SRR4039089
AKT2,chr19,40234870,40235157,4.31707,SRR4039089
AKT2,chr19,40236198,40236440,11.5785,SRR4039089
AKT2,chr19,40255146,40255279,7.56391,SRR4039089
AKT2,chr19,40256867,40257109,62.062,SRR4039089
AKT2,chr19,40282516,40282666,31.46,SRR4039089
NF1,chr17,31147562,31147664,297.667,SRR4039089
NF1,chr17,31155932,31156174,80.0661,SRR4039089
NF1,chr17,31158959,31159111,52.7566,SRR4039089
NF1,chr17,31163158,31163400,80.2397,SRR4039089
NF1,chr17,31169880,31170007,104.756,SRR4039089
NF1,chr17,31181393,31181515,151.18,SRR4039089
NF1,chr17,31181685,31181807,126.533,SRR4039089
NF1,chr17,31182464,31182706,103.926,SRR4039089
NF1,chr17,31200386,31200628,152.979,SRR4039089
NF1,chr17,31200945,31201217,260.254,SRR4039089
NF1,chr17,31201385,31201507,30.5164,SRR4039089
NF1,chr17,31206183,31206425,157.277,SRR4039089
NF1,chr17,31214395,31214637,195.921,SRR4039089
NF1,chr17,31218994,31219133,153.014,SRR4039089
NF1,chr17,31223353,31223625,73.8897,SRR4039089
NF1,chr17,31225050,31225292,64.8926,SRR4039089
NF1,chr17,31226377,31226739,62.3729,SRR4039089
NF1,chr17,31227472,31227624,523.553,SRR4039089
NF1,chr17,31228972,31229228,76.0273,SRR4039089
NF1,chr17,31229228,31229484,242.711,SRR4039089
NF1,chr17,31229752,31230024,185.717,SRR4039089
NF1,chr17,31230198,31230440,218.868,SRR4039089
NF1,chr17,31230821,31230943,768.557,SRR4039089
NF1,chr17,31232062,31232250,180.314,SRR4039089
NF1,chr17,31232668,31232910,158.802,SRR4039089
NF1,chr17,31232985,31233227,155.227,SRR4039089
NF1,chr17,31235569,31235811,157.368,SRR4039089
NF1,chr17,31235907,31236031,158.121,SRR4039089
NF1,chr17,31248929,31249171,69.876,SRR4039089
NF1,chr17,31249916,31250018,79.4314,SRR4039089
NF1,chr17,31252906,31253028,43.0082,SRR4039089
NF1,chr17,31258300,31258542,167.636,SRR4039089
NF1,chr17,31259018,31259140,83.7377,SRR4039089
NF1,chr17,31260319,31260561,148.616,SRR4039089
NF1,chr17,31261661,31261903,190.021,SRR4039089
NF1,chr17,31265218,31265349,179.947,SRR4039089
NF1,chr17,31294947,31295235,129.615,SRR4039089
NF1,chr17,31295235,31295523,204.576,SRR4039089
NF1,chr17,31295523,31295812,224.332,SRR4039089
NF1,chr17,31295812,31296100,62.1806,SRR4039089
NF1,chr17,31296100,31296389,91.045,SRR4039089
NF1,chr17,31304213,31304501,124.743,SRR4039089
NF1,chr17,31304501,31304789,146.944,SRR4039089
NF1,chr17,31304789,31305078,126.592,SRR4039089
NF1,chr17,31305078,31305366,396.406,SRR4039089
NF1,chr17,31305366,31305655,206.965,SRR4039089
NF1,chr17,31318240,31318520,106.818,SRR4039089
NF1,chr17,31318520,31318801,94.4021,SRR4039089
NF1,chr17,31318801,31319082,121.068,SRR4039089
NF1,chr17,31320350,31320489,53.1295,SRR4039089
NF1,chr17,31325793,31326034,97.6722,SRR4039089
NF1,chr17,31326034,31326275,97.1701,SRR4039089
NF1,chr17,31327486,31327849,79.0,SRR4039089
NF1,chr17,31330274,31330516,72.3182,SRR4039089
NF1,chr17,31334812,31335054,121.814,SRR4039089
NF1,chr17,31336288,31336522,91.5385,SRR4039089
NF1,chr17,31336624,31336954,117.079,SRR4039089
NF1,chr17,31337352,31337594,139.037,SRR4039089
NF1,chr17,31337787,31337909,68.1885,SRR4039089
NF1,chr17,31337981,31338201,200.923,SRR4039089
NF1,chr17,31338692,31338815,39.4553,SRR4039089
NF1,chr17,31340452,31340694,176.57,SRR4039089
NF1,chr17,31342919,31343191,34.7463,SRR4039089
NF1,chr17,31344217,31344319,231.186,SRR4039089
NF1,chr17,31345836,31345957,448.215,SRR4039089
NF1,chr17,31346070,31346252,377.478,SRR4039089
NF1,chr17,31348932,31349033,56.0099,SRR4039089
NF1,chr17,31349109,31349305,70.1735,SRR4039089
NF1,chr17,31350128,31350370,104.938,SRR4039089
NF1,chr17,31352213,31352436,37.2601,SRR4039089
NF1,chr17,31356398,31356640,96.3967,SRR4039089
NF1,chr17,31356902,31357144,119.649,SRR4039089
NF1,chr17,31357256,31357379,132.48,SRR4039089
NF1,chr17,31358428,31358670,151.314,SRR4039089
NF1,chr17,31358899,31359051,64.6711,SRR4039089
NF1,chr17,31360472,31360714,148.773,SRR4039089
NF1,chr17,31367189,31367311,89.1639,SRR4039089
NF1,chr17,31373961,31374218,98.5953,SRR4039089
NF1,chr17,31374218,31374475,89.6148,SRR4039089
NF1,chr17,31374646,31374748,195.686,SRR4039089
NF1,chr17,31375020,31375122,241.353,SRR4039089
NF1,chr17,31375302,31375404,68.3137,SRR4039089
NF1,chr17,31375541,31375643,99.049,SRR4039089
NF1,chr17,31377078,31377179,43.6634,SRR4039089
NF1,chr17,31377370,31377566,62.1633,SRR4039089
NF1,chr17,31377605,31377707,85.9412,SRR4039089
NF1,chr17,31381785,31381975,54.7579,SRR4039089
CDKN2A,chr9,21967451,21967752,48.7076,SRR4039089
CDKN2A,chr9,21968143,21968295,59.4868,SRR4039089
CDKN2A,chr9,21968696,21968798,27.8922,SRR4039089
CDKN2A,chr9,21974439,21974739,22.39,SRR4039089
CCNE1,chr19,29817087,29817329,51.9339,SRR4039096
CCNE1,chr19,29817351,29817593,137.343,SRR4039096
CCNE1,chr19,29820622,29820894,91.9485,SRR4039096
CCNE1,chr19,29821707,29821829,148.197,SRR4039096
CCNE1,chr19,29821940,29822182,114.091,SRR4039096
CCNE1,chr19,29822229,29822361,365.939,SRR4039096
CCNE1,chr19,29822402,29822644,164.149,SRR4039096
CCND1,chr11,69643789,69644031,0.834711,SRR4039096
CCND1,chr11,69647945,69648187,1.41322,SRR4039096
CCND1,chr11,69652140,69652348,77.1394,SRR4039096
ERBB2,chr17,39708275,39708547,0.606618,SRR4039096
ERBB2,chr17,39709232,39709504,11.1581,SRR4039096
ERBB2,chr17,39709784,39709906,0.622951,SRR4039096
ERBB2,chr17,39711835,39712058,30.0,SRR4039096
ERBB2,chr17,39712281,39712504,7.08072,SRR4039096
ERBB2,chr17,39715230,39715382,1.40789,SRR4039096
ERBB2,chr17,39717247,39717519,1.10662,SRR4039096
ERBB2,chr17,39719718,39719870,11.7829,SRR4039096
ERBB2,chr17,39723868,39724020,81.25,SRR4039096
ERBB2,chr17,39724696,39724938,2.05785,SRR4039096
ERBB2,chr17,39725004,39725246,2.57438,SRR4039096
ERBB2,chr17,39727238,39727600,0.544199,SRR4039096
AKT2,chr19,40232303,40232404,26.1683,SRR4039096
AKT2,chr19,40234870,40235157,2.71777,SRR4039096
AKT2,chr19,40236198,40236440,1.66529,SRR4039096
AKT2,chr19,40255146,40255279,1.21805,SRR4039096
AKT2,chr19,40256867,40257109,15.2603,SRR4039096
AKT2,chr19,40282516,40282666,14.7467,SRR4039096
NF1,chr17,31147562,31147664,370.775,SRR4039096
NF1,chr17,31155932,31156174,156.682,SRR4039096
NF1,chr17,31158959,31159111,93.6711,SRR4039096
NF1,chr17,31163158,31163400,117.463,SRR4039096
NF1,chr17,31169880,31170007,96.7717,SRR4039096
NF1,chr17,31181393,31181515,246.926,SRR4039096
NF1,chr17,31181685,31181807,210.098,SRR4039096
NF1,chr17,31182464,31182706,155.868,SRR4039096
NF1,chr17,31200386,31200628,246.814,SRR4039096
NF1,chr17,31200945,31201217,297.195,SRR4039096
NF1,chr17,31201385,31201507,47.0656,SRR4039096
NF1,chr17,31206183,31206425,199.479,SRR4039096
NF1,chr17,31214395,31214637,343.368,SRR4039096
NF1,chr17,31218994,31219133,172.612,SRR4039096
NF1,chr17,31223353,31223625,152.426,SRR4039096
NF1,chr17,31225050,31225292,91.5826,SRR4039096
NF1,chr17,31226377,31226739,71.1989,SRR4039096
NF1,chr17,31227472,31227624,688.539,SRR4039096
NF1,chr17,31228972,31229228,99.5,SRR4039096
NF1,chr17,31229228,31229484,373.73,SRR4039096
NF1,chr17,31229752,31230024,228.971,SRR4039096
NF1,chr17,31230198,31230440,286.682,SRR4039096
NF1,chr17,31230821,31230943,1125.38,SRR4039096
NF1,chr17,31232062,31232250,167.782,SRR4039096
NF1,chr17,31232668,31232910,128.868,SRR4039096
NF1,chr17,31232985,31233227,245.959,SRR4039096
NF1,chr17,31235569,31235811,221.364,SRR4039096
NF1,chr17,31235907,31236031,212.46,SRR4039096
NF1,chr17,31248929,31249171,146.128,SRR4039096
NF1,chr17,31249916,31250018,144.245,SRR4039096
NF1,chr17,31252906,31253028,78.877,SRR4039096
NF1,chr17,31258300,31258542,263.876,SRR4039096
NF1,chr17,31259018,31259140,139.738,SRR4039096
NF1,chr17,31260319,31260561,260.764,SRR4039096
NF1,chr17,31261661,31261903,255.388,SRR4039096
NF1,chr17,31265218,31265349,319.466,SRR4039096
NF1,chr17,31294947,31295235,188.194,SRR4039096
NF1,chr17,31295235,31295523,266.816,SRR4039096
NF1,chr17,31295523,31295812,321.792,SRR4039096
NF1,chr17,31295812,31296100,129.438,SRR4039096
NF1,chr17,31296100,31296389,145.287,SRR4039096
NF1,chr17,31304213,31304501,162.705,SRR4039096
NF1,chr17,31304501,31304789,194.59,SRR4039096
NF1,chr17,31304789,31305078,187.208,SRR4039096
NF1,chr17,31305078,31305366,508.771,SRR4039096
NF1,chr17,31305366,31305655,324.356,SRR4039096
NF1,chr17,31318240,31318520,151.768,SRR4039096
NF1,chr17,31318520,31318801,181.498,SRR4039096
NF1,chr17,31318801,31319082,208.975,SRR4039096
NF1,chr17,31320350,31320489,62.0719,SRR4039096
NF1,chr17,31325793,31326034,127.087,SRR4039096
NF1,chr17,31326034,31326275,84.3154,SRR4039096
NF1,chr17,31327486,31327849,77.1708,SRR4039096
NF1,chr17,31330274,31330516,107.285,SRR4039096
NF1,chr17,31334812,31335054,120.045,SRR4039096
NF1,chr17,31336288,31336522,95.4444,SRR4039096
NF1,chr17,31336624,31336954,205.494,SRR4039096
NF1,chr17,31337352,31337594,159.921,SRR4039096
NF1,chr17,31337787,31337909,114.934,SRR4039096
NF1,chr17,31337981,31338201,211.786,SRR4039096
NF1,chr17,31338692,31338815,86.7805,SRR4039096
NF1,chr17,31340452,31340694,175.574,SRR4039096
NF1,chr17,31342919,31343191,78.9485,SRR4039096
NF1,chr17,31344217,31344319,211.529,SRR4039096
NF1,chr17,31345836,31345957,624.719,SRR4039096
NF1,chr17,31346070,31346252,501.044,SRR4039096
NF1,chr17,31348932,31349033,129.96,SRR4039096
NF1,chr17,31349109,31349305,117.383,SRR4039096
NF1,chr17,31350128,31350370,165.107,SRR4039096
NF1,chr17,31352213,31352436,50.991,SRR4039096
NF1,chr17,31356398,31356640,154.194,SRR4039096
NF1,chr17,31356902,31357144,113.103,SRR4039096
NF1,chr17,31357256,31357379,193.016,SRR4039096
NF1,chr17,31358428,31358670,140.702,SRR4039096
NF1,chr17,31358899,31359051,84.1447,SRR4039096
NF1,chr17,31360472,31360714,222.855,SRR4039096
NF1,chr17,31367189,31367311,88.0,SRR4039096
NF1,chr17,31373961,31374218,118.914,SRR4039096
NF1,chr17,31374218,31374475,128.712,SRR4039096
NF1,chr17,31374646,31374748,221.637,SRR4039096
NF1,chr17,31375020,31375122,109.245,SRR4039096
NF1,chr17,31375302,31375404,169.49,SRR4039096
NF1,chr17,31375541,31375643,178.255,SRR4039096
NF1,chr17,31377078,31377179,91.4455,SRR4039096
NF1,chr17,31377370,31377566,101.454,SRR4039096
NF1,chr17,31377605,31377707,107.882,SRR4039096
NF1,chr17,31381785,31381975,98.8579,SRR4039096
CDKN2A,chr9,21967451,21967752,97.0997,SRR4039096
CDKN2A,chr9,21968143,21968295,48.8224,SRR4039096
CDKN2A,chr9,21968696,21968798,10.0588,SRR4039096
CDKN2A,chr9,21974439,21974739,7.1,SRR4039096
CCNE1,chr19,29817087,29817329,25.4339,SRR4039097
CCNE1,chr19,29817351,29817593,143.76,SRR4039097
CCNE1,chr19,29820622,29820894,160.254,SRR4039097
CCNE1,chr19,29821707,29821829,154.148,SRR4039097
CCNE1,chr19,29821940,29822182,77.3058,SRR4039097
CCNE1,chr19,29822229,29822361,269.045,SRR4039097
CCNE1,chr19,29822402,29822644,61.7975,SRR4039097
CCND1,chr11,69643789,69644031,0.0,SRR4039097
CCND1,chr11,69647945,69648187,0.702479,SRR4039097
CCND1,chr11,69652140,69652348,66.6683,SRR4039097
ERBB2,chr17,39708275,39708547,0.0,SRR4039097
ERBB2,chr17,39709232,39709504,2.16544,SRR4039097
ERBB2,chr17,39709784,39709906,2.06557,SRR4039097
ERBB2,chr17,39711835,39712058,4.38565,SRR4039097
ERBB2,chr17,39712281,39712504,0.0,SRR4039097
ERBB2,chr17,39715230,39715382,0.0,SRR4039097
ERBB2,chr17,39717247,39717519,0.286765,SRR4039097
ERBB2,chr17,39719718,39719870,3.43421,SRR4039097
ERBB2,chr17,39723868,39724020,18.8158,SRR4039097
ERBB2,chr17,39724696,39724938,5.22314,SRR4039097
ERBB2,chr17,39725004,39725246,5.84298,SRR4039097
ERBB2,chr17,39727238,39727600,0.558011,SRR4039097
AKT2,chr19,40232303,40232404,11.6238,SRR4039097
