cell_line	patient_id	wes_passage	cnv_sample_id	complete_md_cram	published_recal_cram	cnv_input_recal_cram	cnv_input_bam	target_only_cnr	corrected_cns	target_only_cnr_sha256	corrected_cns_sha256	msi_pilot	ascn_pilot	observation
TOV1369	1369	P65	TOV1369_P65	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV1369_P65/TOV1369_P65.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV1369_P65/TOV1369_P65.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/ac/20b784d43bdf723ef2b97717c3d3c8/TOV1369_P65.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/53/1bf2853629a711f0eb15998b1fd9bd/TOV1369_P65.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV1369_P65.targetonly.cnr	repo:output/wes_cnv_target_only/TOV1369.cns	2d302428de485d09a9b01e6eccc2c5d9bd374bb861cd5d32d4950a063bf462ce	6e3b4ef31d3b57d84c5a227f867bef186644a38a9644cac80d8cc2ca500c1d62	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV21G	TOV21G	P59	TOV21G_P59	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV21G_P59/TOV21G_P59.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV21G_P59/TOV21G_P59.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/72/bdd29c48786baa2b6111d41c6cb1d3/TOV21G_P59.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/7f/1eda368f1e037f4afbbda4d6425c70/TOV21G_P59.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV21G_P59.targetonly.cnr	repo:output/wes_cnv_target_only/TOV21G.cns	c8b4324f1c937c59b332b0fcf6fd4cbc1aa136beafa12e34eda79643c70c04ec	634642de25316ddb84f463a94fbb0c2930a26ec1972269edfb3408fa39562088	true	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV2295-R	2295	P57	TOV2295_R_P57	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2295_R_P57/TOV2295_R_P57.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2295_R_P57/TOV2295_R_P57.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/84/e3c4e73d05de2127eae9bd021660e2/TOV2295_R_P57.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/b6/ecdb564b1632e569b8ba3584395884/TOV2295_R_P57.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV2295_R_P57.targetonly.cnr	repo:output/wes_cnv_target_only/TOV2295-R.cns	7b549732ad800d6d8cf61930f413fbc1415a6adf3d9e5f6cb995d0116995f5f3	50b282f739f67ba79f1111357c3ea6d093c653120dac1c56226df4078ce0b528	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV2414	TOV2414	P65	TOV2414_P65	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2414_P65/TOV2414_P65.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2414_P65/TOV2414_P65.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/0d/8c12bee6a9df22249f1700cb160899/TOV2414_P65.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/ad/34d92ef2d6e1ba0272c5fd188d3a96/TOV2414_P65.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV2414_P65.targetonly.cnr	repo:output/wes_cnv_target_only/TOV2414.cns	4b77f12cd9a901729b02826faa4d93cb312f50bde4d92104ace34b7573db3835	fb6bc922c6b493335afc008a6a0cee9f08af0f117f7ceefe9f0dc50eb3505038	true	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV2835EP	TOV2835EP	P64	TOV2835EP_P64	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2835EP_P64/TOV2835EP_P64.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2835EP_P64/TOV2835EP_P64.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/e4/ddca9ce15d282e581a69f2eccddbcd/TOV2835EP_P64.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/36/d2b6b1fc50b36bdee99aeaaae32dcf/TOV2835EP_P64.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV2835EP_P64.targetonly.cnr	repo:output/wes_cnv_target_only/TOV2835EP.cns	80f27bae2f68d054433bfc919349d43be7133ed1f94f7d0c620add74e705ea0e	1fcbf43d06e842ceb56a451ad50e6216d2dabb9f07d7e691b1a33cd09256d236	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV2881EP	TOV2881EP	P64	TOV2881EP_P64	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2881EP_P64/TOV2881EP_P64.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2881EP_P64/TOV2881EP_P64.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/93/4903816df509fb3004f40f2841179d/TOV2881EP_P64.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/ec/03f6bb30a3faac68cadaac88840ace/TOV2881EP_P64.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV2881EP_P64.targetonly.cnr	repo:output/wes_cnv_target_only/TOV2881EP.cns	f8b631eddd9b30a5fef07d4ce10e52ad75aacee85e980b1bddde8f17c18109aa	681465919206f363423c37ac1244aba29e24a0cc2e94f88680794054c16f2c57	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV2929D	TOV2929D	P57	TOV2929D_P57	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2929D_P57/TOV2929D_P57.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2929D_P57/TOV2929D_P57.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/95/0eba3388981a0d0d1cb309c05f455b/TOV2929D_P57.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/e4/cf2272b3a898107c8fd5d1b2d00216/TOV2929D_P57.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV2929D_P57.targetonly.cnr	repo:output/wes_cnv_target_only/TOV2929D.cns	d0ce695348c9a82488d29735b4503b4e1072694fb8cc6e4d3de7ee434252798f	11a414d11a8037dcf2fd685e78d8d7751550af6d83cb42ee45d37bccd431f6fb	false	true	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV3121D	3121	P68	TOV3121D_P68	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3121D_P68/TOV3121D_P68.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3121D_P68/TOV3121D_P68.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/c9/a669938d0a9d22dc6879e224e3e0fa/TOV3121D_P68.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/96/ceaa2123d23bcdaae717012af0de56/TOV3121D_P68.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV3121D_P68.targetonly.cnr	repo:output/wes_cnv_target_only/TOV3121D.cns	3121362efda106dbcc7908b72d20716f2c3867d36f78097dd27c3dfb4ecfb70c	305c3004ace070ff5da1b19ef219d7b63f6a40dd6f2a80a8c7193765a5f7d0da	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV3121EP	3121	P68	TOV3121EP_P68	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3121EP_P68/TOV3121EP_P68.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3121EP_P68/TOV3121EP_P68.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/2c/2cd27d35ad07c4b55e3ffb66dafa8c/TOV3121EP_P68.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/16/fda4442888f0e2b4b65817a33a17d5/TOV3121EP_P68.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV3121EP_P68.targetonly.cnr	repo:output/wes_cnv_target_only/TOV3121EP.cns	76b1cbbfb37495298631299e741c557fcd7adf8d829accbeff50a4df04e32e2d	fd866126d6dce68e8435900405b3be595dac5e024618b2d70db8ce7e6e233268	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV3133D	3133	P66	TOV3133D_P66	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3133D_P66/TOV3133D_P66.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3133D_P66/TOV3133D_P66.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/06/853ce3fa56863356e0b211dff97d0f/TOV3133D_P66.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/3d/de394ce78ca6f4f7430349d2d49c90/TOV3133D_P66.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV3133D_P66.targetonly.cnr	repo:output/wes_cnv_target_only/TOV3133D.cns	c78567d321f69b278b41dcf80b503c645b29f2f1dfaa9c63e759c7e4a1f62872	4ca73f0fbe9c6432e400422b6f1d28e17cfc10c6aeab769a1806745068f3b3b2	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV3133G	3133	P65	TOV3133G_P65	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3133G_P65/TOV3133G_P65.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3133G_P65/TOV3133G_P65.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/6f/00f0abb82c0c82736e3f971d71c875/TOV3133G_P65.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/88/4b018ca712993eb48e717c6f5af079/TOV3133G_P65.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV3133G_P65.targetonly.cnr	repo:output/wes_cnv_target_only/TOV3133G.cns	b0001886859e96590793ef7263de541aa63e85e2be6e8e3718d572fac2410027	2e268de07eab4a6316d0e45aa15e5de3ea8f9fb5a6e545f04a11fe8d47e3fe7a	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV3392D	TOV3392D	P69	TOV3392D_P69	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3392D_P69/TOV3392D_P69.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3392D_P69/TOV3392D_P69.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/7f/a0bb0e012847edfb44a48894252b71/TOV3392D_P69.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/a0/b412be85b4ae656bd8ffb7530b658f/TOV3392D_P69.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV3392D_P69.targetonly.cnr	repo:output/wes_cnv_target_only/TOV3392D.cns	2433eac2dfa8cf57dff1dc766ad1993178e1ed638e0277db9a93b515d61d2bbe	793990883098c18675e45128e2565ec76cd1d8446c99736a6b8ab57bd72bbcec	true	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV81D	TOV81D	P23	TOV81D_P23	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV81D_P23/TOV81D_P23.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV81D_P23/TOV81D_P23.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/ce/b1463ec76d9d3f6078977ca8ee9c58/TOV81D_P23.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/a5/c66150f956d90d786643f4b3d08453/TOV81D_P23.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV81D_P23.targetonly.cnr	repo:output/wes_cnv_target_only/TOV81D.cns	51bc3935b4febfbe3cc358745b93ca41919525d6f94d05ca1625990496564597	ef3349ba4bf7b08647e060ec6cc88b0562808078388236bf30eee63e7c561c85	false	true	cluster return 2026-09-06; recheck readability/index/RG before execution
