ensembl_transcript_id,ensembl_gene_id,external_gene_name,gene_biotype,transcript_id_versioned,gene_id_versioned,seq_region,primary_assembly,transcript_length
ENST00000390569,ENSG00000211909,IGHD5-24,IG_D_gene,ENST00000390569.1,ENSG00000211909.1,14,True,20
ENST00000390588,ENSG00000211928,IGHD5-5,IG_D_gene,ENST00000390588.1,ENSG00000211928.1,14,True,20
ENST00000454691,ENSG00000228131,IGHD6-6,IG_D_gene,ENST00000454691.1,ENSG00000228131.1,14,True,18
ENST00000390585,ENSG00000211925,IGHD2-8,IG_D_gene,ENST00000390585.1,ENSG00000211925.1,14,True,31
ENST00000452198,ENSG00000225825,IGHD6-25,IG_D_gene,ENST00000452198.1,ENSG00000225825.1,14,True,18
ENST00000414852,ENSG00000233655,IGHD4-4,IG_D_gene,ENST00000414852.1,ENSG00000233655.1,14,True,16
ENST00000390575,ENSG00000211915,IGHD5-18,IG_D_gene,ENST00000390575.1,ENSG00000211915.1,14,True,20
ENST00000439842,ENSG00000236597,IGHD7-27,IG_D_gene,ENST00000439842.1,ENSG00000236597.1,14,True,11
ENST00000390584,ENSG00000211924,IGHD3-9,IG_D_gene,ENST00000390584.1,ENSG00000211924.1,14,True,31
ENST00000390583,ENSG00000211923,IGHD3-10,IG_D_gene,ENST00000390583.1,ENSG00000211923.1,14,True,31
ENST00000390581,ENSG00000211921,IGHD5-12,IG_D_gene,ENST00000390581.1,ENSG00000211921.1,14,True,23
ENST00000454908,ENSG00000236170,IGHD1-1,IG_D_gene,ENST00000454908.1,ENSG00000236170.1,14,True,17
ENST00000451044,ENSG00000227108,IGHD1-14,IG_D_gene,ENST00000451044.1,ENSG00000227108.1,14,True,17
ENST00000390591,ENSG00000211931,IGHD2-2,IG_D_gene,ENST00000390591.1,ENSG00000211931.1,14,True,31
ENST00000632542,ENSG00000282010,IGHD6-6,IG_D_gene,ENST00000632542.1,ENSG00000282010.1,CHR_HSCHR14_3_CTG1,False,18
ENST00000632911,ENSG00000281939,IGHD3-9,IG_D_gene,ENST00000632911.1,ENSG00000281939.1,CHR_HSCHR14_3_CTG1,False,31
ENST00000632524,ENSG00000282455,IGHD7-27,IG_D_gene,ENST00000632524.1,ENSG00000282455.1,CHR_HSCHR14_3_CTG1,False,11
ENST00000633009,ENSG00000282323,IGHD1-26,IG_D_gene,ENST00000633009.1,ENSG00000282323.1,CHR_HSCHR14_3_CTG1,False,20
ENST00000632968,ENSG00000282592,IGHD1-20,IG_D_gene,ENST00000632968.1,ENSG00000282592.1,CHR_HSCHR14_3_CTG1,False,17
ENST00000633968,ENSG00000282769,IGHD5-5,IG_D_gene,ENST00000633968.1,ENSG00000282769.1,CHR_HSCHR14_3_CTG1,False,20
ENST00000633379,ENSG00000282232,IGHD3-16,IG_D_gene,ENST00000633379.1,ENSG00000282232.1,CHR_HSCHR14_3_CTG1,False,37
ENST00000631871,ENSG00000282346,IGHD5-18,IG_D_gene,ENST00000631871.1,ENSG00000282346.1,CHR_HSCHR14_3_CTG1,False,20
ENST00000634154,ENSG00000281940,IGHD4-11,IG_D_gene,ENST00000634154.1,ENSG00000281940.1,CHR_HSCHR14_3_CTG1,False,16
ENST00000631895,ENSG00000282102,IGHD5-12,IG_D_gene,ENST00000631895.1,ENSG00000282102.1,CHR_HSCHR14_3_CTG1,False,23
ENST00000632859,ENSG00000282042,IGHD6-13,IG_D_gene,ENST00000632859.1,ENSG00000282042.1,CHR_HSCHR14_3_CTG1,False,21
ENST00000632473,ENSG00000282818,IGHD2-15,IG_D_gene,ENST00000632473.1,ENSG00000282818.1,CHR_HSCHR14_3_CTG1,False,31
ENST00000633159,ENSG00000282487,IGHD6-19,IG_D_gene,ENST00000633159.1,ENSG00000282487.1,CHR_HSCHR14_3_CTG1,False,21
ENST00000633504,ENSG00000282132,IGHD2-8,IG_D_gene,ENST00000633504.1,ENSG00000282132.1,CHR_HSCHR14_3_CTG1,False,31
ENST00000632963,ENSG00000282674,IGHD5-24,IG_D_gene,ENST00000632963.1,ENSG00000282674.1,CHR_HSCHR14_3_CTG1,False,20
ENST00000604838,ENSG00000270185,IGHD1OR15-1B,IG_D_gene,ENST00000604838.1,ENSG00000270185.1,15,True,17
ENST00000604446,ENSG00000270824,IGHD5OR15-5B,IG_D_gene,ENST00000604446.1,ENSG00000270824.1,15,True,23
ENST00000605284,ENSG00000271336,IGHD1OR15-1A,IG_D_gene,ENST00000605284.1,ENSG00000271336.1,15,True,17
ENST00000633353,ENSG00000282754,IGHD3-3,IG_D_gene,ENST00000633353.1,ENSG00000282754.1,CHR_HSCHR14_3_CTG1,False,31
ENST00000631803,ENSG00000282578,IGHD2-2,IG_D_gene,ENST00000631803.1,ENSG00000282578.1,CHR_HSCHR14_3_CTG1,False,31
ENST00000633210,ENSG00000282714,IGHD1-1,IG_D_gene,ENST00000633210.1,ENSG00000282714.1,CHR_HSCHR14_3_CTG1,False,17
ENST00000604102,ENSG00000282268,IGHD2OR15-2B,IG_D_gene,ENST00000604102.1,ENSG00000282268.1,15,True,31
ENST00000603935,ENSG00000282089,IGHD3OR15-3B,IG_D_gene,ENST00000603935.1,ENSG00000282089.1,15,True,31
ENST00000632609,ENSG00000282373,IGHD3-10,IG_D_gene,ENST00000632609.1,ENSG00000282373.1,CHR_HSCHR14_3_CTG1,False,31
ENST00000633010,ENSG00000282274,IGHD4-17,IG_D_gene,ENST00000633010.1,ENSG00000282274.1,CHR_HSCHR14_3_CTG1,False,16
ENST00000631884,ENSG00000282736,IGHD1-14,IG_D_gene,ENST00000631884.1,ENSG00000282736.1,CHR_HSCHR14_3_CTG1,False,17
ENST00000632619,ENSG00000281984,IGHD2-21,IG_D_gene,ENST00000632619.1,ENSG00000281984.1,CHR_HSCHR14_3_CTG1,False,28
ENST00000634070,ENSG00000282724,IGHD6-25,IG_D_gene,ENST00000634070.1,ENSG00000282724.1,CHR_HSCHR14_3_CTG1,False,18
ENST00000632304,ENSG00000282495,IGHD1-7,IG_D_gene,ENST00000632304.1,ENSG00000282495.1,CHR_HSCHR14_3_CTG1,False,17
ENST00000633030,ENSG00000282640,IGHD4-23,IG_D_gene,ENST00000633030.1,ENSG00000282640.1,CHR_HSCHR14_3_CTG1,False,19
ENST00000603693,ENSG00000270451,IGHD4OR15-4B,IG_D_gene,ENST00000603693.1,ENSG00000270451.1,15,True,19
ENST00000634085,ENSG00000282227,IGHD4-4,IG_D_gene,ENST00000634085.1,ENSG00000282227.1,CHR_HSCHR14_3_CTG1,False,16
ENST00000633765,ENSG00000282396,IGHD3-22,IG_D_gene,ENST00000633765.1,ENSG00000282396.1,CHR_HSCHR14_3_CTG1,False,31
ENST00000604642,ENSG00000270961,IGHD5OR15-5A,IG_D_gene,ENST00000604642.1,ENSG00000270961.1,15,True,23
ENST00000603326,ENSG00000271317,IGHD4OR15-4A,IG_D_gene,ENST00000603326.1,ENSG00000271317.1,15,True,19
ENST00000604950,ENSG00000282520,IGHD3OR15-3A,IG_D_gene,ENST00000604950.1,ENSG00000282520.1,15,True,31
ENST00000603077,ENSG00000282599,IGHD2OR15-2A,IG_D_gene,ENST00000603077.1,ENSG00000282599.1,15,True,31
ENST00000390455,ENSG00000211807,TRAV26-1,TR_V_gene,ENST00000390455.3,ENSG00000211807.3,14,True,537
ENST00000390456,ENSG00000211808,TRAV8-7,TR_V_gene,ENST00000390456.3,ENSG00000211808.3,14,True,341
ENST00000390457,ENSG00000211809,TRAV27,TR_V_gene,ENST00000390457.2,ENSG00000211809.2,14,True,425
ENST00000390458,ENSG00000211810,TRAV29DV5,TR_V_gene,ENST00000390458.3,ENSG00000211810.3,14,True,469
ENST00000557168,ENSG00000259092,TRAV30,TR_V_gene,ENST00000557168.1,ENSG00000259092.1,14,True,337
ENST00000390460,ENSG00000211812,TRAV26-2,TR_V_gene,ENST00000390460.1,ENSG00000211812.1,14,True,327
ENST00000390461,ENSG00000211813,TRAV34,TR_V_gene,ENST00000390461.2,ENSG00000211813.2,14,True,349
ENST00000390463,ENSG00000211815,TRAV36DV7,TR_V_gene,ENST00000390463.3,ENSG00000211815.3,14,True,356
ENST00000390464,ENSG00000211816,TRAV38-1,TR_V_gene,ENST00000390464.2,ENSG00000211816.2,14,True,353
ENST00000390465,ENSG00000211817,TRAV38-2DV8,TR_V_gene,ENST00000390465.2,ENSG00000211817.2,14,True,395
ENST00000390466,ENSG00000211818,TRAV39,TR_V_gene,ENST00000390466.1,ENSG00000211818.1,14,True,331
ENST00000390467,ENSG00000211819,TRAV40,TR_V_gene,ENST00000390467.3,ENSG00000211819.3,14,True,317
ENST00000390468,ENSG00000211820,TRAV41,TR_V_gene,ENST00000390468.1,ENSG00000211820.1,14,True,336
ENST00000390469,ENSG00000211821,TRDV2,TR_V_gene,ENST00000390469.2,ENSG00000211821.2,14,True,520
ENST00000535880,ENSG00000256590,TRDV3,TR_V_gene,ENST00000535880.2,ENSG00000256590.2,14,True,425
ENST00000390441,ENSG00000211793,TRAV9-2,TR_V_gene,ENST00000390441.2,ENSG00000211793.2,14,True,394
ENST00000422143,ENSG00000232869,TRBV29-1,TR_V_gene,ENST00000422143.2,ENSG00000232869.2,7,True,402
ENST00000390398,ENSG00000282499,TRBV25-1,TR_V_gene,ENST00000390398.3,ENSG00000282499.1,7,True,381
ENST00000617639,ENSG00000275743,TRBV14,TR_V_gene,ENST00000617639.1,ENSG00000275743.1,7,True,406
ENST00000390348,ENSG00000211701,TRGV1,TR_V_gene,ENST00000390348.2,ENSG00000211701.2,7,True,465
ENST00000390453,ENSG00000211805,TRAV24,TR_V_gene,ENST00000390453.1,ENSG00000211805.1,14,True,343
ENST00000390445,ENSG00000211797,TRAV17,TR_V_gene,ENST00000390445.2,ENSG00000211797.2,14,True,484
ENST00000390446,ENSG00000211798,TRAV18,TR_V_gene,ENST00000390446.3,ENSG00000211798.3,14,True,440
ENST00000390434,ENSG00000211786,TRAV8-2,TR_V_gene,ENST00000390434.3,ENSG00000211786.3,14,True,566
ENST00000390425,ENSG00000211777,TRAV3,TR_V_gene,ENST00000390425.2,ENSG00000211777.2,14,True,519
ENST00000390396,ENSG00000211749,TRBV23-1,TR_V_gene,ENST00000390396.1,ENSG00000211749.1,7,True,347
ENST00000633092,ENSG00000282730,TRBV24-1,TR_V_gene,ENST00000633092.1,ENSG00000282730.1,CHR_HSCHR7_2_CTG6,False,381
ENST00000390454,ENSG00000211806,TRAV25,TR_V_gene,ENST00000390454.2,ENSG00000211806.2,14,True,403
ENST00000621643,ENSG00000211804,TRDV1,TR_V_gene,ENST00000621643.1,ENSG00000211804.3,14,True,102
ENST00000390452,ENSG00000211804,TRDV1,TR_V_gene,ENST00000390452.2,ENSG00000211804.3,14,True,365
ENST00000620569,ENSG00000274752,TRBV12-3,TR_V_gene,ENST00000620569.1,ENSG00000274752.1,7,True,409
ENST00000611787,ENSG00000276597,TRBV11-3,TR_V_gene,ENST00000611787.1,ENSG00000276597.1,7,True,392
ENST00000614171,ENSG00000276405,TRBV13,TR_V_gene,ENST00000614171.1,ENSG00000276405.1,7,True,374
ENST00000611462,ENSG00000275791,TRBV10-3,TR_V_gene,ENST00000611462.1,ENSG00000275791.1,7,True,368
ENST00000612787,ENSG00000278030,TRBV7-9,TR_V_gene,ENST00000612787.1,ENSG00000278030.1,7,True,347
ENST00000390378,ENSG00000211731,TRBV5-7,TR_V_gene,ENST00000390378.1,ENSG00000211731.1,7,True,343
ENST00000390377,ENSG00000253291,TRBV7-7,TR_V_gene,ENST00000390377.1,ENSG00000253291.1,7,True,347
ENST00000390376,ENSG00000253534,TRBV6-8,TR_V_gene,ENST00000390376.2,ENSG00000253534.1,7,True,341
ENST00000390375,ENSG00000211728,TRBV5-6,TR_V_gene,ENST00000390375.2,ENSG00000211728.2,7,True,384
ENST00000390374,ENSG00000211727,TRBV7-6,TR_V_gene,ENST00000390374.3,ENSG00000211727.3,7,True,392
ENST00000390373,ENSG00000253188,TRBV6-7,TR_V_gene,ENST00000390373.2,ENSG00000253188.1,7,True,344
ENST00000390432,ENSG00000211784,TRAV10,TR_V_gene,ENST00000390432.2,ENSG00000211784.2,14,True,379
ENST00000390431,ENSG00000211783,TRAV9-1,TR_V_gene,ENST00000390431.3,ENSG00000211783.3,14,True,338
ENST00000390430,ENSG00000211782,TRAV8-1,TR_V_gene,ENST00000390430.2,ENSG00000211782.2,14,True,473
ENST00000390367,ENSG00000211720,TRBV11-1,TR_V_gene,ENST00000390367.3,ENSG00000211720.3,7,True,364
ENST00000390363,ENSG00000211716,TRBV9,TR_V_gene,ENST00000390363.2,ENSG00000211716.2,7,True,390
ENST00000390426,ENSG00000211778,TRAV4,TR_V_gene,ENST00000390426.2,ENSG00000211778.2,14,True,395
ENST00000390372,ENSG00000211725,TRBV5-5,TR_V_gene,ENST00000390372.3,ENSG00000211725.3,7,True,350
ENST00000390442,ENSG00000211794,TRAV12-3,TR_V_gene,ENST00000390442.3,ENSG00000211794.3,14,True,399
ENST00000390433,ENSG00000211785,TRAV12-1,TR_V_gene,ENST00000390433.1,ENSG00000211785.1,14,True,340
ENST00000390400,ENSG00000211753,TRBV28,TR_V_gene,ENST00000390400.2,ENSG00000211753.4,7,True,364
ENST00000547918,ENSG00000211707,TRBV7-1,TR_V_gene,ENST00000547918.2,ENSG00000211707.3,7,True,380
ENST00000390357,ENSG00000211710,TRBV4-1,TR_V_gene,ENST00000390357.3,ENSG00000211710.3,7,True,373
ENST00000390448,ENSG00000211800,TRAV20,TR_V_gene,ENST00000390448.3,ENSG00000211800.3,14,True,406
ENST00000390449,ENSG00000211801,TRAV21,TR_V_gene,ENST00000390449.3,ENSG00000211801.3,14,True,343
ENST00000390435,ENSG00000211787,TRAV8-3,TR_V_gene,ENST00000390435.1,ENSG00000211787.1,14,True,341
ENST00000390428,ENSG00000211780,TRAV6,TR_V_gene,ENST00000390428.3,ENSG00000211780.3,14,True,404
ENST00000390361,ENSG00000211714,TRBV7-3,TR_V_gene,ENST00000390361.3,ENSG00000211714.3,7,True,397
ENST00000390360,ENSG00000211713,TRBV6-4,TR_V_gene,ENST00000390360.3,ENSG00000211713.3,7,True,365
ENST00000634605,ENSG00000282939,TRBV7-2,TR_V_gene,ENST00000634605.1,ENSG00000282939.1,7,True,394
ENST00000390381,ENSG00000211734,TRBV5-1,TR_V_gene,ENST00000390381.3,ENSG00000211734.3,7,True,652
ENST00000390439,ENSG00000211791,TRAV13-2,TR_V_gene,ENST00000390439.2,ENSG00000211791.2,14,True,410
ENST00000390437,ENSG00000211789,TRAV12-2,TR_V_gene,ENST00000390437.2,ENSG00000211789.2,14,True,445
ENST00000390429,ENSG00000211781,TRAV7,TR_V_gene,ENST00000390429.3,ENSG00000211781.3,14,True,337
ENST00000390364,ENSG00000211717,TRBV10-1,TR_V_gene,ENST00000390364.3,ENSG00000211717.3,7,True,412
ENST00000390362,ENSG00000211715,TRBV5-3,TR_V_gene,ENST00000390362.1,ENSG00000211715.1,7,True,343
ENST00000390399,ENSG00000211752,TRBV27,TR_V_gene,ENST00000390399.3,ENSG00000211752.3,7,True,387
ENST00000390443,ENSG00000211795,TRAV8-6,TR_V_gene,ENST00000390443.3,ENSG00000211795.3,14,True,561
ENST00000390438,ENSG00000211790,TRAV8-4,TR_V_gene,ENST00000390438.2,ENSG00000211790.2,14,True,469
ENST00000619125,ENSG00000282812,TRBV28,TR_V_gene,ENST00000619125.2,ENSG00000282812.1,CHR_HSCHR7_2_CTG6,False,364
ENST00000633283,ENSG00000282234,TRBV27,TR_V_gene,ENST00000633283.1,ENSG00000282234.1,CHR_HSCHR7_2_CTG6,False,387
ENST00000610439,ENSG00000281963,TRBV25-1,TR_V_gene,ENST00000610439.4,ENSG00000281963.1,CHR_HSCHR7_2_CTG6,False,381
ENST00000633292,ENSG00000282208,TRBV12-3,TR_V_gene,ENST00000633292.1,ENSG00000282208.1,CHR_HSCHR7_2_CTG6,False,409
ENST00000390450,ENSG00000211802,TRAV22,TR_V_gene,ENST00000390450.3,ENSG00000211802.3,14,True,464
ENST00000390451,ENSG00000211803,TRAV23DV6,TR_V_gene,ENST00000390451.2,ENSG00000211803.2,14,True,409
ENST00000390447,ENSG00000211799,TRAV19,TR_V_gene,ENST00000390447.3,ENSG00000211799.3,14,True,467
ENST00000542354,ENSG00000255569,TRAV1-1,TR_V_gene,ENST00000542354.1,ENSG00000255569.1,14,True,392
ENST00000619103,ENSG00000277880,TRBV17,TR_V_gene,ENST00000619103.1,ENSG00000277880.1,7,True,344
ENST00000621184,ENSG00000275158,TRBV12-5,TR_V_gene,ENST00000621184.1,ENSG00000275158.1,7,True,411
ENST00000390353,ENSG00000211706,TRBV6-1,TR_V_gene,ENST00000390353.2,ENSG00000211706.2,7,True,401
ENST00000390444,ENSG00000211796,TRAV16,TR_V_gene,ENST00000390444.1,ENSG00000211796.1,14,True,329
ENST00000390424,ENSG00000211776,TRAV2,TR_V_gene,ENST00000390424.2,ENSG00000211776.2,14,True,348
ENST00000390369,ENSG00000253409,TRBV7-4,TR_V_gene,ENST00000390369.2,ENSG00000253409.1,7,True,347
ENST00000426318,ENSG00000229769,TRBV10-2,TR_V_gene,ENST00000426318.2,ENSG00000229769.2,7,True,395
ENST00000390436,ENSG00000211788,TRAV13-1,TR_V_gene,ENST00000390436.2,ENSG00000211788.2,14,True,360
ENST00000390371,ENSG00000211724,TRBV6-6,TR_V_gene,ENST00000390371.3,ENSG00000211724.3,7,True,388
ENST00000454561,ENSG00000230099,TRBV5-4,TR_V_gene,ENST00000454561.2,ENSG00000230099.2,7,True,544
ENST00000455382,ENSG00000226660,TRBV2,TR_V_gene,ENST00000455382.2,ENSG00000226660.2,7,True,421
ENST00000633472,ENSG00000282240,TRBV6-4,TR_V_gene,ENST00000633472.1,ENSG00000282240.1,CHR_HSCHR7_2_CTG6,False,365
ENST00000390427,ENSG00000211779,TRAV5,TR_V_gene,ENST00000390427.3,ENSG00000211779.3,14,True,352
ENST00000390394,ENSG00000211747,TRBV20-1,TR_V_gene,ENST00000390394.3,ENSG00000211747.3,7,True,413
ENST00000634383,ENSG00000283063,TRBV6-2,TR_V_gene,ENST00000634383.1,ENSG00000283063.1,7,True,424
ENST00000390387,ENSG00000237702,TRBV3-1,TR_V_gene,ENST00000390387.3,ENSG00000237702.2,7,True,391
ENST00000390440,ENSG00000211792,TRAV14DV4,TR_V_gene,ENST00000390440.2,ENSG00000211792.2,14,True,425
ENST00000390423,ENSG00000256553,TRAV1-2,TR_V_gene,ENST00000390423.2,ENSG00000256553.1,14,True,402
ENST00000390392,ENSG00000211745,TRBV4-2,TR_V_gene,ENST00000390392.3,ENSG00000211745.3,7,True,455
ENST00000631690,ENSG00000282297,TRBV30,TR_V_gene,ENST00000631690.1,ENSG00000282297.1,CHR_HSCHR7_2_CTG6,False,447
ENST00000633466,ENSG00000282064,TRBV20-1,TR_V_gene,ENST00000633466.1,ENSG00000282064.1,CHR_HSCHR7_2_CTG6,False,413
ENST00000631471,ENSG00000282340,TRBV10-3,TR_V_gene,ENST00000631471.1,ENSG00000282340.1,CHR_HSCHR7_2_CTG6,False,344
ENST00000631511,ENSG00000282470,TRBV6-7,TR_V_gene,ENST00000631511.1,ENSG00000282470.1,CHR_HSCHR7_2_CTG6,False,386
ENST00000632216,ENSG00000282098,TRBV5-6,TR_V_gene,ENST00000632216.1,ENSG00000282098.1,CHR_HSCHR7_2_CTG6,False,384
ENST00000631882,ENSG00000282203,TRBV7-3,TR_V_gene,ENST00000631882.1,ENSG00000282203.1,CHR_HSCHR7_2_CTG6,False,397
ENST00000632308,ENSG00000282225,TRBV7-1,TR_V_gene,ENST00000632308.1,ENSG00000282225.1,CHR_HSCHR7_2_CTG6,False,380
ENST00000426402,ENSG00000233306,TRGV2,TR_V_gene,ENST00000426402.2,ENSG00000233306.2,7,True,544
ENST00000390344,ENSG00000211697,TRGV5,TR_V_gene,ENST00000390344.2,ENSG00000211697.4,7,True,552
ENST00000390340,ENSG00000211693,TRGV11,TR_V_gene,ENST00000390340.2,ENSG00000211693.2,7,True,463
ENST00000390393,ENSG00000211746,TRBV19,TR_V_gene,ENST00000390393.3,ENSG00000211746.3,7,True,552
ENST00000390368,ENSG00000211721,TRBV6-5,TR_V_gene,ENST00000390368.2,ENSG00000211721.2,7,True,410
ENST00000390346,ENSG00000211699,TRGV3,TR_V_gene,ENST00000390346.2,ENSG00000211699.2,7,True,537
ENST00000631559,ENSG00000282771,TRBV18,TR_V_gene,ENST00000631559.1,ENSG00000282771.1,CHR_HSCHR7_2_CTG6,False,428
ENST00000616518,ENSG00000276819,TRBV15,TR_V_gene,ENST00000616518.1,ENSG00000276819.1,7,True,421
ENST00000444775,ENSG00000211695,TRGV9,TR_V_gene,ENST00000444775.2,ENSG00000211695.2,7,True,1735
ENST00000390397,ENSG00000211750,TRBV24-1,TR_V_gene,ENST00000390397.2,ENSG00000211750.2,7,True,381
ENST00000611520,ENSG00000276557,TRBV18,TR_V_gene,ENST00000611520.1,ENSG00000276557.1,7,True,428
ENST00000620773,ENSG00000275243,TRBV16,TR_V_gene,ENST00000620773.1,ENSG00000275243.1,7,True,347
ENST00000617347,ENSG00000276953,TRBV12-4,TR_V_gene,ENST00000617347.1,ENSG00000276953.1,7,True,406
ENST00000390345,ENSG00000211698,TRGV4,TR_V_gene,ENST00000390345.2,ENSG00000211698.2,7,True,688
ENST00000390341,ENSG00000211694,TRGV10,TR_V_gene,ENST00000390341.2,ENSG00000211694.2,7,True,512
ENST00000634198,ENSG00000282628,TRBV29-1,TR_V_gene,ENST00000634198.1,ENSG00000282628.1,CHR_HSCHR7_2_CTG6,False,402
ENST00000633842,ENSG00000282449,TRBV23-1,TR_V_gene,ENST00000633842.1,ENSG00000282449.1,CHR_HSCHR7_2_CTG6,False,347
ENST00000633696,ENSG00000282466,TRBV5-4,TR_V_gene,ENST00000633696.1,ENSG00000282466.1,CHR_HSCHR7_2_CTG6,False,544
ENST00000390343,ENSG00000211696,TRGV8,TR_V_gene,ENST00000390343.2,ENSG00000211696.2,7,True,468
ENST00000631663,ENSG00000282483,TRBV17,TR_V_gene,ENST00000631663.1,ENSG00000282483.1,CHR_HSCHR7_2_CTG6,False,344
ENST00000633244,ENSG00000282415,TRBV16,TR_V_gene,ENST00000633244.1,ENSG00000282415.1,CHR_HSCHR7_2_CTG6,False,347
ENST00000631548,ENSG00000282179,TRBV7-7,TR_V_gene,ENST00000631548.1,ENSG00000282179.1,CHR_HSCHR7_2_CTG6,False,347
ENST00000633790,ENSG00000282748,TRBV5-7,TR_V_gene,ENST00000633790.1,ENSG00000282748.1,CHR_HSCHR7_2_CTG6,False,343
ENST00000634093,ENSG00000282610,AC233282.2,TR_V_gene,ENST00000634093.1,ENSG00000282610.1,CHR_HSCHR7_2_CTG6,False,344
ENST00000632560,ENSG00000282040,AC233282.1,TR_V_gene,ENST00000632560.1,ENSG00000282040.1,CHR_HSCHR7_2_CTG6,False,347
ENST00000631639,ENSG00000282054,AC229888.1,TR_V_gene,ENST00000631639.1,ENSG00000282054.1,CHR_HSCHR7_2_CTG6,False,478
ENST00000632021,ENSG00000281943,TRBV7-9,TR_V_gene,ENST00000632021.1,ENSG00000281943.1,CHR_HSCHR7_2_CTG6,False,347
ENST00000633796,ENSG00000282407,TRBV13,TR_V_gene,ENST00000633796.1,ENSG00000282407.1,CHR_HSCHR7_2_CTG6,False,374
ENST00000632512,ENSG00000282285,TRBV4-2,TR_V_gene,ENST00000632512.1,ENSG00000282285.1,CHR_HSCHR7_2_CTG6,False,455
ENST00000633384,ENSG00000282803,TRBV5-1,TR_V_gene,ENST00000633384.1,ENSG00000282803.1,CHR_HSCHR7_2_CTG6,False,652
ENST00000632638,ENSG00000282621,TRBV19,TR_V_gene,ENST00000632638.1,ENSG00000282621.1,CHR_HSCHR7_2_CTG6,False,552
ENST00000633328,ENSG00000282204,TRBV9,TR_V_gene,ENST00000633328.1,ENSG00000282204.1,CHR_HSCHR7_2_CTG6,False,390
ENST00000632148,ENSG00000282353,AC234635.1,TR_V_gene,ENST00000632148.1,ENSG00000282353.1,CHR_HSCHR7_2_CTG6,False,424
ENST00000631427,ENSG00000282543,AC234635.3,TR_V_gene,ENST00000631427.1,ENSG00000282543.1,CHR_HSCHR7_2_CTG6,False,455
ENST00000631835,ENSG00000282497,TRBV15,TR_V_gene,ENST00000631835.1,ENSG00000282497.1,CHR_HSCHR7_2_CTG6,False,421
ENST00000633313,ENSG00000282756,TRBV7-4,TR_V_gene,ENST00000633313.1,ENSG00000282756.1,CHR_HSCHR7_2_CTG6,False,347
ENST00000632828,ENSG00000282568,TRBV2,TR_V_gene,ENST00000632828.1,ENSG00000282568.1,CHR_HSCHR7_2_CTG6,False,421
ENST00000632432,ENSG00000282252,TRBV14,TR_V_gene,ENST00000632432.1,ENSG00000282252.1,CHR_HSCHR7_2_CTG6,False,406
ENST00000631824,ENSG00000282354,TRBV12-4,TR_V_gene,ENST00000631824.1,ENSG00000282354.1,CHR_HSCHR7_2_CTG6,False,406
ENST00000634111,ENSG00000282242,TRBV11-3,TR_V_gene,ENST00000634111.1,ENSG00000282242.1,CHR_HSCHR7_2_CTG6,False,392
ENST00000632425,ENSG00000282134,TRBV6-8,TR_V_gene,ENST00000632425.1,ENSG00000282134.1,CHR_HSCHR7_2_CTG6,False,407
ENST00000417977,ENSG00000237254,TRBV30,TR_V_gene,ENST00000417977.2,ENSG00000237254.2,7,True,447
