cohort,bin_group,metric,n,n_primary_verified,minimum,median,maximum,unit,minimum_samples,maximum_samples,definition,source_ids
baseline_models,antitarget,unweighted_mean_bin_depth_x,23,23,2.0413573251539488e-05,3.0359163174038265e-05,5.0572626378515065e-05,x,TOV2414_P65,OV3291_P46,arithmetic mean of supplied bin depths; each bin has equal weight,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,median_bin_depth_x,23,23,0.0,0.0,0.0,x,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,median of supplied bin means; not median per-base depth,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,zero_depth_bins,23,23,42705,42705,42705,bins,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,bins with supplied depth exactly zero,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,zero_depth_bin_fraction,23,23,0.9999063429253787,0.9999063429253787,0.9999063429253787,fraction,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,zero-depth bins / all bins,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,bp_in_zero_depth_bins,23,23,2580195039,2580195039,2580195039,bp,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,sum of lengths of whole bins with zero mean depth,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,fraction_bp_in_zero_depth_bins,23,23,0.999926750438592,0.999926750438592,0.999926750438592,fraction,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,bp in zero-depth whole bins / summed bin bp; does not count zero-depth bases inside positive-mean bins,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,positive_depth_bins,23,23,4,4,4,bins,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,bins with mean depth >0; does not imply every base has coverage,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,reference_retained_bins,23,23,40923,40923,40923,bins,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,bins passing pooled-reference mask reconstructed and previously reconciled to archived CNR coordinates,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,zero_depth_reference_retained_bins,23,23,40919,40919,40919,bins,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,zero-depth bins among reference-mask-passing bins,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,positive_depth_reference_retained_bins,23,23,4,4,4,bins,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,positive-depth bins among reference-mask-passing bins,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
baseline_models,antitarget,reference_retained_length_weighted_mean_depth_x,23,23,1.3526167464607832e-05,2.074221427191606e-05,3.127546209929284e-05,x,TOV2414_P65,OV2085_P64,length-weighted depth across reference-mask-passing bins only,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
