cell_line,subtype,source_site,patient_id,family,n_lines_in_family,patient_representative,has_rna,has_prot,has_wes_cnv,has_wes_maf,subtype_conflict,all_three,tmt_plex,tmt_channel,rna_passage,wes_passage,rna_pseudoalign_pct,rna_assigned_gene_counts_M,rna_sequenced_fragments_M,rna_genes_detected,prot_n_detected,prot_pct_missing,wes_n_coding,wes_indel_frac,wes_tstv,wes_is_hypermutator,msi_mmr_call,sbs_best_cosmic,fga_autosome,fga_withX_legacy,high_fga_flag,TP53,key_drivers,expression_consistent,expression_basis,genomics_consistent,swisnf_deficient,swisnf_tier3_only_calls,provisional_molecular_call,auth_flags,drivers_tier12,drivers_tier3,drivers_annotated,n_drivers_tier12,n_drivers_tier3,driver_context,consensusov_call,consensusov_prob_top,consensusov_margin,consensusov_call_inherited,consensusov_provenance,cellosaurus_accession,str_profile_documented,problematic_flag,current_stock_str_status,current_stock_mycoplasma_status
TOV3133G,HGS,Mes-Masson,3133,3133,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,4,ch4,p61,P65,89.3,57.5,64.3,20346,7694,8.7,191,0.141,0.7,FALSE,no hypermutation signal,SBS5,0.58,0.58,FALSE,mut(Q192*),"CDK12, TP53",consistent,absence of a competing CC/MC program (NOT a positive serous call),consistent,FALSE,NA,HGS (concordant),none,"CDK12, TP53",NA,"CDK12, TP53",2,0,NA,DIF,0.53,0.17600000000000005,DIF,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_4064,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV3291,HGS,Mes-Masson,3291,3291,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P46,NA,NA,NA,NA,NA,NA,207,0.066,0.85,FALSE,no hypermutation signal,SBS5,0.668,0.682,FALSE,mut(R249W),"ARID1B, CDK12, TP53",not assessed,not assessed (no RNA),consistent,FALSE,NA,HGS (genomics-supported),none,"ARID1B, CDK12, TP53",NA,"ARID1B, CDK12, TP53",3,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A1SP,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV3291G,HGS,Mes-Masson,3291,3291,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,2,ch8,p62,NA,92.4,41.6,45.1,19962,7758,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,absence of a competing CC/MC program (NOT a positive serous call),not assessed,FALSE,NA,HGS (expression-supported),none,NA,NA,NA,NA,NA,NA,MES,0.346,0.064,MES,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T25,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV1946,HGS,Mes-Masson,OV1946,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,5,ch2,p64,NA,92.1,44.6,48.5,20074,7653,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,absence of a competing CC/MC program (NOT a positive serous call),not assessed,FALSE,NA,HGS (expression-supported),none,NA,NA,NA,NA,NA,NA,MES,0.484,0.2,MES,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_4375,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV2085,HGS,Mes-Masson,OV2085,NA,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,2,ch2,p68,P64,92.2,80.8,87.7,20470,7758,7.9,207,0.09,1.01,FALSE,no hypermutation signal,SBS5,0.681,0.694,FALSE,mut(K132R),TP53,consistent,absence of a competing CC/MC program (NOT a positive serous call),consistent,TRUE,NA,HGS (concordant),secondary SWI/SNF subunit variant: SMARCA2 loss[RNA rank=3/31],TP53,NA,TP53,1,0,NA,IMR,0.318,0.02200000000000002,IMR,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A1SI,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV3331,HGS,Mes-Masson,OV3331,NA,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Y,4,ch3,p71,P54,93,55.3,59.5,20551,7694,8.7,155,0.16,1.21,FALSE,no hypermutation signal,SBS5,0.495,0.522,FALSE,mut(N210fs),TP53,consistent,absence of a competing CC/MC program (NOT a positive serous call),consistent,FALSE,NA,HGS (supported over 'Adenocarcinoma'),label conflict in source metadata; Adeno-vs-HGS label conflict: TP53-mut + high CNV support HGS-family,TP53,NA,TP53,1,0,NA,PRO,0.812,0.7020000000000001,PRO,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A1SQ,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV4453,HGS,Mes-Masson,OV4453,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,4,ch2,p60,NA,89.6,76.2,85,21292,7694,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,absence of a competing CC/MC program (NOT a positive serous call),not assessed,FALSE,NA,HGS (expression-supported),none,NA,NA,NA,NA,NA,NA,PRO,0.402,0.09000000000000002,PRO,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T20,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV4485,HGS,Mes-Masson,OV4485,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,2,ch3,p60,NA,92.5,48.2,52.1,19696,7758,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,absence of a competing CC/MC program (NOT a positive serous call),not assessed,FALSE,NA,HGS (expression-supported),none,NA,NA,NA,NA,NA,NA,DIF,0.598,0.43399999999999994,DIF,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T21,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV866-2,HGS,Mes-Masson,OV866-2,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,1,ch4,p67,NA,93,42.9,46.1,19121,7738,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,absence of a competing CC/MC program (NOT a positive serous call),not assessed,FALSE,NA,HGS (expression-supported),none,NA,NA,NA,NA,NA,NA,MES,0.55,0.3420000000000001,MES,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T22,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV90,HGS,Mes-Masson,OV90,NA,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Y,5,ch3,p70,P63,91.3,44.5,48.8,20284,7653,9.2,240,0.083,0.99,FALSE,no hypermutation signal,SBS5,0.28,0.318,FALSE,mut(S215R),"BRAF, CDKN2A, TP53",consistent,absence of a competing CC/MC program (NOT a positive serous call),partial,FALSE,NA,HGS-family carcinoma; serous identity NOT confirmed by expression (Adeno label unresolved),label conflict in source metadata; Adeno-vs-HGS label conflict: TP53-mut + high CNV support HGS-family; serous/Mullerian markers very low (PAX8/WT1/SOX17 z=-1.25) — serous identity NOT confirmed by expression (culture erosion vs atypia); HGS call rests on genomics,"BRAF, TP53",CDKN2A,"BRAF, CDKN2A(T3), TP53",2,1,NA,IMR,0.384,0.068,IMR,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_3768,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV2835EP,HGS,Mes-Masson,TOV2835EP,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P64,NA,NA,NA,NA,NA,NA,252,0.148,0.78,FALSE,no hypermutation signal,SBS5,0.612,0.622,FALSE,mut(D281Y),TP53,not assessed,not assessed (no RNA),consistent,FALSE,NA,HGS (genomics-supported),none,TP53,NA,TP53,1,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A1SJ,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV2881EP,HGS,Mes-Masson,TOV2881EP,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P64,NA,NA,NA,NA,NA,NA,240,0.059,0.72,FALSE,no hypermutation signal,SBS5,0.569,0.549,FALSE,mut(156_157insP;R156P),TP53,not assessed,not assessed (no RNA),consistent,FALSE,NA,HGS (genomics-supported),none,TP53,NA,TP53,1,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A1SK,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV2929D,HGS,Mes-Masson,TOV2929D,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P57,NA,NA,NA,NA,NA,NA,413,0.135,0.57,FALSE,no hypermutation signal,SBS40,0.768,0.82,TRUE,mut(C242Y),"CDK12, SMARCA2, TP53",not assessed,not assessed (no RNA),consistent,FALSE,NA,HGS (genomics-supported),none,TP53,"CDK12, SMARCA2","CDK12(T3), SMARCA2(T3), TP53",1,2,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A1SL,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV3041G,HGS,Mes-Masson,TOV3041G,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,3,ch4,p67,NA,92.8,80.1,86.3,20485,7562,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,absence of a competing CC/MC program (NOT a positive serous call),not assessed,FALSE,NA,HGS (expression-supported),none,NA,NA,NA,NA,NA,NA,MES,0.368,0.04399999999999998,MES,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T24,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV81D,LGS,Mes-Masson,TOV81D,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P23,NA,NA,NA,NA,NA,NA,264,0.187,0.63,FALSE,no hypermutation signal,SBS5,0.023,0.075,FALSE,no retained candidate,BRCA2,not assessed,not assessed (no RNA),consistent,FALSE,NA,LGS (genomics-supported),none,NA,BRCA2,BRCA2(T3),0,1,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A453,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV21G,CC,Mes-Masson,TOV21G,NA,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,5,ch5,p63,P59,91.9,61.6,67,20573,7653,9.2,1416,0.279,2.72,TRUE,candidate MMR-d / MSI-high,SBS6,0.078,0.127,FALSE,no retained candidate,"ARID1A, ARID1B, CTNNB1, KRAS, PIK3CA, PTEN, SMARCA2",consistent,positive lineage program (specific markers expressed),consistent,TRUE,NA,CC (concordant),ARID1A truncating mutation = canonical clear-cell driver (supportive),"ARID1A, ARID1B, KRAS, PIK3CA, PTEN","CTNNB1, SMARCA2","ARID1A, ARID1B, CTNNB1(T3), KRAS, PIK3CA, PTEN, SMARCA2(T3)",5,2,hypermutator/MSI-high candidate (see f_wes_hypermutation): non-canonical calls carry elevated passenger risk,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_3613,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV3392D,CC,Mes-Masson,TOV3392D,NA,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,1,ch7,p69,P69,92.3,48.5,52.6,18907,7738,8.2,196,0.084,0.92,FALSE,no hypermutation signal,SBS5,0.688,0.717,FALSE,no retained candidate,KRAS,consistent,positive lineage program (specific markers expressed),partial,FALSE,NA,CC (expression-supported),none,KRAS,NA,KRAS,1,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A1SS,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA10816,CC,Huntsman,VOA10816,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,1,ch6,p20,NA,86.6,49.9,57.7,20643,7738,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,positive lineage program (specific markers expressed),not assessed,FALSE,NA,CC (expression-supported),none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA12539,CC,Huntsman,VOA12539,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,2,ch7,p41,NA,89.3,69.5,77.8,20974,7758,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,positive lineage program (specific markers expressed),not assessed,FALSE,NA,CC (expression-supported),none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA14993,CC,Huntsman,VOA14993,NA,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-,3,ch6,NA,NA,NA,NA,NA,NA,7562,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed,not assessed (no RNA),not assessed,FALSE,NA,CC (as labeled; STR pending),none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA295,CC,Huntsman,VOA295,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,2,ch6,p31,NA,86.9,78.3,90.1,21057,7758,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,positive lineage program (specific markers expressed),not assessed,FALSE,NA,CC (expression-supported),none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
