cell_line,subtype,source_site,has_rna,applicable,consensusov_call_inherited,consensusov_call,prob_top,prob_second,margin_top_vs_second,second_call,prob_IMR,prob_DIF,prob_PRO,prob_MES,call_all_set,margin_all_set,call_stable_across_input_sets,agrees_with_inherited,consensusov_version,consensusov_settings,consensusov_provenance
OV1369-R2,HGS,Mes-Masson,TRUE,TRUE,DIF,MES,0.372,0.284,0.08800000000000002,DIF,0.222,0.284,0.122,0.372,MES,0.19199999999999998,TRUE,FALSE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV1369,HGS,Mes-Masson,TRUE,TRUE,DIF,DIF,0.738,0.142,0.596,IMR,0.142,0.738,0.05,0.07,DIF,0.5339999999999999,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV2295-R,HGS,Mes-Masson,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV2835EP,HGS,Mes-Masson,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV2881EP,HGS,Mes-Masson,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV2929D,HGS,Mes-Masson,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV3041G,HGS,Mes-Masson,TRUE,TRUE,MES,MES,0.368,0.324,0.043999999999999984,DIF,0.234,0.324,0.074,0.368,MES,0.016000000000000014,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV3121D,HGS,Mes-Masson,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV3121EP,HGS,Mes-Masson,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV3133D,HGS,Mes-Masson,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV3133G,HGS,Mes-Masson,TRUE,TRUE,DIF,DIF,0.53,0.354,0.17600000000000005,IMR,0.354,0.53,0.032,0.084,DIF,0.308,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV3291G,HGS,Mes-Masson,TRUE,TRUE,MES,MES,0.346,0.282,0.064,IMR,0.282,0.222,0.15,0.346,MES,0.17599999999999996,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV3331,HGS,Mes-Masson,TRUE,TRUE,PRO,PRO,0.812,0.11,0.7020000000000001,DIF,0.032,0.11,0.812,0.046,PRO,0.632,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV90,HGS,Mes-Masson,TRUE,TRUE,IMR,IMR,0.384,0.316,0.068,MES,0.384,0.158,0.142,0.316,IMR,0.01599999999999996,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV81D,LGS,Mes-Masson,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV21G,CC,Mes-Masson,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV3392D,CC,Mes-Masson,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA10816,CC,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA12539,CC,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA14993,CC,Huntsman,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA295,CC,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA4841,CC,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA6861,CC,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV112D,EC,Mes-Masson,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA4395,EC,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
TOV2414,MC,Mes-Masson,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA8762,MC,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA8771,MC,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA5217,MMMT,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
VOA5436,MMMT,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
BIN67,SCCOHT,Huntsman/Vanderhyden,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
COV434,SCCOHT,Huntsman,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
