cell_line,histotype_code,patient_id,rna_passage,wes_passage,tmt_plex,gene,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,rna_rank_all_models_desc,rna_n_measured_models,rna_rank_within_histotype_desc,rna_n_measured_within_histotype,rna_histotype_patient_median_log2_tpm_plus1,rna_histotype_measured_patients,rna_log2_tpm_plus1_delta_histotype_patient_median,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides,protein_log2_normalised,protein_rank_all_models_desc,protein_n_measured_models,interpretation
OV1369-R2,HGS,1369,p69,P66,1.0,CCNE1,ENSG00000105173,20.889146,4.452143764088775,23.0,31,13.0,15,5.363526958361573,12.0,-0.9113831942727977,CCNE1,P24864,True,5,12.5268281602376,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2929D,HGS,TOV2929D,NA,P57,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3041G,HGS,TOV3041G,p67,NA,3.0,CCNE1,ENSG00000105173,39.52023400000001,5.3405706004594045,13.0,31,7.0,15,5.363526958361573,12.0,-0.0229563579021681,CCNE1,P24864,True,5,12.93889788975986,8.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121D,HGS,3121,NA,P68,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121EP,HGS,3121,NA,P68,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133D,HGS,3133,NA,P66,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133G,HGS,3133,p61,P65,4.0,CCNE1,ENSG00000105173,38.151979,5.291013327597217,14.0,31,8.0,15,5.363526958361573,12.0,-0.07251363076435524,CCNE1,P24864,True,5,13.17151557273808,1.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3291G,HGS,3291,p62,NA,2.0,CCNE1,ENSG00000105173,158.021989,7.313082459862038,1.0,31,1.0,15,5.363526958361573,12.0,1.9495555015004653,CCNE1,P24864,True,5,12.87129147333248,13.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3331,HGS,OV3331,p71,P54,4.0,CCNE1,ENSG00000105173,25.001545000000004,4.700525444972433,20.0,31,11.0,15,5.363526958361573,12.0,-0.6630015133891396,CCNE1,P24864,True,5,12.80308487163489,16.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV90,HGS,OV90,p70,P63,5.0,CCNE1,ENSG00000105173,22.297845,4.542124609784218,22.0,31,12.0,15,5.363526958361573,12.0,-0.8214023485773545,CCNE1,P24864,True,5,12.98844055129476,7.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV81D,LGS,TOV81D,NA,P23,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,0,NA,0.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV21G,CC,TOV21G,p63,P59,5.0,CCNE1,ENSG00000105173,29.947454900000004,4.951748862836503,16.0,31,5.0,7,5.4213615691107915,7.0,-0.4696127062742885,CCNE1,P24864,True,5,12.88607316690632,11.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3392D,CC,TOV3392D,p69,P69,1.0,CCNE1,ENSG00000105173,80.135283,6.342257525231371,5.0,31,2.0,7,5.4213615691107915,7.0,0.9208959561205798,CCNE1,P24864,True,5,12.7532604463601,19.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA10816,CC,VOA10816,p20,NA,1.0,CCNE1,ENSG00000105173,41.854107,5.4213615691107915,11.0,31,4.0,7,5.4213615691107915,7.0,0.0,CCNE1,P24864,True,5,12.3923840433249,30.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA12539,CC,VOA12539,p41,NA,2.0,CCNE1,ENSG00000105173,146.95400999999998,7.2090049882241996,2.0,31,1.0,7,5.4213615691107915,7.0,1.787643419113408,CCNE1,P24864,True,5,13.05885865882953,4.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA14993,CC,VOA14993,NA,NA,3.0,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,7,5.4213615691107915,7.0,NA,CCNE1,P24864,True,5,12.78965354091421,17.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA295,CC,VOA295,p31,NA,2.0,CCNE1,ENSG00000105173,22.417342,4.549505426019423,21.0,31,6.0,7,5.4213615691107915,7.0,-0.8718561430913683,CCNE1,P24864,True,5,12.56139786933016,27.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,CCNE1,ENSG00000105173,6.410148,2.8895023572050325,31.0,31,7.0,7,5.4213615691107915,7.0,-2.531859211905759,CCNE1,P24864,True,5,12.70664626427569,23.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,CCNE1,ENSG00000105173,46.12714,5.558486226208488,10.0,31,3.0,7,5.4213615691107915,7.0,0.13712465709769628,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,CCNE1,ENSG00000105173,28.40078,4.877782525023991,18.0,31,1.0,2,4.44638291250113,2.0,0.43139961252286163,CCNE1,P24864,True,5,12.90196251450055,9.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,CCNE1,ENSG00000105173,15.167036000000005,4.014983299978268,25.0,31,2.0,2,4.44638291250113,2.0,-0.43139961252286163,CCNE1,P24864,True,5,12.55625677995207,28.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,CCNE1,ENSG00000105173,19.183159,4.335080092768469,24.0,31,2.0,3,4.335080092768469,3.0,0.0,CCNE1,P24864,True,5,13.05046147115815,5.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,CCNE1,ENSG00000105173,15.091181,4.008198310340664,26.0,31,3.0,3,4.335080092768469,3.0,-0.3268817824278045,CCNE1,P24864,True,5,12.73758068829119,21.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,CCNE1,ENSG00000105173,67.78805100000001,6.104086074637293,7.0,31,1.0,3,4.335080092768469,3.0,1.7690059818688244,CCNE1,P24864,True,5,12.89029011975296,10.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,CCNE1,ENSG00000105173,9.892834,3.445307445253695,29.0,31,1.0,2,3.4034671675162356,2.0,0.04184027773745935,CCNE1,P24864,True,5,13.06849257313587,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,CCNE1,ENSG00000105173,9.278992,3.361626889778776,30.0,31,2.0,2,3.4034671675162356,2.0,-0.04184027773745935,CCNE1,P24864,True,5,12.71414316351879,22.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,CCNE1,ENSG00000105173,32.172636999999995,5.051921796057835,15.0,31,2.0,2,5.219678531331702,2.0,-0.16775673527386736,CCNE1,P24864,True,5,12.7606782045117,18.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,CCNE1,ENSG00000105173,40.85811,5.387435266605569,12.0,31,1.0,2,5.219678531331702,2.0,0.16775673527386648,CCNE1,P24864,True,5,12.3368761259082,31.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,ERBB2,ENSG00000141736,28.9642363,4.905169699223096,30.0,31,14.0,15,5.572283877012303,12.0,-0.6671141777892071,ERBB2,P04626,True,29,13.09504753490508,27.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,ERBB2,ENSG00000141736,29.245250799999997,4.918636718755813,29.0,31,13.0,15,5.572283877012303,12.0,-0.65364715825649,ERBB2,P04626,True,29,12.91974977298359,31.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,ERBB2,ENSG00000141736,37.752488199999995,5.276217040075657,25.0,31,9.0,15,5.572283877012303,12.0,-0.2960668369366459,ERBB2,P04626,True,29,13.32622273451726,14.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295,HGS,2295,p64,P61,5.0,ERBB2,ENSG00000141736,78.473694,6.3124054984783005,7.0,31,2.0,15,5.572283877012303,12.0,0.7401216214659971,ERBB2,P04626,True,29,13.31748998068187,16.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295-R2,HGS,2295,p67,P70,3.0,ERBB2,ENSG00000141736,30.0697819,4.957440209121728,28.0,31,12.0,15,5.572283877012303,12.0,-0.6148436678905753,ERBB2,P04626,True,29,13.02457850468207,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R,HGS,3133,p64,P71,1.0,ERBB2,ENSG00000141736,35.41434829400001,5.186435120416432,26.0,31,10.0,15,5.572283877012303,12.0,-0.3858487565958715,ERBB2,P04626,True,29,13.28486085076809,18.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R2,HGS,3133,NA,P58,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,15,5.572283877012303,12.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3291,HGS,3291,NA,P46,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,15,5.572283877012303,12.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4453,HGS,OV4453,p60,NA,4.0,ERBB2,ENSG00000141736,71.50283500000002,6.179965503262875,12.0,31,3.0,15,5.572283877012303,12.0,0.6076816262505718,ERBB2,P04626,True,29,13.31465407734208,17.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4485,HGS,OV4485,p60,NA,2.0,ERBB2,ENSG00000141736,49.852913,5.668258513026857,21.0,31,7.0,15,5.572283877012303,12.0,0.09597463601455392,ERBB2,P04626,True,29,13.40150299877742,8.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV866-2,HGS,OV866-2,p67,NA,1.0,ERBB2,ENSG00000141736,50.27316926272701,5.680132170276312,20.0,31,6.0,15,5.572283877012303,12.0,0.10784829326400835,ERBB2,P04626,True,29,13.35384769669199,12.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV1369,HGS,1369,p65,P65,2.0,ERBB2,ENSG00000141736,68.26814343199999,6.114120101226086,14.0,31,4.0,15,5.572283877012303,12.0,0.5418362242137826,ERBB2,P04626,True,29,13.27537182275428,20.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2295-R,HGS,2295,NA,P57,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,15,5.572283877012303,12.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2835EP,HGS,TOV2835EP,NA,P64,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,15,5.572283877012303,12.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2881EP,HGS,TOV2881EP,NA,P64,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,15,5.572283877012303,12.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2929D,HGS,TOV2929D,NA,P57,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,15,5.572283877012303,12.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3041G,HGS,TOV3041G,p67,NA,3.0,ERBB2,ENSG00000141736,34.920132,5.166720746619972,27.0,31,11.0,15,5.572283877012303,12.0,-0.4055631303923315,ERBB2,P04626,True,29,13.20788972133084,23.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121D,HGS,3121,NA,P68,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,15,5.572283877012303,12.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121EP,HGS,3121,NA,P68,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,15,5.572283877012303,12.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133D,HGS,3133,NA,P66,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,15,5.572283877012303,12.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133G,HGS,3133,p61,P65,4.0,ERBB2,ENSG00000141736,39.8507628243149,5.352291113590777,24.0,31,8.0,15,5.572283877012303,12.0,-0.2199927634215264,ERBB2,P04626,True,29,13.18033538081043,25.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3291G,HGS,3291,p62,NA,2.0,ERBB2,ENSG00000141736,66.73972635,6.081930253637127,15.0,31,5.0,15,5.572283877012303,12.0,0.5096463766248238,ERBB2,P04626,True,29,13.2537472053774,21.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3331,HGS,OV3331,p71,P54,4.0,ERBB2,ENSG00000141736,110.83956845746062,6.805286888849257,3.0,31,1.0,15,5.572283877012303,12.0,1.2330030118369537,ERBB2,P04626,True,29,13.3360871237342,13.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV90,HGS,OV90,p70,P63,5.0,ERBB2,ENSG00000141736,23.301119430000004,4.602950867932892,31.0,31,15.0,15,5.572283877012303,12.0,-0.9693330090794117,ERBB2,P04626,True,29,12.99980529408047,30.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV81D,LGS,TOV81D,NA,P23,NA,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,0,NA,0.0,NA,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV21G,CC,TOV21G,p63,P59,5.0,ERBB2,ENSG00000141736,58.525746800000015,5.895441910305661,19.0,31,7.0,7,6.278680908096826,7.0,-0.38323899779116477,ERBB2,P04626,True,29,13.24664001241301,22.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3392D,CC,TOV3392D,p69,P69,1.0,ERBB2,ENSG00000141736,216.377008563498,7.764055547869947,1.0,31,1.0,7,6.278680908096826,7.0,1.485374639773121,ERBB2,P04626,True,29,13.90404094331423,1.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA10816,CC,VOA10816,p20,NA,1.0,ERBB2,ENSG00000141736,147.21650100000002,7.211562262153019,2.0,31,2.0,7,6.278680908096826,7.0,0.9328813540561933,ERBB2,P04626,True,29,13.37558430657029,11.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA12539,CC,VOA12539,p41,NA,2.0,ERBB2,ENSG00000141736,72.5451607,6.200558509599236,10.0,31,5.0,7,6.278680908096826,7.0,-0.07812239849759006,ERBB2,P04626,True,29,13.65070045426861,2.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA14993,CC,VOA14993,NA,NA,3.0,ERBB2,ENSG00000141736,NA,NA,NA,31,NA,7,6.278680908096826,7.0,NA,ERBB2,P04626,True,29,13.5349641888484,6.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA295,CC,VOA295,p31,NA,2.0,ERBB2,ENSG00000141736,66.55604799999999,6.078013028450478,16.0,31,6.0,7,6.278680908096826,7.0,-0.2006678796463479,ERBB2,P04626,True,29,13.49383347241082,7.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,ERBB2,ENSG00000141736,90.1203914,6.509702038922262,4.0,31,3.0,7,6.278680908096826,7.0,0.23102113082543596,ERBB2,P04626,True,29,13.1042090899028,26.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,ERBB2,ENSG00000141736,76.63745428685552,6.278680908096826,9.0,31,4.0,7,6.278680908096826,7.0,0.0,ERBB2,P04626,True,29,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,ERBB2,ENSG00000141736,45.7441044,5.546712511454654,23.0,31,2.0,2,5.573305939254853,2.0,-0.02659342780019891,ERBB2,P04626,True,29,13.19346825036753,24.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,ERBB2,ENSG00000141736,47.49954699999999,5.599899367055052,22.0,31,1.0,2,5.573305939254853,2.0,0.02659342780019891,ERBB2,P04626,True,29,13.38002877452424,10.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,ERBB2,ENSG00000141736,79.34355480599999,6.328110389822278,6.0,31,1.0,3,6.310099041690741,3.0,0.018011348131537375,ERBB2,P04626,True,29,13.27892101325559,19.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,ERBB2,ENSG00000141736,78.3467398,6.310099041690741,8.0,31,2.0,3,6.310099041690741,3.0,0.0,ERBB2,P04626,True,29,13.63914457854373,4.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,ERBB2,ENSG00000141736,69.98197449999999,6.1493808011788404,13.0,31,3.0,3,6.310099041690741,3.0,-0.1607182405119003,ERBB2,P04626,True,29,13.64802319162523,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,ERBB2,ENSG00000141736,72.027163,6.190361279926192,11.0,31,1.0,2,6.0566879222922285,2.0,0.13367335763396326,ERBB2,P04626,True,29,13.58144127659377,5.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,ERBB2,ENSG00000141736,59.67433830000001,5.923014564658266,17.0,31,2.0,2,6.0566879222922285,2.0,-0.13367335763396238,ERBB2,P04626,True,29,13.32268251703292,15.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,ERBB2,ENSG00000141736,87.92239330000001,6.474474873162024,5.0,31,1.0,2,6.197377688034052,2.0,0.277097185127972,ERBB2,P04626,True,29,13.38857764510971,9.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,ERBB2,ENSG00000141736,59.55946281,5.920280502906081,18.0,31,2.0,2,6.197377688034052,2.0,-0.2770971851279711,ERBB2,P04626,True,29,13.0531470843212,28.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,FOLR1,ENSG00000110195,0.26896,0.3436465934413079,27.0,31,13.0,15,5.088676143550565,12.0,-4.7450295501092565,FOLR1,P15328,False,12,11.10101719796016,25.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,FOLR1,ENSG00000110195,0.0401551,0.05679866809441615,30.0,31,15.0,15,5.088676143550565,12.0,-5.031877475456149,FOLR1,P15328,False,12,11.10408626786945,24.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,FOLR1,ENSG00000110195,129.4970434,7.027873310589212,8.0,31,5.0,15,5.088676143550565,12.0,1.939197167038647,FOLR1,P15328,False,12,12.49526645592224,7.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295,HGS,2295,p64,P61,5.0,FOLR1,ENSG00000110195,277.29024,8.120446502143453,3.0,31,3.0,15,5.088676143550565,12.0,3.0317703585928886,FOLR1,P15328,False,12,13.23451349569614,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295-R2,HGS,2295,p67,P70,3.0,FOLR1,ENSG00000110195,30.95514,4.9979761029325145,17.0,31,10.0,15,5.088676143550565,12.0,-0.09070004061805026,FOLR1,P15328,False,12,11.57675498630536,17.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R,HGS,3133,p64,P71,1.0,FOLR1,ENSG00000110195,376.972112,8.562135981460342,2.0,31,2.0,15,5.088676143550565,12.0,3.473459837909777,FOLR1,P15328,False,12,12.3929529380732,8.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R2,HGS,3133,NA,P58,NA,FOLR1,ENSG00000110195,NA,NA,NA,31,NA,15,5.088676143550565,12.0,NA,FOLR1,P15328,False,12,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3291,HGS,3291,NA,P46,NA,FOLR1,ENSG00000110195,NA,NA,NA,31,NA,15,5.088676143550565,12.0,NA,FOLR1,P15328,False,12,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4453,HGS,OV4453,p60,NA,4.0,FOLR1,ENSG00000110195,31.52373,5.023420817980344,16.0,31,9.0,15,5.088676143550565,12.0,-0.06525532557022107,FOLR1,P15328,False,12,11.41890129753219,20.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4485,HGS,OV4485,p60,NA,2.0,FOLR1,ENSG00000110195,192.645749,7.597276020787592,5.0,31,4.0,15,5.088676143550565,12.0,2.5085998772370273,FOLR1,P15328,False,12,13.08795244061893,4.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV866-2,HGS,OV866-2,p67,NA,1.0,FOLR1,ENSG00000110195,0.0750092,0.10434900654736935,29.0,31,14.0,15,5.088676143550565,12.0,-4.984327137003195,FOLR1,P15328,False,12,10.89042292311317,28.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
