cell_line,histotype_code,patient_id,rna_passage,wes_passage,tmt_plex,gene,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,rna_rank_all_models_desc,rna_n_measured_models,rna_rank_within_histotype_desc,rna_n_measured_within_histotype,rna_histotype_patient_median_log2_tpm_plus1,rna_histotype_measured_patients,rna_log2_tpm_plus1_delta_histotype_patient_median,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides,protein_log2_normalised,protein_rank_all_models_desc,protein_n_measured_models,interpretation,chromosome,gene_start,gene_end,segments_overlapping_gene,segment_start_min,segment_end_max,locus_segment_span_mb,gene_segment_log2_raw,gene_segment_log2c_auto,ratio_to_autosomal_baseline,autosomal_center,arm_length_weighted_median_log2,locus_minus_arm_log2,target_bins_overlapping_gene,positive_target_bins,gene_target_median_log2c_auto,gene_target_min_log2c_auto,gene_target_max_log2c_auto,strong_relative_gain_screen,clinical_amplification_status,wes_available
OV1369-R2,HGS,1369,p69,P66,1.0,CCNE1,ENSG00000105173,20.889146,4.452143764088775,23.0,31,13.0,15,5.363526958361573,12.0,-0.9113831942727977,CCNE1,P24864,True,5,12.5268281602376,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,36238506.0,7.514343,0.24491600000000002,0.3627896413043479,1.2859099718230904,-0.11787364130434796,-0.3780363586956521,0.740826,7.0,7.0,0.31536364130434796,-0.01617935869565204,0.746596641304348,False,not established: absolute copy number/ploidy unavailable,True
TOV1369,HGS,1369,p65,P65,2.0,CCNE1,ENSG00000105173,14.21042915,3.9269889530018793,27.0,31,14.0,15,5.363526958361573,12.0,-1.4365380053596932,CCNE1,P24864,True,5,12.83822511212454,15.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,35768594.0,7.044431,0.185726,0.0897286103448275,1.0641699794435475,0.09599738965517252,-0.2519873896551724,0.3417159999999999,7.0,7.0,-0.22963538965517252,-0.4331463896551725,0.4737346103448275,False,not established: absolute copy number/ploidy unavailable,True
TOV2295-R,HGS,2295,NA,P57,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,35768594.0,7.044431,0.39676999999999996,0.2826629949345715,1.2164381726498248,0.11410700506542841,0.1585799949345715,0.12408299999999997,7.0,7.0,0.0747329949345716,-0.33736500506542844,0.3834189949345716,False,not established: absolute copy number/ploidy unavailable,True
TOV2835EP,HGS,TOV2835EP,NA,P64,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,31279770.0,2.555607,0.589662,0.4494898358608385,1.3655572845897324,0.14017216413916148,-0.0101981641391614,0.45968799999999993,7.0,7.0,1.1980378358608383,0.9885978358608386,1.8254778358608383,False,not established: absolute copy number/ploidy unavailable,True
TOV2881EP,HGS,TOV2881EP,NA,P64,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,33811862.0,5.087699,1.31017,1.3516500444444444,2.552038412808961,-0.0414800444444446,1.0734200444444446,0.27822999999999976,7.0,7.0,1.3358300444444444,1.0328730444444445,1.8274900444444446,True,not established: absolute copy number/ploidy unavailable,True
TOV2929D,HGS,TOV2929D,NA,P57,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,32931619.0,4.207456,3.1429499999999995,3.0437563593541213,8.246353798203952,0.0991936406458786,-0.2183306406458787,3.262087,7.0,7.0,2.6194163593541213,2.1270463593541216,2.9166063593541214,True,not established: absolute copy number/ploidy unavailable,True
TOV3041G,HGS,TOV3041G,p67,NA,3.0,CCNE1,ENSG00000105173,39.52023400000001,5.3405706004594045,13.0,31,7.0,15,5.363526958361573,12.0,-0.0229563579021681,CCNE1,P24864,True,5,12.93889788975986,8.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
TOV3121D,HGS,3121,NA,P68,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,58599511.0,29.875348,0.431637,0.2842277845849801,1.2177582731991976,0.1474092154150198,0.2842277845849801,0.0,7.0,7.0,0.3763357845849802,-0.18106101541501982,0.7326017845849802,False,not established: absolute copy number/ploidy unavailable,True
TOV3121EP,HGS,3121,NA,P68,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,58599511.0,29.875348,0.612925,0.6321479639426211,1.5498708097414027,-0.019222963942621102,0.6321479639426211,0.0,7.0,7.0,0.7114689639426212,0.2285269639426211,1.0829429639426211,False,not established: absolute copy number/ploidy unavailable,True
TOV3133D,HGS,3133,NA,P66,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,33814222.0,5.090059,1.24498,1.2419599337974847,2.3651963138755816,0.0030200662025151037,0.5040449337974848,0.7379149999999999,7.0,7.0,1.456829933797485,1.3582699337974848,2.040379933797485,True,not established: absolute copy number/ploidy unavailable,True
TOV3133G,HGS,3133,p61,P65,4.0,CCNE1,ENSG00000105173,38.151979,5.291013327597217,14.0,31,8.0,15,5.363526958361573,12.0,-0.07251363076435524,CCNE1,P24864,True,5,13.17151557273808,1.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,31279770.0,2.555607,0.136689,0.17425069811041122,1.1283781994776043,-0.03756169811041121,-0.0384171018895887,0.2126677999999999,7.0,7.0,0.4823856981104112,0.1592696981104112,0.6651196981104112,False,not established: absolute copy number/ploidy unavailable,True
TOV3291G,HGS,3291,p62,NA,2.0,CCNE1,ENSG00000105173,158.021989,7.313082459862038,1.0,31,1.0,15,5.363526958361573,12.0,1.9495555015004653,CCNE1,P24864,True,5,12.87129147333248,13.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
OV3331,HGS,OV3331,p71,P54,4.0,CCNE1,ENSG00000105173,25.001545000000004,4.700525444972433,20.0,31,11.0,15,5.363526958361573,12.0,-0.6630015133891396,CCNE1,P24864,True,5,12.80308487163489,16.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,33811862.0,5.087699,0.105078,0.1647691210588583,1.1209866687159826,-0.05969112105885832,-0.0650218789411416,0.2297909999999999,7.0,7.0,-0.2018478789411417,-0.4816178789411417,0.2001941210588583,False,not established: absolute copy number/ploidy unavailable,True
OV90,HGS,OV90,p70,P63,5.0,CCNE1,ENSG00000105173,22.297845,4.542124609784218,22.0,31,12.0,15,5.363526958361573,12.0,-0.8214023485773545,CCNE1,P24864,True,5,12.98844055129476,7.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,35768594.0,7.044431,0.678744,0.6942548310017157,1.6180484761075549,-0.0155108310017157,0.6041398310017156,0.09011500000000006,7.0,7.0,0.49370783100171567,0.19852583100171572,0.9008878310017157,False,not established: absolute copy number/ploidy unavailable,True
TOV81D,LGS,TOV81D,NA,P23,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,0,NA,0.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,35768594.0,7.044431,0.061704600000000005,0.0634300613248994,1.0449472108106173,-0.0017254613248994,-0.0455506386751005,0.1089806999999999,7.0,7.0,0.1035304613248994,-0.6859995386751007,0.37633646132489945,False,not established: absolute copy number/ploidy unavailable,True
TOV21G,CC,TOV21G,p63,P59,5.0,CCNE1,ENSG00000105173,29.947454900000004,4.951748862836503,16.0,31,5.0,7,5.4213615691107915,7.0,-0.4696127062742885,CCNE1,P24864,True,5,12.88607316690632,11.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,35768594.0,7.044431,0.0609635,0.0503337780901487,1.0355044676915925,0.010629721909851286,-0.0577166219098512,0.1080503999999999,7.0,7.0,-0.023475421909851288,-0.4444347219098513,0.4556332780901487,False,not established: absolute copy number/ploidy unavailable,True
TOV3392D,CC,TOV3392D,p69,P69,1.0,CCNE1,ENSG00000105173,80.135283,6.342257525231371,5.0,31,2.0,7,5.4213615691107915,7.0,0.9208959561205798,CCNE1,P24864,True,5,12.7532604463601,19.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,33811862.0,5.087699,0.313587,0.299151786861314,1.2304207912941758,0.014435213138685999,0.4574697868613141,-0.15831800000000013,7.0,7.0,0.303651786861314,-0.119328213138686,0.573871786861314,False,not established: absolute copy number/ploidy unavailable,True
VOA10816,CC,VOA10816,p20,NA,1.0,CCNE1,ENSG00000105173,41.854107,5.4213615691107915,11.0,31,4.0,7,5.4213615691107915,7.0,0.0,CCNE1,P24864,True,5,12.3923840433249,30.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
VOA12539,CC,VOA12539,p41,NA,2.0,CCNE1,ENSG00000105173,146.95400999999998,7.2090049882241996,2.0,31,1.0,7,5.4213615691107915,7.0,1.787643419113408,CCNE1,P24864,True,5,13.05885865882953,4.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
VOA14993,CC,VOA14993,NA,NA,3.0,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,7,5.4213615691107915,7.0,NA,CCNE1,P24864,True,5,12.78965354091421,17.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
VOA295,CC,VOA295,p31,NA,2.0,CCNE1,ENSG00000105173,22.417342,4.549505426019423,21.0,31,6.0,7,5.4213615691107915,7.0,-0.8718561430913683,CCNE1,P24864,True,5,12.56139786933016,27.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
VOA4841,CC,VOA4841,p43,NA,3.0,CCNE1,ENSG00000105173,6.410148,2.8895023572050325,31.0,31,7.0,7,5.4213615691107915,7.0,-2.531859211905759,CCNE1,P24864,True,5,12.70664626427569,23.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
VOA6861,CC,VOA6861,p17,NA,NA,CCNE1,ENSG00000105173,46.12714,5.558486226208488,10.0,31,3.0,7,5.4213615691107915,7.0,0.13712465709769628,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
TOV112D,EC,TOV112D,p63,P83,4.0,CCNE1,ENSG00000105173,28.40078,4.877782525023991,18.0,31,1.0,2,4.44638291250113,2.0,0.43139961252286163,CCNE1,P24864,True,5,12.90196251450055,9.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,35768594.0,7.044431,0.007572410000000001,0.0374977614531313,1.026332191388592,-0.029925351453131303,-0.0766286485468686,0.1141264099999999,7.0,7.0,-0.024457648546868698,-0.6459896485468687,0.26453535145313134,False,not established: absolute copy number/ploidy unavailable,True
VOA4395,EC,VOA4395,p39-40,NA,1.0,CCNE1,ENSG00000105173,15.167036000000005,4.014983299978268,25.0,31,2.0,2,4.44638291250113,2.0,-0.43139961252286163,CCNE1,P24864,True,5,12.55625677995207,28.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
TOV2414,MC,TOV2414,p69,P65,5.0,CCNE1,ENSG00000105173,19.183159,4.335080092768469,24.0,31,2.0,3,4.335080092768469,3.0,0.0,CCNE1,P24864,True,5,13.05046147115815,5.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,58599511.0,29.875348,-0.0399258,-0.0392118565219532,0.9731864534228335,-0.0007139434780466941,-0.0392118565219532,0.0,7.0,7.0,0.0754679434780467,-0.4269410565219533,0.2140619434780467,False,not established: absolute copy number/ploidy unavailable,True
VOA8762,MC,VOA8762,p27,NA,4.0,CCNE1,ENSG00000105173,15.091181,4.008198310340664,26.0,31,3.0,3,4.335080092768469,3.0,-0.3268817824278045,CCNE1,P24864,True,5,12.73758068829119,21.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
VOA8771,MC,VOA8771,p28,NA,5.0,CCNE1,ENSG00000105173,67.78805100000001,6.104086074637293,7.0,31,1.0,3,4.335080092768469,3.0,1.7690059818688244,CCNE1,P24864,True,5,12.89029011975296,10.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
VOA5217,MMMT,VOA5217,p36,NA,4.0,CCNE1,ENSG00000105173,9.892834,3.445307445253695,29.0,31,1.0,2,3.4034671675162356,2.0,0.04184027773745935,CCNE1,P24864,True,5,13.06849257313587,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
VOA5436,MMMT,VOA5436,p35,NA,5.0,CCNE1,ENSG00000105173,9.278992,3.361626889778776,30.0,31,2.0,2,3.4034671675162356,2.0,-0.04184027773745935,CCNE1,P24864,True,5,12.71414316351879,22.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
BIN67,SCCOHT,BIN67,p51,NA,3.0,CCNE1,ENSG00000105173,32.172636999999995,5.051921796057835,15.0,31,2.0,2,5.219678531331702,2.0,-0.16775673527386736,CCNE1,P24864,True,5,12.7606782045117,18.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
COV434,SCCOHT,COV434,p46,NA,1.0,CCNE1,ENSG00000105173,40.85811,5.387435266605569,12.0,31,1.0,2,5.219678531331702,2.0,0.16775673527386648,CCNE1,P24864,True,5,12.3368761259082,31.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
