arm,n_lines,n_lines_gain,n_lines_loss,n_patients,n_patients_gain,n_patients_loss,pct_lines_gain,pct_lines_loss,pct_patients_gain,pct_patients_loss,log2_threshold,arm_majority_frac,centring,pct_per_patient,arm_reference,fraction_denominator,patient_rule
8q,18,12,2,11,8,2,67,11,73,18,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
9p,18,2,10,11,2,8,11,56,18,73,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
11p,18,0,9,11,0,7,0,50,0,64,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
13q,18,3,9,11,3,7,17,50,27,64,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
18q,18,3,10,11,3,7,17,56,27,64,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
5p,18,12,3,11,7,3,67,17,64,27,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
10p,18,7,2,11,6,2,39,11,55,18,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
11q,18,0,7,11,0,6,0,39,0,55,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
12p,18,7,3,11,6,2,39,17,55,18,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
6q,18,3,6,11,3,6,17,33,27,55,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
16p,18,6,7,11,5,4,33,39,45,36,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
16q,18,2,10,11,2,5,11,56,18,45,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
17q,18,4,6,11,3,5,22,33,27,45,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
18p,18,3,6,11,3,5,17,33,27,45,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
19q,18,7,3,11,5,2,39,17,45,18,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
2p,18,7,2,11,5,2,39,11,45,18,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
21q,18,4,5,11,3,5,22,28,27,45,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
6p,18,8,2,11,5,2,44,11,45,18,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
7p,18,6,3,11,5,2,33,17,45,18,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
9q,18,1,7,11,1,5,6,39,9,45,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
12q,18,4,3,11,4,3,22,17,36,27,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
20p,18,5,3,11,4,2,28,17,36,18,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
1p,18,4,1,11,3,1,22,6,27,9,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
10q,18,3,4,11,3,3,17,22,27,27,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
14q,18,7,3,11,3,2,39,17,27,18,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
2q,18,4,1,11,3,1,22,6,27,9,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
5q,18,2,5,11,2,3,11,28,18,27,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
1q,18,2,1,11,2,1,11,6,18,9,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
