cell_line,subtype,chromosome,start,end,probes,weight,log2_raw,log2c,log2c_auto
OV1369-R2,HGS,chr5,139368703,140706651,294,232.168,-0.401452,-0.29499752238806004,-0.21197753251770782
OV1369-R2,HGS,chr5,140786465,141478264,364,265.875,0.0642736,0.17072807761193992,0.25374806748229217
OV1369-R2,HGS,chr5,141478264,147418658,367,338.032,-0.384836,-0.2783815223880601,-0.19536153251770785
OV1369-R2,HGS,chr5,147424816,157029873,821,703.663,0.179467,0.2859214776119399,0.3689414674822922
OV1369-R2,HGS,chr5,157032768,176085077,848,860.596,0.574102,0.6805564776119399,0.7635764674822921
OV1369-R2,HGS,chr5,176087061,180949034,609,495.54,1.0453,1.1517544776119397,1.234774467482292
OV1369-R2,HGS,chr5,180949184,181472506,53,48.4258,-0.176243,-0.06978852238806009,0.013231467482292147
OV1369-R2,HGS,chr6,105905,8097486,453,449.828,-0.181186,-0.07473152238806009,0.008288467482292144
OV1369-R2,HGS,chr6,8411534,53883031,4648,3904.16,0.229446,0.3359004776119399,0.41892046748229217
OV1369-R2,HGS,chr6,53883857,59942596,356,373.096,0.712462,0.81891647761194,0.9019364674822922
OV1369-R2,HGS,chr6,60094958,115942190,2491,2640.49,0.25704,0.3634944776119399,0.4465144674822922
OV1369-R2,HGS,chr6,115942397,127280399,544,585.034,-0.432088,-0.3256335223880601,-0.24261353251770787
OV1369-R2,HGS,chr6,127286552,155455836,1917,1862.43,0.144814,0.25126847761193993,0.33428846748229213
OV1369-R2,HGS,chr6,155946740,170745941,851,789.098,-0.350981,-0.24452652238806005,-0.16150653251770783
OV1369-R2,HGS,chr7,20809,6824561,509,422.787,-0.113358,-0.006903522388060079,0.07611646748229216
OV1369-R2,HGS,chr7,6824626,37342711,1620,1673.27,-0.375118,-0.26866352238806007,-0.18564353251770785
OV1369-R2,HGS,chr7,37740340,38214455,26,24.7341,-1.47715,-1.3706955223880601,-1.2876755325177078
OV1369-R2,HGS,chr7,38216989,53780051,805,765.288,-0.348621,-0.24216652238806008,-0.15914653251770786
OV1369-R2,HGS,chr7,53787106,55872063,103,100.937,0.504599,0.61105347761194,0.6940734674822922
OV1369-R2,HGS,chr7,55912628,66640453,334,358.241,-0.493162,-0.38670752238806005,-0.30368753251770786
OV1369-R2,HGS,chr7,66771866,67320166,60,55.0774,0.770754,0.87720847761194,0.9602284674822922
OV1369-R2,HGS,chr7,69606557,70698654,13,20.6552,-1.17151,-1.0650555223880602,-0.9820355325177079
OV1369-R2,HGS,chr7,70701791,72927002,87,91.2131,0.170396,0.2768504776119399,0.3598704674822921
OV1369-R2,HGS,chr7,72928332,74735556,279,205.032,0.891005,0.99745947761194,1.0804794674822922
OV1369-R2,HGS,chr7,74736469,75359253,159,111.601,1.48907,1.5955244776119397,1.678544467482292
OV1369-R2,HGS,chr7,75361970,81959839,396,375.174,0.914514,1.0209684776119399,1.1039884674822922
OV1369-R2,HGS,chr7,81961836,91997714,512,542.999,1.32908,1.4355344776119399,1.5185544674822922
OV1369-R2,HGS,chr7,92000999,92731934,183,164.879,1.68415,1.7906044776119399,1.8736244674822922
OV1369-R2,HGS,chr7,92737827,100758392,934,754.851,1.20643,1.3128844776119397,1.395904467482292
OV1369-R2,HGS,chr7,100759660,100991084,75,43.4161,0.527701,0.6341554776119399,0.7171754674822921
OV1369-R2,HGS,chr7,100991084,101004211,45,25.9891,1.89922,2.0056744776119397,2.0886944674822923
OV1369-R2,HGS,chr7,101004211,113084892,1037,935.003,0.93658,1.0430344776119398,1.126054467482292
OV1369-R2,HGS,chr7,113085990,133170518,1157,1117.26,0.51426,0.62071447761194,0.7037344674822922
OV1369-R2,HGS,chr7,133253052,140850222,647,603.802,0.23337,0.3398244776119399,0.42284446748229215
OV1369-R2,HGS,chr7,141002265,142346017,228,186.892,-0.105482,9.724776119399148e-4,0.08399246748229215
OV1369-R2,HGS,chr7,142619018,142958019,91,60.0621,-0.157699,-0.051244522388060085,0.03177546748229215
OV1369-R2,HGS,chr7,142958243,159142555,1201,1030.23,0.6846,0.7910544776119399,0.8740744674822921
OV1369-R2,HGS,chr8,150500,19457854,1014,968.135,0.483008,0.5894624776119399,0.6724824674822921
OV1369-R2,HGS,chr8,19458411,22688795,239,191.574,-0.492388,-0.38593352238806006,-0.3029135325177078
OV1369-R2,HGS,chr8,22688824,23291543,65,48.5887,-1.69125,-1.58479552238806,-1.5017755325177078
OV1369-R2,HGS,chr8,23298825,36905834,789,748.037,-0.417246,-0.31079152238806007,-0.22777153251770785
OV1369-R2,HGS,chr8,36909240,70657938,1694,1724.01,0.22204,0.3284944776119399,0.41151446748229215
OV1369-R2,HGS,chr8,70661693,76850423,223,251.01,-0.399319,-0.29286452238806004,-0.20984453251770782
OV1369-R2,HGS,chr8,76850868,104381375,1399,1472.02,0.21374,0.3201944776119399,0.40321446748229217
OV1369-R2,HGS,chr8,104381729,109652489,235,250.02,-0.473429,-0.36697452238806005,-0.28395453251770786
OV1369-R2,HGS,chr8,109968041,115409016,88,126.669,0.160627,0.2670814776119399,0.35010146748229215
OV1369-R2,HGS,chr8,115409879,123813254,428,433.819,0.589471,0.6959254776119399,0.7789454674822921
OV1369-R2,HGS,chr8,123814227,130785488,247,256.966,1.01786,1.1243144776119398,1.2073344674822921
OV1369-R2,HGS,chr8,130800376,138844180,332,328.684,0.742771,0.8492254776119399,0.9322454674822921
OV1369-R2,HGS,chr8,139618196,145054207,283,264.325,1.27188,1.3783344776119397,1.461354467482292
OV1369-R2,HGS,chr9,18896,20789659,1077,1098.12,-1.36399,-1.2575355223880602,-1.174515532517708
OV1369-R2,HGS,chr9,20819785,23766812,47,146.709,-7.99724,-7.89078552238806,-7.807765532517707
OV1369-R2,HGS,chr9,26109942,27359254,87,83.9605,-1.46147,-1.3550155223880602,-1.271995532517708
OV1369-R2,HGS,chr9,27378275,45584288,1316,1114.07,-0.335531,-0.2290765223880601,-0.14605653251770787
OV1369-R2,HGS,chr9,60383628,87010210,1343,1320.7,-0.22767,-0.12121552238806009,-0.03819553251770785
OV1369-R2,HGS,chr9,87156562,114016202,2170,1982.41,0.608414,0.71486847761194,0.7978884674822921
OV1369-R2,HGS,chr9,114016677,119885066,269,254.535,-0.583012,-0.47655752238806004,-0.39353753251770784
OV1369-R2,HGS,chr9,120190281,120572067,40,34.4682,0.351284,0.4577384776119399,0.5407584674822922
OV1369-R2,HGS,chr9,120602362,123160474,391,333.232,-1.30075,-1.1942955223880602,-1.111275532517708
OV1369-R2,HGS,chr9,123160930,129978658,812,628.407,-0.289178,-0.18272352238806006,-0.09970353251770783
OV1369-R2,HGS,chr9,129979283,133789360,479,370.093,0.304162,0.4106164776119399,0.4936364674822922
OV1369-R2,HGS,chr9,133791733,138243727,340,241.817,0.879273,0.9857274776119399,1.068747467482292
OV1369-R2,HGS,chr10,46938,41883552,2300,2288.47,0.181025,0.2874794776119399,0.3704994674822921
OV1369-R2,HGS,chr10,42034262,133778786,6693,6103.97,0.205063,0.31151747761193993,0.3945374674822921
OV1369-R2,HGS,chr11,86635,3825138,311,226.753,-0.236821,-0.13036652238806007,-0.047346532517707846
OV1369-R2,HGS,chr11,3825240,7706410,764,634.036,-0.634457,-0.5280025223880601,-0.4449825325177079
OV1369-R2,HGS,chr11,7728033,20408059,1160,1047.1,-0.363269,-0.2568145223880601,-0.17379453251770785
OV1369-R2,HGS,chr11,20452106,26996304,170,199.609,-0.744945,-0.63849052238806,-0.5554705325177078
OV1369-R2,HGS,chr11,26996304,50869436,1440,1351.45,-0.411557,-0.30510252238806007,-0.22208253251770785
OV1369-R2,HGS,chr11,51018296,60737065,862,796.976,-0.552667,-0.4462125223880601,-0.3631925325177079
OV1369-R2,HGS,chr11,60738860,62807676,477,319.202,-0.166311,-0.059856522388060066,0.02316346748229217
OV1369-R2,HGS,chr11,62824074,63598789,115,98.4273,-0.620258,-0.51380352238806,-0.43078353251770785
OV1369-R2,HGS,chr11,63628933,70435213,852,606.655,0.256122,0.36257647761193995,0.4455964674822922
OV1369-R2,HGS,chr11,70435422,96392495,1810,1712.97,0.602687,0.7091414776119399,0.7921614674822921
OV1369-R2,HGS,chr11,96392762,116877102,1236,1210.56,-0.433183,-0.32672852238806005,-0.24370853251770783
OV1369-R2,HGS,chr11,116893913,121190816,740,559.504,0.178381,0.28483547761193995,0.36785546748229214
OV1369-R2,HGS,chr11,121303358,134734746,949,834.034,-0.508237,-0.4017825223880601,-0.3187625325177079
OV1369-R2,HGS,chr12,15058,4746320,478,406.758,0.16745,0.2739044776119399,0.3569244674822921
OV1369-R2,HGS,chr12,4760898,5046784,47,40.1289,0.443254,0.5497084776119399,0.6327284674822922
OV1369-R2,HGS,chr12,5366733,8837598,664,499.276,1.17223,1.27868447761194,1.3617044674822922
OV1369-R2,HGS,chr12,8838270,21373451,1093,1022.6,0.767438,0.8738924776119399,0.9569124674822921
OV1369-R2,HGS,chr12,21378209,22459576,124,114.369,-1.45613,-1.34967552238806,-1.2666555325177078
OV1369-R2,HGS,chr12,22469659,23949642,56,64.6563,0.824107,0.93056147761194,1.0135814674822923
OV1369-R2,HGS,chr12,24212365,26956721,198,197.809,1.39052,1.4969744776119398,1.579994467482292
OV1369-R2,HGS,chr12,26957519,31086222,259,258.041,0.837487,0.9439414776119399,1.0269614674822922
OV1369-R2,HGS,chr12,31087895,31386327,60,48.2827,1.42488,1.5313344776119397,1.614354467482292
OV1369-R2,HGS,chr12,31387572,32869114,129,126.697,0.863268,0.96972247761194,1.0527424674822923
OV1369-R2,HGS,chr12,32877802,57435222,2995,2395.21,-0.442417,-0.33596252238806007,-0.2529425325177078
OV1369-R2,HGS,chr12,57449197,65966261,554,505.21,0.138528,0.24498247761193992,0.32800246748229217
OV1369-R2,HGS,chr12,66107159,100039812,1762,1830.49,0.230986,0.3374404776119399,0.42046046748229216
OV1369-R2,HGS,chr12,100047519,133227152,3169,2701.69,-0.337843,-0.23138852238806007,-0.14836853251770785
OV1369-R2,HGS,chr13,15914981,19705866,95,96.4914,0.119933,0.22638747761193992,0.30940746748229214
OV1369-R2,HGS,chr13,19709508,20568037,60,64.735,-0.585572,-0.47911752238806005,-0.39609753251770785
OV1369-R2,HGS,chr13,20574365,21701913,117,115.653,-1.20036,-1.0939055223880603,-1.010885532517708
OV1369-R2,HGS,chr13,22836968,45283621,1623,1599.58,-0.439097,-0.3326425223880601,-0.24962253251770786
OV1369-R2,HGS,chr13,45337324,46822004,173,155.734,0.949943,1.0563974776119398,1.1394174674822921
OV1369-R2,HGS,chr13,46834815,73062771,734,834.296,0.272865,0.37931947761193996,0.46233946748229215
OV1369-R2,HGS,chr13,73063791,98365475,605,717.322,-1.21359,-1.1071355223880601,-1.0241155325177078
OV1369-R2,HGS,chr13,98368093,114009485,889,829.142,-0.249573,-0.14311852238806005,-0.06009853251770783
OV1369-R2,HGS,chr13,114011147,114327328,39,33.0836,-1.33769,-1.2312355223880602,-1.148215532517708
OV1369-R2,HGS,chr14,15928893,19713948,71,65.6638,0.81631,0.9227644776119399,1.0057844674822922
OV1369-R2,HGS,chr14,19747404,26423019,1260,951.2,0.0748683,0.18132277761193993,0.26434276748229213
OV1369-R2,HGS,chr14,26431713,35761037,464,487.323,0.68295,0.7894044776119399,0.8724244674822921
OV1369-R2,HGS,chr14,35831392,51728832,699,726.378,-0.358698,-0.2522435223880601,-0.16922353251770786
OV1369-R2,HGS,chr14,51729644,66681205,1162,1116.74,0.25533,0.36178447761193994,0.4448044674822922
OV1369-R2,HGS,chr14,66769059,67169046,22,27.9846,-0.784372,-0.67791752238806,-0.5948975325177078
OV1369-R2,HGS,chr14,67179563,90316879,1610,1480.84,0.215166,0.3216204776119399,0.40464046748229215
OV1369-R2,HGS,chr14,90317994,92327281,220,203.077,-1.1536,-1.0471455223880601,-0.9641255325177078
OV1369-R2,HGS,chr14,92430320,105856241,1142,971.306,-0.260805,-0.15435052238806007,-0.07133053251770785
OV1369-R2,HGS,chr14,105864175,105914433,17,8.66094,1.31048,1.41693447761194,1.4999544674822922
OV1369-R2,HGS,chr14,105916778,106875054,116,89.2189,-0.544739,-0.43828452238806004,-0.35526453251770784
OV1369-R2,HGS,chr15,16888973,20916797,109,103.672,0.487273,0.5937274776119399,0.6767474674822922
OV1369-R2,HGS,chr15,20921783,22373629,75,64.1826,-0.367856,-0.2614015223880601,-0.17838153251770786
OV1369-R2,HGS,chr15,22428105,35410925,1348,1085,0.691735,0.7981894776119399,0.8812094674822921
OV1369-R2,HGS,chr15,35450621,59107505,2751,2398.23,-0.371482,-0.26502752238806004,-0.18200753251770782
OV1369-R2,HGS,chr15,59107521,60354243,89,80.4297,0.628694,0.7351484776119399,0.8181684674822921
OV1369-R2,HGS,chr15,60355791,69455527,1004,876.239,-0.311671,-0.20521652238806004,-0.12219653251770782
OV1369-R2,HGS,chr15,69785404,71660751,80,86.3694,0.297201,0.40365547761193993,0.4866754674822922
OV1369-R2,HGS,chr15,71728514,75933547,572,440.88,-1.39005,-1.2835955223880602,-1.2005755325177079
OV1369-R2,HGS,chr15,75943583,101976614,1863,1656.95,-0.334405,-0.22795052238806007,-0.14493053251770785
OV1369-R2,HGS,chr16,14031,7712520,739,526.84,0.501314,0.60776847761194,0.6907884674822922
OV1369-R2,HGS,chr16,7899327,29438236,2199,1783.19,-0.274656,-0.16820152238806008,-0.08518153251770785
OV1369-R2,HGS,chr16,29438678,38318804,708,513.072,0.227825,0.33427947761193993,0.4172994674822922
OV1369-R2,HGS,chr16,46473918,50328766,330,294.47,-0.257071,-0.15061652238806006,-0.06759653251770784
OV1369-R2,HGS,chr16,50339965,71285963,1754,1423.79,0.26278,0.36923447761193995,0.45225446748229214
OV1369-R2,HGS,chr16,71374697,79595604,604,531.255,-0.320363,-0.21390852238806007,-0.13088853251770785
OV1369-R2,HGS,chr16,79596029,90186174,629,518.342,0.362179,0.4686334776119399,0.5516534674822922
OV1369-R2,HGS,chr17,161404,5373503,832,627.245,-0.20661,-0.10015552238806007,-0.01713553251770783
OV1369-R2,HGS,chr17,5377058,7655932,455,305.734,0.333831,0.4402854776119399,0.5233054674822921
OV1369-R2,HGS,chr17,7669557,16949040,1104,873.772,-0.386764,-0.28030952238806006,-0.19728953251770784
OV1369-R2,HGS,chr17,16971952,21012945,561,418.009,-0.135274,-0.028819522388060084,0.05420046748229215
OV1369-R2,HGS,chr17,21015703,36157015,1329,1086.55,-0.354536,-0.24808152238806008,-0.16506153251770786
OV1369-R2,HGS,chr17,36165892,37987544,292,224.631,0.188872,0.2953264776119399,0.37834646748229217
OV1369-R2,HGS,chr17,38195848,69216027,4347,3444.91,0.262837,0.3692914776119399,0.4523114674822921
OV1369-R2,HGS,chr17,69216165,77429964,675,539.281,-0.303108,-0.19665352238806005,-0.11363353251770783
OV1369-R2,HGS,chr17,77430477,83240468,541,383.438,0.448364,0.5548184776119399,0.6378384674822921
OV1369-R2,HGS,chr18,47271,9956679,571,560.801,0.252902,0.35935647761193995,0.4423764674822922
OV1369-R2,HGS,chr18,10468408,13096365,253,225.06,0.937158,1.04361247761194,1.1266324674822923
OV1369-R2,HGS,chr18,13099465,23845186,410,424.216,0.54901199999999994,0.6554664776119399,0.7384864674822921
OV1369-R2,HGS,chr18,23857793,56616339,1427,1493.24,0.183347,0.2898014776119399,0.37282146748229217
OV1369-R2,HGS,chr18,56617942,79977711,878,920.297,0.647786,0.7542404776119399,0.8372604674822921
OV1369-R2,HGS,chr18,80036626,80246761,24,19.598,-1.38755,-1.2810955223880602,-1.198075532517708
OV1369-R2,HGS,chr19,60655,8065860,721,511.649,-0.186721,-0.08026652238806008,0.00275346748229216
OV1369-R2,HGS,chr19,8071970,8868618,94,63.1063,-0.556611,-0.45015652238806003,-0.36713653251770784
OV1369-R2,HGS,chr19,8871444,9036068,197,141.947,-1.26954,-1.16308552238806,-1.0800655325177078
OV1369-R2,HGS,chr19,9093233,9810700,141,125.273,-0.59915,-0.49269552238806,-0.40967553251770783
OV1369-R2,HGS,chr19,9820254,12465249,530,392.319,-0.087887,0.018567477611939914,0.10158746748229215
OV1369-R2,HGS,chr19,12465249,19680310,1026,672.517,0.330321,0.4367754776119399,0.5197954674822921
OV1369-R2,HGS,chr19,19711318,24922854,402,403.908,-0.155916,-0.04946152238806008,0.03355846748229216
OV1369-R2,HGS,chr19,27202451,36238506,629,504.079,0.244916,0.3513704776119399,0.43439046748229215
OV1369-R2,HGS,chr19,36315351,58599511,4124,3068.75,-0.49591,-0.3894555223880601,-0.30643553251770783
OV1369-R2,HGS,chr20,60132,11919190,880,775.193,0.716791,0.8232454776119399,0.9062654674822921
OV1369-R2,HGS,chr20,11919654,30557880,717,726.538,0.221491,0.32794547761193993,0.4109654674822921
OV1369-R2,HGS,chr20,30837587,34634725,496,377.869,0.188746,0.2952004776119399,0.37822046748229216
OV1369-R2,HGS,chr20,34637865,40687171,784,611.333,0.670995,0.7774494776119399,0.8604694674822921
OV1369-R2,HGS,chr20,40687868,53253653,1070,895.741,-0.390451,-0.28399652238806006,-0.20097653251770783
OV1369-R2,HGS,chr20,53253923,64303247,632,546.523,0.292808,0.39926247761193995,0.4822824674822922
OV1369-R2,HGS,chr21,4975349,29654896,542,634.903,-0.330257,-0.2238025223880601,-0.14078253251770786
OV1369-R2,HGS,chr21,29672951,31267030,92,92.4674,-0.826008,-0.71955352238806,-0.6365335325177078
OV1369-R2,HGS,chr21,31531704,43067828,1155,991.155,-0.268364,-0.16190952238806006,-0.07888953251770783
OV1369-R2,HGS,chr21,43068498,46532301,316,233.911,0.395044,0.5014984776119399,0.5845184674822922
OV1369-R2,HGS,chr21,46533463,46691303,32,23.4575,-0.312829,-0.2063745223880601,-0.12335453251770787
OV1369-R2,HGS,chr22,10367111,17689183,171,167.849,0.295664,0.4021184776119399,0.48513846748229217
OV1369-R2,HGS,chr22,17696113,35421634,1864,1435.42,-0.367731,-0.26127652238806004,-0.17825653251770782
OV1369-R2,HGS,chr22,35554541,50799199,1514,1174.57,-0.242293,-0.1358385223880601,-0.05281853251770785
OV1369-R2,HGS,chrX,150500,19084893,915,758.461,0.302335,0.40878947761193996,0.49180946748229215
OV1369-R2,HGS,chrX,19345715,20175345,116,91.4611,-0.520657,-0.4142025223880601,-0.3311825325177079
OV1369-R2,HGS,chrX,20176208,23395817,121,114.493,0.213534,0.31998847761193994,0.40300846748229213
OV1369-R2,HGS,chrX,23396199,45746291,932,839.48,-0.674151,-0.56769652238806,-0.4846765325177078
OV1369-R2,HGS,chrX,46450405,49348012,454,281.97,0.20517,0.3116244776119399,0.39464446748229215
OV1369-R2,HGS,chrX,49529817,156023232,5723,4616.72,0.339322,0.44577647761193995,0.5287964674822921
TOV1369,HGS,chr1,14425,6636301,416,306.697,0.346218,0.24369486666666673,0.24888252068965516
TOV1369,HGS,chr1,6637117,55078714,5602,4638.44,0.0833713,-0.019151833333333285,-0.013964179310344868
TOV1369,HGS,chr1,55079476,56495656,62,61.5094,0.406926,0.3044028666666667,0.30959052068965515
TOV1369,HGS,chr1,56495790,57291096,76,80.9173,-1.68443,-1.7869531333333333,-1.781765479310345
TOV1369,HGS,chr1,58056064,65265021,429,457.405,0.158556,0.05603286666666672,0.06122052068965514
TOV1369,HGS,chr1,65364475,65636461,40,36.1863,-0.698126,-0.8006491333333333,-0.7954614793103449
TOV1369,HGS,chr1,65636461,103618147,2087,2219.79,0.105572,0.003048866666666719,0.008236520689655136
TOV1369,HGS,chr1,103618887,103758683,46,36.2888,0.814091,0.7115678666666667,0.7167555206896552
TOV1369,HGS,chr1,105892033,125307700,1655,1496,0.124901,0.022377866666666718,0.027565520689655135
TOV1369,HGS,chr1,143401653,161592341,3282,2553.78,0.435427,0.3329038666666667,0.33809152068965515
TOV1369,HGS,chr1,161595509,171152284,715,681.962,0.996269,0.8937458666666667,0.8989335206896552
TOV1369,HGS,chr1,171154075,173984678,308,293.13,1.24686,1.144336866666667,1.1495245206896552
TOV1369,HGS,chr1,173992744,177959146,195,205.383,0.53218,0.4296568666666667,0.4348445206896551
TOV1369,HGS,chr1,177960270,183122276,557,520.208,0.0123285,-0.09019463333333327,-0.08500697931034487
TOV1369,HGS,chr1,183124571,194166663,576,581.936,1.04128,0.9387568666666667,0.9439445206896551
TOV1369,HGS,chr1,195777081,220604201,2309,2083.75,0.199892,0.0973688666666667,0.10255652068965512
