gene,panel_group,cohort,n_observations,n_patients,spearman,bootstrap_lo,bootstrap_hi,bootstrap_valid,interval_method,protein_isodoping,interpretation
VTCN1,Surface,selected_patient_representatives,27,27,0.7777777777777777,0.5365525452207601,0.9024846480083163,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
VTCN1,Surface,patient_means_of_matched_models,27,27,0.7857142857142856,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
VTCN1,Surface,HGS_selected_representatives,12,12,0.881118881118881,0.44285714285714284,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
VTCN1,Surface,CC_selected_representatives,6,6,0.7714285714285714,-0.09090909090909091,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
DPEP3,Surface,matched_models,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
DPEP3,Surface,selected_patient_representatives,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
DPEP3,Surface,patient_means_of_matched_models,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
DPEP3,Surface,HGS_selected_representatives,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
DPEP3,Surface,CC_selected_representatives,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
ESR1,Endocrine,matched_models,30,27,-0.18851548718344074,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
ESR1,Endocrine,selected_patient_representatives,27,27,-0.25656693852473145,-0.6027737884312937,0.1354464382061427,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
ESR1,Endocrine,patient_means_of_matched_models,27,27,-0.25351257020896095,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
ESR1,Endocrine,HGS_selected_representatives,12,12,-0.29370629370629375,-0.8085106382978723,0.3333333333333333,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
ESR1,Endocrine,CC_selected_representatives,6,6,0.08571428571428563,-0.92,1.0,1999,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
PGR,Endocrine,matched_models,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
PGR,Endocrine,selected_patient_representatives,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
PGR,Endocrine,patient_means_of_matched_models,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
PGR,Endocrine,HGS_selected_representatives,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
PGR,Endocrine,CC_selected_representatives,0,0,NA,NA,NA,0,not estimated,NA,unadjusted association; subtype/centre/plex/passage not controlled
MLH1,MMR,matched_models,30,27,0.5038932146829811,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
MLH1,MMR,selected_patient_representatives,27,27,0.554945054945055,0.15775661949620082,0.8289159049401569,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MLH1,MMR,patient_means_of_matched_models,27,27,0.5482295482295482,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
MLH1,MMR,HGS_selected_representatives,12,12,0.4265734265734265,-0.2714285714285714,0.8772714746327885,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MLH1,MMR,CC_selected_representatives,6,6,0.8285714285714286,0.0,1.0,1998,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
PMS2,MMR,matched_models,30,27,0.44738598442714134,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
PMS2,MMR,selected_patient_representatives,27,27,0.5457875457875457,0.1503025338534652,0.8344259772237611,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
PMS2,MMR,patient_means_of_matched_models,27,27,0.5305250305250304,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
PMS2,MMR,HGS_selected_representatives,12,12,0.5454545454545455,0.007116788321167893,0.9563792766373411,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
PMS2,MMR,CC_selected_representatives,6,6,0.028571428571428623,-1.0,1.0,1999,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH2,MMR,matched_models,30,27,0.4015572858731925,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH2,MMR,selected_patient_representatives,27,27,0.3821733821733823,-0.048242629369816964,0.7267433717005293,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH2,MMR,patient_means_of_matched_models,27,27,0.4200244200244201,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH2,MMR,HGS_selected_representatives,12,12,0.04895104895104892,-0.7634619815668202,0.720658635794743,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH2,MMR,CC_selected_representatives,6,6,0.6571428571428571,-0.4556818181818181,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH6,MMR,matched_models,30,27,0.21957730812013354,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH6,MMR,selected_patient_representatives,27,27,0.2735042735042735,-0.15272711544940495,0.6207241890768147,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH6,MMR,patient_means_of_matched_models,27,27,0.1556776556776557,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH6,MMR,HGS_selected_representatives,12,12,0.13986013986013993,-0.7164401569653368,0.7769984012789768,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MSH6,MMR,CC_selected_representatives,6,6,0.37142857142857144,-0.8064516129032258,1.0,1999,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA4,SWI/SNF,matched_models,30,27,0.09677419354838705,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA4,SWI/SNF,selected_patient_representatives,27,27,0.14102564102564114,-0.3503327505150502,0.5553630656988423,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA4,SWI/SNF,patient_means_of_matched_models,27,27,0.15750915750915753,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA4,SWI/SNF,HGS_selected_representatives,12,12,0.05594405594405596,-0.6705069124423962,0.7292743760558441,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA4,SWI/SNF,CC_selected_representatives,6,6,0.8285714285714286,0.0,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA2,SWI/SNF,matched_models,30,27,0.43314794215795355,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA2,SWI/SNF,selected_patient_representatives,27,27,0.4871794871794871,0.0989207740512473,0.7546028228694933,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA2,SWI/SNF,patient_means_of_matched_models,27,27,0.5134310134310135,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA2,SWI/SNF,HGS_selected_representatives,12,12,0.5174825174825175,-0.19283740632127727,0.9785714285714285,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
SMARCA2,SWI/SNF,CC_selected_representatives,6,6,0.6571428571428571,0.0,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
ARID1A,SWI/SNF,matched_models,30,27,0.1114571746384873,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
ARID1A,SWI/SNF,selected_patient_representatives,27,27,0.22649572649572636,-0.17409657702321524,0.5856689721905438,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
ARID1A,SWI/SNF,patient_means_of_matched_models,27,27,0.20329670329670332,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
ARID1A,SWI/SNF,HGS_selected_representatives,12,12,0.33566433566433557,-0.3098228728566807,0.8260951599671862,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
ARID1A,SWI/SNF,CC_selected_representatives,6,6,-0.42857142857142855,-1.0,0.8,1999,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
CCNE1,Cell cycle,matched_models,30,27,0.12302558398220252,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
CCNE1,Cell cycle,selected_patient_representatives,27,27,0.13247863247863245,-0.2580809612955612,0.4809901231877796,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
CCNE1,Cell cycle,patient_means_of_matched_models,27,27,0.09035409035409037,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
CCNE1,Cell cycle,HGS_selected_representatives,12,12,0.11888111888111885,-0.4664464574571336,0.721437969924812,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
CCNE1,Cell cycle,CC_selected_representatives,6,6,0.4857142857142857,-0.8,1.0,1999,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
