cell_line,sample_id,chromosome,antitarget_start,antitarget_end,antitarget_length,overlapping_target_bins,target_overlap_bp,depth,cnr_log2,cnr_weight,segment_start,segment_end,segment_log2,segment_probes,segment_recorded_weight,bin_weight_fraction_of_segment_recorded_weight,bin_is_contributor_to_segment,cnr_source,cns_source
OV2295-R2,OV2295_R2_P70,chr9,67727116,67844434,117318,1,88,0.0631958,14.2771,0.820677,60383628,138243727,-0.38567,5844,5180.47,0.00015841747949510372,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cns
OV2295-R2,OV2295_R2_P70,chrX,135764982,135776495,11513,44,11513,0.208026,17.7668,0.797647,49529817,156023232,-0.34383,5723,4626.47,0.0001724094179795827,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cns
OV2295-R2,OV2295_R2_P70,chrX,135782267,135793757,11490,44,11490,0.169191,17.555,0.977777,49529817,156023232,-0.34383,5723,4626.47,0.0002113440701009625,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cns
OV3133-R,OV3133_R_P71,chr1,145242279,145290970,48691,2,265,1.05063,18.1168,0.924904,143401653,156347042,1.00939,2300,1783.31,0.0005186445430127123,True,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cnr,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cns
OV3133-R,OV3133_R_P71,chr9,67727116,67844434,117318,1,88,0.0607665,14.2976,0.818728,60383628,98771090,0.116757,2319,2183.12,0.0003750265674814028,True,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cnr,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cns
OV3133-R,OV3133_R_P71,chrX,135764982,135776495,11513,44,11513,0.335707,18.5342,0.791426,118444304,141590718,1.3913,1389,1134.94,0.0006973284931362009,True,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cnr,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cns
OV3133-R,OV3133_R_P71,chrX,135782267,135793757,11490,44,11490,0.220714,18.0155,0.971549,118444304,141590718,1.3913,1389,1134.94,0.0008560355613512608,True,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cnr,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cns
OV3133-R2,OV3133_R2_P58,chr1,145242279,145290970,48691,2,265,1.07424,18.1418,0.925692,143875996,156347042,1.14734,2268,1742.76,0.0005311643599807202,True,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cnr,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cns
OV3133-R2,OV3133_R2_P58,chr9,67727116,67844434,117318,1,88,0.0704495,14.5039,0.819235,60383628,98771090,0.0699783,2319,2167.41,0.00037797878573966165,True,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cnr,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cns
OV3133-R2,OV3133_R2_P58,chrX,135764982,135776495,11513,44,11513,0.264223,18.1817,0.793046,118444304,135883135,0.977865,1082,876.202,0.0009050949438599775,True,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cnr,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cns
OV3133-R2,OV3133_R2_P58,chrX,135782267,135793757,11490,44,11490,0.342124,18.6408,0.973172,118444304,135883135,0.977865,1082,876.202,0.0011106708270467312,True,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cnr,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cns
OV3291,OV3291_P46,chr1,145242279,145290970,48691,2,265,0.802345,17.7619,0.92694,143401653,180884786,0.569315,4844,4151.22,0.00022329339326752134,True,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cnr,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cns
OV3291,OV3291_P46,chr9,67727116,67844434,117318,1,88,0.0319303,13.4033,0.82004,60383628,89112650,0.33003,1494,1475.18,0.0005558914844290188,True,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cnr,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cns
OV3291,OV3291_P46,chrX,135764982,135776495,11513,44,11513,0.760966,19.7489,0.795614,67717427,155774631,1.08136,4777,3971.63,0.00020032430009844825,True,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cnr,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cns
OV3291,OV3291_P46,chrX,135782267,135793757,11490,44,11490,0.564665,19.4048,0.975742,67717427,155774631,1.08136,4777,3971.63,0.00024567797100938404,True,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cnr,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cns
OV3331,OV3331_P54,chr1,145242279,145290970,48691,2,265,0.718819,17.6277,0.926213,143401653,173186457,0.400643,4184,3428.96,0.00027011484531753066,True,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cnr,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cns
OV3331,OV3331_P54,chr9,67727116,67844434,117318,1,88,0.115242,15.2794,0.819571,60383628,138243727,0.533395,5844,5181.57,0.0001581704000910921,True,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cnr,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cns
OV3331,OV3331_P54,chrX,135764982,135776495,11513,44,11513,0.142969,17.3612,0.794118,54749878,155774631,0.586593,5132,4212.31,0.00018852316187555044,True,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cnr,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cns
OV3331,OV3331_P54,chrX,135782267,135793757,11490,44,11490,0.179547,17.7762,0.974244,54749878,155774631,0.586593,5132,4212.31,0.00023128497190377724,True,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cnr,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cns
OV90,OV90_P63,chr1,145242279,145290970,48691,2,265,0.59664,17.2285,0.928167,143401653,248937126,-0.0687148,10133,9258.98,0.00010024505939099123,True,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cnr,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cns
OV90,OV90_P63,chr9,67727116,67844434,117318,1,88,0.025921,12.9965,0.82083,60383628,138243727,-0.135912,5844,5294.56,0.0001550327128222175,True,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cnr,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cns
OV90,OV90_P63,chrX,135764982,135776495,11513,44,11513,0.384782,18.6591,0.798138,49529817,156023232,0.605447,5723,4737.07,0.0001684876938698394,True,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cnr,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cns
OV90,OV90_P63,chrX,135782267,135793757,11490,44,11490,0.406701,18.8253,0.978268,49529817,156023232,0.605447,5723,4737.07,0.000206513308859696,True,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cnr,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cns
TOV112D,TOV112D_P83,chr1,145242279,145290970,48691,2,265,1.00435,18.086,0.899184,143401653,157689977,0.822479,2536,1987.65,0.0004523854803411063,True,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cns
TOV112D,TOV112D_P83,chr9,67727116,67844434,117318,1,88,0.0668354,14.4691,0.802158,60383628,138243727,0.00354332,5844,5245.11,0.00015293444751397016,True,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cns
TOV112D,TOV112D_P83,chrX,135764982,135776495,11513,44,11513,0.168331,17.5725,0.738533,49529817,156023232,0.265694,5723,4690.85,0.00015744118869714442,True,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cns
TOV112D,TOV112D_P83,chrX,135782267,135793757,11490,44,11490,0.0570931,16.0989,0.918604,49529817,156023232,0.265694,5723,4690.85,0.00019582890094545764,True,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cns
TOV1369,TOV1369_P65,chr1,145242279,145290970,48691,2,265,0.969748,18.0316,0.926265,143401653,161592341,0.435427,3282,2553.78,0.0003627035218382163,True,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cns
TOV1369,TOV1369_P65,chr9,67727116,67844434,117318,1,88,0.0546293,14.1743,0.819605,60383628,87010210,-0.213716,1343,1318.62,0.0006215626943319531,True,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cns
TOV1369,TOV1369_P65,chrX,135764982,135776495,11513,44,11513,0.197863,17.8018,0.794226,49529817,156023232,0.265499,5723,4608.27,0.0001723479744025415,True,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cns
TOV1369,TOV1369_P65,chrX,135782267,135793757,11490,44,11490,0.247346,18.2102,0.974353,49529817,156023232,0.265499,5723,4608.27,0.00021143574486737971,True,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cns
TOV21G,TOV21G_P59,chr1,145242279,145290970,48691,2,265,0.530344,17.1343,0.924252,143401653,248937126,-0.0360204,10133,9284.22,9.955085079845157e-05,True,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cns
TOV21G,TOV21G_P59,chr9,67727116,67844434,117318,1,88,0.0679094,14.4617,0.818308,60383628,138243727,0.032055,5844,5310.98,0.0001540785316457603,True,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cns
TOV21G,TOV21G_P59,chrX,135764982,135776495,11513,44,11513,0.168592,17.5443,0.790086,49529817,156023232,0.653933,5723,4753.21,0.0001662215639536229,True,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cns
TOV21G,TOV21G_P59,chrX,135782267,135793757,11490,44,11490,0.234639,18.1076,0.970208,49529817,156023232,0.653933,5723,4753.21,0.00020411637609110475,True,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cns
TOV2295-R,TOV2295_R_P57,chr1,145242279,145290970,48691,2,265,0.805015,17.7345,0.928538,143401653,248937126,0.147682,10133,9128.41,0.00010171957657467182,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cns
TOV2295-R,TOV2295_R_P57,chr9,67727116,67844434,117318,1,88,0.0655995,14.4099,0.821069,60383628,138243727,-0.0724058,5844,5209.54,0.0001576087332086902,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cns
TOV2295-R,TOV2295_R_P57,chrX,135764982,135776495,11513,44,11513,0.138973,17.2637,0.798899,49529817,156023232,-0.0755548,5723,4654.62,0.0001716357081781112,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cns
TOV2295-R,TOV2295_R_P57,chrX,135782267,135793757,11490,44,11490,0.129504,17.2482,0.979031,49529817,156023232,-0.0755548,5723,4654.62,0.0002103353227545965,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cns
TOV2414,TOV2414_P65,chr1,145242279,145290970,48691,2,265,0.53934,17.0455,0.928333,143401653,248937126,-0.440709,10128,9403.49,9.872217655359872e-05,True,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cns
TOV2414,TOV2414_P65,chr9,67727116,67844434,117318,1,88,0.0236963,12.8297,0.820937,60383628,138243727,0.100952,5844,5388.67,0.00015234501277680763,True,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cns
TOV2414,TOV2414_P65,chrX,135764982,135776495,11513,44,11513,0.165639,17.4058,0.798479,49529817,156023232,-0.298165,5722,4828.29,0.0001653751120997289,True,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cns
TOV2414,TOV2414_P65,chrX,135782267,135793757,11490,44,11490,0.143168,17.2818,0.978609,49529817,156023232,-0.298165,5722,4828.29,0.00020268231609948863,True,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cns
TOV2835EP,TOV2835EP_P64,chr1,145242279,145290970,48691,2,265,0.624695,17.3558,0.925937,143401653,145290970,0.569084,74,67.433,0.013731214687170968,True,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cnr,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cns
TOV2835EP,TOV2835EP_P64,chr1,145242279,145290970,48691,2,265,0.624695,17.3558,0.925937,145242301,205021997,0.059596,6651,5765.02,0.00016061297272169047,False,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cnr,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cns
TOV2835EP,TOV2835EP_P64,chr9,67727116,67844434,117318,1,88,0.0564023,14.1791,0.819394,60383628,138243727,0.176821,5844,5217.66,0.00015704242898157412,True,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cnr,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cns
TOV2835EP,TOV2835EP_P64,chrX,135764982,135776495,11513,44,11513,0.315556,18.434,0.793551,129446639,155774631,0.30887,1615,1282.51,0.0006187483918254049,True,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cnr,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cns
TOV2835EP,TOV2835EP_P64,chrX,135782267,135793757,11490,44,11490,0.219582,17.9972,0.973677,129446639,155774631,0.30887,1615,1282.51,0.0007591964195210953,True,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cnr,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cns
TOV2881EP,TOV2881EP_P64,chr1,145242279,145290970,48691,2,265,0.592553,17.1791,0.875685,143401653,194161288,0.0881125,5632,4824.03,0.00018152561240290796,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cns
TOV2881EP,TOV2881EP_P64,chr9,67727116,67844434,117318,1,88,0.051322,13.9424,0.78702,60383628,127212732,-0.544007,4525,4198.49,0.00018745310814126032,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cns
TOV2881EP,TOV2881EP_P64,chrX,135764982,135776495,11513,44,11513,0.272561,18.1221,0.690208,49529817,156023232,0.0496811,5723,4587.66,0.00015044881268446225,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cns
TOV2881EP,TOV2881EP_P64,chrX,135782267,135793757,11490,44,11490,0.0656223,16.1541,0.870231,49529817,156023232,0.0496811,5723,4587.66,0.00018968951491610102,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cns
TOV2929D,TOV2929D_P57,chr1,145242279,145290970,48691,2,265,0.963546,18.041,0.927117,143401653,186352162,0.481673,5483,4673.84,0.00019836301627783578,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cns
TOV2929D,TOV2929D_P57,chr9,67727116,67844434,117318,1,88,0.0817351,14.7744,0.820154,60383628,68297931,0.204338,310,282.577,0.0029024089009367362,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cns
TOV2929D,TOV2929D_P57,chrX,135764982,135776495,11513,44,11513,0.161991,17.532,0.795978,119787266,155524663,0.170951,1998,1614.74,0.0004929449942405588,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cns
TOV2929D,TOV2929D_P57,chrX,135782267,135793757,11490,44,11490,0.121845,17.2075,0.976106,119787266,155524663,0.170951,1998,1614.74,0.0006044973184537449,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cns
TOV3121D,TOV3121D_P68,chr1,145242279,145290970,48691,2,265,0.523218,17.1686,0.927114,143401653,248937126,-0.198227,10133,9209.38,0.00010067062060638177,True,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cnr,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cns
TOV3121D,TOV3121D_P68,chr9,67727116,67844434,117318,1,88,0.0495747,14.0615,0.820151,60383628,138243727,-0.166337,5844,5262.26,0.00015585527891058212,True,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cnr,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cns
TOV3121D,TOV3121D_P68,chrX,135764982,135776495,11513,44,11513,0.190046,17.771,0.79597,49529817,156023232,0.0880819,5718,4705.81,0.00016914622562321893,True,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cnr,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cns
TOV3121D,TOV3121D_P68,chrX,135782267,135793757,11490,44,11490,0.142907,17.446,0.976099,49529817,156023232,0.0880819,5718,4705.81,0.0002074242266474847,True,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cnr,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cns
TOV3121EP,TOV3121EP_P68,chr1,145242279,145290970,48691,2,265,0.612146,17.2553,0.926756,143401653,248937126,-0.0529996,10133,9184.58,0.00010090347081739177,True,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cnr,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cns
TOV3121EP,TOV3121EP_P68,chr9,67727116,67844434,117318,1,88,0.0482876,13.8838,0.819921,60383628,138243727,-0.439689,5844,5246.1,0.00015629153085148966,True,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cnr,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cns
TOV3121EP,TOV3121EP_P68,chrX,135764982,135776495,11513,44,11513,0.246938,18.009,0.795236,54292840,155774631,0.187307,5163,4292.3,0.00018527036786804277,True,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cnr,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cns
