cell_line,sample_id,chromosome,segment_start,segment_end,segment_log2,segment_probes,segment_recorded_weight,contributing_target_bins,contributing_antitarget_bins,contributing_target_weight,contributing_antitarget_weight,antitarget_fraction_contributing_weight,target_only_raw_weighted_mean,all_bins_raw_weighted_mean,raw_weighted_mean_change_removing_antitargets,archived_segment_minus_target_only_raw_mean,archived_autosome_centered_log2,target_only_log2_at_unchanged_autosome_center,autosomal_gain_loss_label_changes_at_fixed_center
OV3291,OV3291_P46,chr1,143401653,180884786,0.569315,4844,4151.22,4843,1,3575.8301551,0.92694,0.00025915654190491913,0.5648583532712383,0.5693150791153995,-0.004456725844161125,0.004456646728761671,0.518392690821614,0.5139360440928523,False
OV3291,OV3291_P46,chr9,60383628,89112650,0.33003,1494,1475.18,1493,1,1145.2303907,0.82004,0.0007155357024726433,0.3206693831797792,0.33003047246837575,-0.009361089288596525,0.009360616820220768,0.27910769082161396,0.2697470740013932,False
OV3291,OV3291_P46,chrX,67717427,155774631,1.08136,4777,3971.63,4775,2,3183.7593884,1.771356,0.0005560630683329467,1.0710753305361544,1.081355979696604,-0.010280649160449462,0.010284669463845653,1.0304376908216142,1.0201530213577685,False
OV3331,OV3331_P54,chr1,143401653,173186457,0.400643,4184,3428.96,4183,1,2988.9537504,0.926213,0.0003097826706550248,0.3953050594638767,0.4006433567903381,-0.005338297326461405,0.005337940536123353,0.4602538794143745,0.45491593887825116,False
OV3331,OV3331_P54,chr9,60383628,138243727,0.533395,5844,5181.57,5843,1,4161.9326222,0.819571,0.00019688200545273814,0.5304911524091893,0.5333949471613426,-0.002903794752153299,0.0029038475908106376,0.5930058794143744,0.5901020318235638,False
OV3331,OV3331_P54,chrX,54749878,155774631,0.586593,5132,4212.31,5130,2,3328.97218252,1.768362,0.0005309215702524324,0.5775610991189486,0.5865932828366316,-0.009032183717682996,0.009031900881051436,0.6462038794143745,0.6371719785333231,False
OV90,OV90_P63,chr1,143401653,248937126,-0.0687148,10133,9258.98,10132,1,7734.2635247,0.928167,0.00011999275997205602,-0.07079062884976296,-0.06871483922164856,-0.0020757896281144023,0.0020758288497629562,-0.039887126318981156,-0.04196295516874411,False
OV90,OV90_P63,chr9,60383628,138243727,-0.135912,5844,5294.56,5843,1,4271.9934311,0.82083,0.00019210523786931106,-0.13843548453757068,-0.13591219463191553,-0.002523289905655146,0.002523484537570675,-0.10708432631898115,-0.10960781085655183,False
OV90,OV90_P63,chrX,49529817,156023232,0.605447,5723,4737.07,5721,2,3800.1702256,1.7764060000000002,0.0004672359115289377,0.5969644999598595,0.6054465427504266,-0.00848204279056719,0.008482500040140506,0.6342746736810188,0.6257921736408782,False
TOV112D,TOV112D_P83,chr1,143401653,157689977,0.822479,2536,1987.65,2535,1,1788.8307484,0.899184,0.0005024132321429123,0.8138015047835144,0.8224792858557101,-0.008677781072195634,0.008677495216485531,0.8547888482601315,0.8461113530436459,False
TOV112D,TOV112D_P83,chr9,60383628,138243727,0.00354332,5844,5245.11,5843,1,4266.0275093,0.802158,0.00018799859908811317,0.0008233062440864386,0.003543321993731748,-0.0027200157496453095,0.002720013755913561,0.035853168260131546,0.033133154504217985,False
TOV112D,TOV112D_P83,chrX,49529817,156023232,0.265694,5723,4690.85,5721,2,3794.3864245,1.657137,0.00043654319903146347,0.25849216619380594,0.2656938823233457,-0.007201716129539737,0.007201833806194047,0.29800384826013154,0.2908020144539375,False
TOV1369,TOV1369_P65,chr1,143401653,161592341,0.435427,3282,2553.78,3281,1,2270.8480528,0.926265,0.00040772756023450455,0.428250029003544,0.4354273999391725,-0.007177370935628535,0.0071769709964560335,0.33809152068965515,0.3309145496931991,False
TOV1369,TOV1369_P65,chr9,60383628,87010210,-0.213716,1343,1318.62,1342,1,1016.5230534,0.819605,0.0008056331789812226,-0.22531713613796434,-0.21371632680846503,-0.011600809329499306,0.011601136137964346,-0.3110514793103448,-0.3226526154483092,False
TOV1369,TOV1369_P65,chrX,49529817,156023232,0.265499,5723,4608.27,5721,2,3674.0232178,1.768579,0.0004811423219181389,0.2569496684119803,0.2654994942337663,-0.008549825821785983,0.008549331588019682,0.16816352068965512,0.15961418910163544,False
TOV21G,TOV21G_P59,chr1,143401653,248937126,-0.0360204,10133,9284.22,10132,1,7768.4890317,0.924252,0.0001189603341012961,-0.03806322309643108,-0.036020393030102724,-0.002042830066328355,0.0020428230964310776,-0.04719451845034719,-0.049237341546778265,False
TOV21G,TOV21G_P59,chr9,60383628,138243727,0.032055,5844,5310.98,5843,1,4294.2810885,0.818308,0.0001905213184744513,0.029305361036022954,0.032055039891381976,-0.0027496788553590217,0.002749638963977046,0.020880881549652813,0.018131242585675767,False
TOV21G,TOV21G_P59,chrX,49529817,156023232,0.653933,5723,4753.21,5721,2,3821.7773894,1.760294,0.00046038358864419396,0.6460103688335797,0.6539329992671491,-0.007922630433569444,0.007922631166420335,0.6427588815496528,0.6348362503832324,False
TOV2295-R,TOV2295_R_P57,chr1,143401653,248937126,0.147682,10133,9128.41,10132,1,7602.8508394,0.928538,0.00012211532632835275,0.14553439368131732,0.1476822759561111,-0.0021478822747937887,0.0021476063186826877,0.002192411164787994,4.480484610530633e-05,False
TOV2295-R,TOV2295_R_P57,chr9,60383628,138243727,-0.0724058,5844,5209.54,5843,1,4186.4175493,0.821069,0.00019608841884758658,-0.07524614838233505,-0.07240577897732256,-0.002840369405012491,0.002840348382335045,-0.21789538883521203,-0.22073573721754708,False
TOV2295-R,TOV2295_R_P57,chrX,49529817,156023232,-0.0755548,5723,4654.62,5721,2,3717.20707758,1.77793,0.0004780686118325941,-0.08384406894155252,-0.07555483303897134,-0.008289235902581182,0.008289268941552519,-0.22104438883521202,-0.22933365777676454,False
TOV2414,TOV2414_P65,chr1,143401653,248937126,-0.440709,10128,9403.49,10127,1,7874.9699499,0.928333,0.0001178701103867198,-0.4427704756672622,-0.44070913129582245,-0.002061344371439733,0.0020614756672621692,-0.44115531856846724,-0.4432167942357294,False
TOV2414,TOV2414_P65,chr9,60383628,138243727,0.100952,5844,5388.67,5843,1,4365.8518323,0.820937,0.0001880005769545219,0.098558051172402,0.1009515132040715,-0.0023934620316694993,0.002393948827597997,0.1005056814315328,0.0981117326039348,False
TOV2414,TOV2414_P65,chrX,49529817,156023232,-0.298165,5722,4828.29,5720,2,3890.3571834,1.777088,0.00045658445369120885,-0.3062211294420788,-0.29816527357932626,-0.008055855862752537,0.008056129442078785,-0.29861131856846723,-0.306667448010546,False
TOV2835EP,TOV2835EP_P64,chr1,143401653,145290970,0.569084,74,67.433,73,1,50.8924317,0.925937,0.017868895205108995,0.2636669498817267,0.5690844841860702,-0.3054175343043435,0.30541705011827336,0.4197636848800237,0.11434663476175033,True
TOV2835EP,TOV2835EP_P64,chr1,145242301,205021997,0.059596,6651,5765.02,6651,0,4913.0639679,0,0.0,0.05959599152472998,0.05959599152472998,0.0,8.475270020513737e-09,-0.08972431511997633,-0.08972432359524636,False
TOV2835EP,TOV2835EP_P64,chr9,60383628,138243727,0.176821,5844,5217.66,5843,1,4198.436693,0.819394,0.00019512837107902727,0.17408831013777246,0.17682108525575801,-0.0027327751179855586,0.0027326898622275497,0.027500684880023663,0.024767995017796113,False
TOV2835EP,TOV2835EP_P64,chrX,129446639,155774631,0.30887,1615,1282.51,1613,2,1040.426992,1.767228,0.0016956801007781451,0.2784925007060413,0.3088703501373712,-0.030377849431329873,0.030377499293958665,0.15954968488002363,0.12917218558606497,False
TOV2881EP,TOV2881EP_P64,chr1,143401653,194161288,0.0881125,5632,4824.03,5631,1,4162.5968456,0.875685,0.00021032563408645923,0.08451709870744306,0.08811252769560096,-0.0035954289881579005,0.003595401292556935,0.12723664458109166,0.12364124328853472,False
TOV2881EP,TOV2881EP_P64,chr9,60383628,127212732,-0.544007,4525,4198.49,4524,1,3383.395835,0.78702,0.00023255835565658288,-0.547376316553867,-0.5440065979998574,-0.003369718554009582,0.0033693165538669634,-0.5048828554189083,-0.5082521719727753,False
TOV2881EP,TOV2881EP_P64,chrX,49529817,156023232,0.0496811,5723,4587.66,5721,2,3723.9828832,1.5604390000000001,0.0004188487060938358,0.04256817127973376,0.0496810645324763,-0.007112893252742544,0.00711292872026624,0.08880524458109165,0.08169231586082543,False
TOV2929D,TOV2929D_P57,chr1,143401653,186352162,0.481673,5483,4673.84,5482,1,4021.7053286,0.927117,0.0002304751956679738,0.47762536118633964,0.48167328339281007,-0.0040479222064704334,0.004047638813660381,0.36759362972453513,0.3635459909108748,False
TOV2929D,TOV2929D_P57,chr9,60383628,68297931,0.204338,310,282.577,309,1,215.8521927,0.820154,0.0037852269220841925,0.1489773710288845,0.20433791451092534,-0.055360543482040836,0.05536062897111549,0.09025862972453513,0.034898000753419645,False
TOV2929D,TOV2929D_P57,chrX,119787266,155524663,0.170951,1998,1614.74,1996,2,1301.0472514,1.772084,0.0013601916642232848,0.14754802067242465,0.17095108353453167,-0.023403062862107027,0.023402979327575346,0.05687162972453513,0.03346865039695979,False
TOV3121D,TOV3121D_P68,chr1,143401653,248937126,-0.198227,10133,9209.38,10132,1,7687.0862857,0.927114,0.00012059214153245072,-0.20032171004730123,-0.19822715458217716,-0.002094555465124076,0.002094710047301246,-0.33977302904564316,-0.34186773909294443,False
TOV3121D,TOV3121D_P68,chr9,60383628,138243727,-0.166337,5844,5262.26,5843,1,4241.2716818,0.820151,0.00019333645576895915,-0.16908790382031524,-0.166336612391482,-0.0027512914288332357,0.0027509038203152314,-0.3078830290456432,-0.3106339328659584,False
TOV3121D,TOV3121D_P68,chrX,49529817,156023232,0.0880819,5718,4705.81,5716,2,3767.132128,1.7720690000000001,0.00047018149238458874,0.07984805311704585,0.08808193441046333,-0.008233881293417483,0.008233846882954157,-0.05346412904564317,-0.061697975928597326,False
TOV3121EP,TOV3121EP_P68,chr1,143401653,248937126,-0.0529996,10133,9184.58,10132,1,7663.1011201,0.926756,0.00012092283783179546,-0.05509278735620016,-0.05299956553637,-0.0020932218198301544,0.002093187356200156,-0.024793501405462708,-0.026886688761662864,False
TOV3121EP,TOV3121EP_P68,chr9,60383628,138243727,-0.439689,5844,5246.1,5843,1,4225.6525332,0.819921,0.00019399653230561445,-0.44246837634677066,-0.4396891299608798,-0.002779246385890888,0.002779376346770668,-0.41148290140546273,-0.41426227775223334,False
TOV3121EP,TOV3121EP_P68,chrX,54292840,155774631,0.187307,5163,4292.3,5161,2,3403.0808402,1.7706,0.0005200226885364478,0.1781386062488127,0.18730744505816235,-0.009168838809349655,0.009168393751187304,0.2155130985945373,0.20634470484335,False
TOV3133D,TOV3133D_P66,chr1,143401653,155034166,0.830908,1865,1482.53,1864,1,1310.284081,0.928449,0.0007080842950761003,0.8188327284786857,0.8309080208302442,-0.012075292351558464,0.012075271521314268,0.8279508294470945,0.8158755579257804,False
TOV3133D,TOV3133D_P66,chr9,66924202,110546322,0.288495,2876,2741.12,2875,1,2183.1661338,0.821012,0.0003759234579648871,0.2832215897589737,0.2884946223954046,-0.005273032636430863,0.005273410241026288,0.2855378294470946,0.2802644192060683,False
TOV3133D,TOV3133D_P66,chrX,118444304,135868097,1.0791,1081,889.248,1079,2,733.2969314,1.777565,0.0024182106830063603,1.0370091461308262,1.0791002335571835,-0.042091087426357365,0.04209085386917377,1.0761428294470945,1.0340519755779207,False
TOV3133G,TOV3133G_P65,chr1,143401653,156537370,0.794171,2332,1802.29,2331,1,1612.6373697,0.916411,0.0005679457424731378,0.7844817291513108,0.794171064278476,-0.009689335127165188,0.009689270848689202,0.8339551869629085,0.8242659161142193,False
TOV3133G,TOV3133G_P65,chr9,60383628,103005799,0.0666919,2589,2436.39,2588,1,1920.4764565,0.813257,0.0004232870213615496,0.06064170007981803,0.0666918508111425,-0.00605015073132447,0.0060501999201819714,0.10647608696290856,0.10042588704272659,False
TOV3133G,TOV3133G_P65,chrX,124963522,156023232,0.273444,1689,1345.82,1687,2,1079.4333355,1.728029,0.0015983081311818368,0.24468577489425125,0.27344405700995966,-0.02875828211570841,0.02875822510574877,0.31322818696290855,0.2844699618571598,False
TOV3392D,TOV3392D_P69,chr1,143401653,148082455,0.0176302,463,393.645,462,1,345.6717929,0.927975,0.0026773676324784402,-0.03017918921660058,0.017630241141685807,-0.04780943035828639,0.04780938921660058,-0.012727019787985905,-0.06053640900458648,False
TOV3392D,TOV3392D_P69,chr9,60383628,138243727,-0.150661,5844,5327.4,5843,1,4305.1229567,0.820706,0.00019059840636312093,-0.1532743752733298,-0.15066093292899202,-0.002613442344337774,0.0026133752733298043,-0.18101821978798588,-0.1836315950613157,False
TOV3392D,TOV3392D_P69,chrX,49529817,156023232,0.8465,5723,4768.92,5721,2,3832.2882711,1.775614,0.0004631153922344433,0.8379319899174206,0.8465004536610021,-0.008568463743581556,0.008568010082579458,0.8161427802120141,0.8075747701294347,False
TOV81D,TOV81D_P23,chr1,143401653,248937126,-0.0546049,10133,9239.47,10132,1,7758.9246909,0.908917,0.00011713099093705633,-0.05665862395234906,-0.05460485400367617,-0.002053769948672887,0.002053723952349061,-0.05606674260130718,-0.05812046655365624,False
TOV81D,TOV81D_P23,chr9,60383628,138243727,0.0257323,5844,5281.74,5843,1,4288.0528008,0.808429,0.00018849502389651785,0.02301510983122811,0.025732281602070806,-0.002717171770842696,0.00271719016877189,0.024270457398692814,0.021553267229920924,False
TOV81D,TOV81D_P23,chrX,49529817,156023232,0.677886,5723,4725.78,5721,2,3815.73927,1.6971880000000001,0.00044458840865400467,0.6701708734111111,0.6778855973166733,-0.00771472390556216,0.007715126588888843,0.6764241573986928,0.6687090308098039,False
