cell_line,subtype,subtype_status,source_site,rna_seq,rna_sample_id,rna_passage,rna_pseudoalign_pct,rna_status,proteomics,tmt_plex,tmt_channel,wes_cnv,wes_mut,wes_passage,wes_mut_note,n_omics,all_three,analysis_include,exclusion_reason,provenance,notes
LGSOC_P11,LGS,consensus,Carey,Y,LGSOC_P11,,19.8,CORRUPTED_reprocess,-,,,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS cohort; cross-assay identity to proteomics VOA-Carey LGS UNCONFIRMED
LGSOC_P2,LGS,consensus,Carey,Y,LGSOC_P2,,20.3,CORRUPTED_reprocess,-,,,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS cohort; cross-assay identity to proteomics VOA-Carey LGS UNCONFIRMED
LGSOC_P3,LGS,consensus,Carey,Y,LGSOC_P3,,20.1,CORRUPTED_reprocess,-,,,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS cohort; cross-assay identity to proteomics VOA-Carey LGS UNCONFIRMED
LGSOC_P4,LGS,consensus,Carey,Y,LGSOC_P4,,21.6,CORRUPTED_reprocess,-,,,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS cohort; cross-assay identity to proteomics VOA-Carey LGS UNCONFIRMED
LGSOC_P5,LGS,consensus,Carey,Y,LGSOC_P5,,20.1,CORRUPTED_reprocess,-,,,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS cohort; cross-assay identity to proteomics VOA-Carey LGS UNCONFIRMED
LGSOC_P7,LGS,consensus,Carey,Y,LGSOC_P7,,31.1,CORRUPTED_reprocess,-,,,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS cohort; cross-assay identity to proteomics VOA-Carey LGS UNCONFIRMED
VOA10841,LGS,CONFLICT: LGS (TMT layout/Carey) vs Clear cell (Multiomic summary),Carey,-,,,,,Y,1,ch5,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS; proteomics-only; may match an RNA LGSOC_P# sample UNCONFIRMED; subtype conflict (see subtype_status)
VOA14202,LGS,consensus,Carey,-,,,,,Y,2,ch5,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS; proteomics-only; may match an RNA LGSOC_P# sample UNCONFIRMED
VOA3993,LGS,consensus,Carey,-,,,,,Y,3,ch5,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS; proteomics-only; may match an RNA LGSOC_P# sample UNCONFIRMED; also inter-plex TMT bridge (plex4 ch10)
VOA7608,LGS,consensus,Carey,-,,,,,Y,4,ch5,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS; proteomics-only; may match an RNA LGSOC_P# sample UNCONFIRMED
VOA7681,LGS,consensus,Carey,-,,,,,Y,3,ch8,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS; proteomics-only; may match an RNA LGSOC_P# sample UNCONFIRMED
TOV81D,LGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P23,,1,-,Y,,generated,Sole LGSC in the collection (CHUM/Mes-Masson; Provencher 2000); WES-only; LGS represented by this line alone
TOV21G,CC,consensus,Mes-Masson,Y,TOV21Gp63,p63,91.9,OK,Y,5,ch5,Y,Y,P59,,3,Y,Y,,generated,
TOV3392D,CC,consensus,Mes-Masson,Y,TOV3392Dp69,p69,92.3,OK,Y,1,ch7,Y,Y,P69,,3,Y,Y,,generated,
VOA10816,CC,consensus,Huntsman,Y,VOA10816p20,p20,86.6,OK,Y,1,ch6,-,-,,,2,-,Y,,generated,also inter-plex TMT bridge (plex2 ch10)
VOA12539,CC,consensus,Huntsman,Y,VOA12539p41,p41,89.3,OK,Y,2,ch7,-,-,,,2,-,Y,,generated,
VOA14993,CC,consensus,Huntsman,-,,,,,Y,3,ch6,-,-,,,1,-,Y,,generated,proteomics-only
VOA295,CC,consensus,Huntsman,Y,VOA295p31,p31,86.9,OK,Y,2,ch6,-,-,,,2,-,Y,,generated,
VOA4841,CC,consensus,Huntsman,Y,VOA4841p43,p43,85.8,OK,Y,3,ch7,-,-,,,2,-,Y,,generated,
VOA6861,CC,consensus,Huntsman,Y,VOA6861p17,p17,88.0,OK,-,,,-,-,,,1,-,Y,,generated,RNA-only
TOV112D,EC,CONFLICT: labeled Endometrioid; Karnezis 2021 reassigns to dedifferentiated carcinoma (SMARCA4/SMARCA2-null) - verify SWI/SNF status,Mes-Masson,Y,TOV112Dp63,p63,91.1,OK,Y,4,ch6,Y,Y,P83,,3,Y,Y,,generated,
VOA4395,EC,consensus,Huntsman,Y,VOA4395p39-40,p39-40,88.6,OK,Y,1,ch8,-,-,,,2,-,Y,,generated,
TOV2414,MC,consensus,Mes-Masson,Y,TOV2414p69,p69,92.9,OK,Y,5,ch6,Y,Y,P65,,3,Y,Y,,generated,
VOA8762,MC,consensus,Huntsman,Y,VOA8762p27,p27,85.8,OK,Y,4,ch7,-,-,,,2,-,Y,,generated,
VOA8771,MC,consensus,Huntsman,Y,VOA8771p28,p28,88.1,OK,Y,5,ch8,-,-,,,2,-,Y,,generated,
VOA5217,MMMT,consensus,Huntsman,Y,VOA5217p36,p36,89.9,OK,Y,4,ch8,-,-,,,2,-,Y,,generated,
VOA5436,MMMT,consensus,Huntsman,Y,VOA5436p35,p35,88.8,OK,Y,5,ch7,-,-,,,2,-,Y,,generated,
BIN67,SCCOHT,consensus,Huntsman/Vanderhyden,Y,BIN67p51,p51,87.9,OK,Y,3,ch3,-,-,,,2,-,Y,,generated,
COV434,SCCOHT,consensus,Huntsman,Y,COV434p46,p46,89.1,OK,Y,1,ch10,-,-,,,2,-,Y,,generated,"occupies plex-1 ch10 (bridge slot) as unique sample, not a replicate; SCCOHT label literature-supported (Karnezis 2021 reassignment from granulosa)"
